shooter_id,gk_id,game_id,gametime,penalty,freekick,shooter_x,shooter_y,gk,gk_x,gk_y,shot_dist_goal,angle_to_goal,defender_infront,defender_around,goal,gk_name,gk_position_type,shooter_name,shooter_position_type
1938,14031,3853,14.98,FALSE,FALSE,-32.027,13.204,home_18,-49.429,-0.042,24.361636747148168,14.485178847482487,1,3,FALSE,Milan Borjan,GK,Hakim Ziyech,F
1950,1785,10508,24.78,FALSE,FALSE,43.054,-4.896,home_1,51.885,1.991,10.639442278615922,34.71491654766522,3,0,FALSE,Bono,GK,Ferran Torres,F
1950,3841,3822,53.6,FALSE,FALSE,-31.414,24.328,away_1,-49.955,6.489,32.1942693658359,8.579407830689265,1,0,TRUE,Keylor Navas,GK,Ferran Torres,F
1950,4602,3839,25.95,FALSE,FALSE,37.132,-5.218,away_1,48.718,-1.118,16.22969340437459,24.225925869710615,1,1,FALSE,Manuel Neuer,GK,Ferran Torres,F
1950,4602,3839,32.68,FALSE,FALSE,43.042,-0.562,away_1,48.997,1.909,9.474682474890647,42.19211011999809,1,1,FALSE,Manuel Neuer,GK,Ferran Torres,F
1950,4602,3839,35.05,FALSE,FALSE,42.566,-12.871,away_1,50.857,-3.37,16.258751397324456,16.159727389623743,2,1,FALSE,Manuel Neuer,GK,Ferran Torres,F
1957,13871,3840,94.68,FALSE,FALSE,27.331,5.364,home_16,49.051,0.376,25.734239001765722,15.851451959100807,2,1,FALSE,Devis Epassy,GK,Marko Grujic,M
1971,11241,10502,48.77,FALSE,FALSE,-47.784,-3.348,home_23,-50.92,-2.29,5.783576747999461,59.846651884457486,1,10,FALSE,Andries Noppert,GK,Tim Ream,D
1977,4691,3824,65.4,FALSE,FALSE,-41.064,13.496,home_1,-51.288,1.304,17.689661161254616,15.614489228137721,1,0,FALSE,Yann Sommer,GK,André Zambo Anguissa,M
1991,4656,3858,70.77,FALSE,FALSE,39.94,13.952,away_21,50.766,2.559,18.772637108302074,15.17332075212707,1,2,FALSE,Gregor Kobel,GK,Aleksandar Mitrovic,F
1991,4656,3858,25.92,FALSE,FALSE,42.135,2.928,away_21,50.004,1.104,10.77062714051508,36.4797151368152,1,1,TRUE,Gregor Kobel,GK,Aleksandar Mitrovic,F
1991,4656,3858,47.62,FALSE,FALSE,36.655,7.07,away_21,50.373,1.385,17.35076151066575,21.959905443666756,1,1,FALSE,Gregor Kobel,GK,Aleksandar Mitrovic,F
1991,13871,3840,5.63,FALSE,FALSE,43.715,7.175,home_16,51.124,1.515,11.342700295784947,29.157886576045257,1,2,FALSE,Devis Epassy,GK,Aleksandar Mitrovic,F
1991,13871,3840,9.95,FALSE,FALSE,48.045,-13.382,home_16,51.52,-3.614,14.104075616643579,9.969078546776142,1,1,FALSE,Devis Epassy,GK,Aleksandar Mitrovic,F
1991,13871,3840,16.35,FALSE,FALSE,42.62,1.896,home_16,50.522,0.323,10.060279121376308,39.474211104597394,1,3,FALSE,Devis Epassy,GK,Aleksandar Mitrovic,F
