frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_10,away_x_11,away_x_12,away_x_13,away_x_14,away_x_16,away_x_17,away_x_19,away_x_2,away_x_22,away_x_23,away_x_3,away_x_6,away_x_7,away_x_8,away_x_9,away_y_10,away_y_11,away_y_12,away_y_13,away_y_14,away_y_16,away_y_17,away_y_19,away_y_2,away_y_22,away_y_23,away_y_3,away_y_6,away_y_7,away_y_8,away_y_9,gk_away,home_x_10,home_x_11,home_x_14,home_x_15,home_x_17,home_x_18,home_x_19,home_x_2,home_x_20,home_x_21,home_x_22,home_x_23,home_x_24,home_x_4,home_x_5,home_x_8,home_y_10,home_y_11,home_y_14,home_y_15,home_y_17,home_y_18,home_y_19,home_y_2,home_y_20,home_y_21,home_y_22,home_y_23,home_y_24,home_y_4,home_y_5,home_y_8,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
3750,3845,992,0.55,1,6592779,SH,OTB,8342,Memphis Depay,10,1,CF,49.41,-8.34,24.699,4.727,NA,NA,32.877,43.6,32.764,9.286,47.45,51.627,26.439,41.62,27.979,NA,NA,NA,2.979,-9.162,NA,NA,-16.239,-2.13,10.696,1.139,-8.462,-4.439,-6.014,-9.379,-10.793,NA,NA,NA,22,34.027,NA,28.012,29.686,24.002,NA,NA,10.366,NA,4.856,24.752,-31.072,NA,7.341,1.201,34.253,2.072,NA,-7.798,-11.198,16.806,NA,NA,-14.74,NA,8.569,-24.311,-1.391,NA,-7.056,-8.822,0.838,23,FALSE,no_data,1,0.55,OTB,TRUE,NA,NA,8342,Memphis Depay,NA,NA,I,FALSE,FALSE,O,FALSE
7676,3845,4933,2.73,1,6594189,SH,OTB,13960,Hasan Al-Haydos,10,0,CM,-28.38,11.08,-25.055,-14.473,NA,NA,-7.711,4.323,-8.246,-28.602,-1.197,31.911,-8.175,2.266,-13.419,NA,NA,NA,11.212,-1.895,NA,NA,-21.98,2.656,21.943,10.495,14.234,0.833,4.938,-8.459,-10.621,NA,NA,NA,22,-26.135,NA,-8.744,-23.839,-20.177,NA,NA,-32.642,NA,-29.38,-16.89,-47.032,NA,-32.164,-32.164,-22.149,10.334,NA,3.809,-6.037,22.473,NA,NA,5.569,NA,11.149,-19.144,0.847,NA,2.251,2.251,10.637,23,TRUE,goal_detected,1,2.68,OTB,FALSE,NA,NA,13960,Hasan Al-Haydos,11241,Andries Noppert,S,FALSE,FALSE,S,FALSE
8755,3845,6012,3.33,1,6593434,SH,OTB,8026,Daley Blind,17,1,LWB,NA,NA,5.918,-2.143,NA,NA,7.621,15.898,10.445,-4.99,15.785,39.119,7.894,15.146,0.013,NA,NA,NA,8.949,0.741,NA,NA,-15.665,5.02,22.161,9.645,12.377,0.758,1.453,-4.903,-9.77,NA,NA,NA,22,8.285,NA,7.994,-1.194,2.462,NA,NA,-6.536,NA,1.831,0.74,-39.222,NA,-6.434,-9.56,11.1,-12.185,NA,0.478,-4.382,19.893,NA,NA,5.962,NA,9.918,-8.349,4.417,NA,-11.107,-4.238,15.256,23,NA,no_data,1,3.33,OTB,TRUE,NA,NA,8026,Daley Blind,13942,Meshaal Barsham,F,FALSE,FALSE,S,FALSE
8801,3845,6058,3.36,1,6593451,SH,OTB,8026,Daley Blind,17,1,LWB,NA,NA,6.28,-1.328,NA,NA,8.011,16.136,11.052,-4.208,16.093,39.647,7.755,15.066,0.066,NA,NA,NA,9.309,0.631,NA,NA,-16.338,5.199,22.909,9.799,12.778,0.655,1.493,-4.973,-10.713,NA,NA,NA,22,8.167,NA,7.119,-1.22,3.052,NA,NA,-6.288,NA,1.895,1.253,-39.172,NA,-5.75,-9.004,11.494,-12.962,NA,0.539,-4.627,19.944,NA,NA,6.04,NA,10.316,-7.466,4.42,NA,-11.461,-4.14,16.238,23,NA,no_data,1,3.35,OTB,TRUE,NA,NA,8026,Daley Blind,NA,NA,V,FALSE,FALSE,O,FALSE
15036,3845,12338,6.83,1,6594295,SH,OTB,11094,Cody Gakpo,8,1,CF,28.94,9.03,31.412,8.91,NA,NA,31.324,35.568,15.743,14.069,35.59,48.557,29.11,36.644,27.644,NA,NA,NA,16.063,-13.523,NA,NA,-10.762,6.486,27.887,12.21,13.276,1.505,9.752,1.846,7.614,NA,NA,NA,22,32.696,NA,23.471,18.182,25.625,NA,NA,16.964,NA,24.941,34.12,-29.202,NA,6.546,6.546,32.948,19.967,NA,17.321,-0.309,25.546,NA,NA,-15.524,NA,9.754,3.214,1.026,NA,12.112,12.112,28.283,23,FALSE,no_data,1,6.8,OTB,TRUE,NA,NA,11094,Cody Gakpo,NA,NA,S,FALSE,FALSE,B,FALSE
NA,3845,NA,NA,NA,6594889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11.37,OTB,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,F,FALSE
27842,3845,25189,13.95,1,6595107,SH,OTB,1522,Frenkie de Jong,21,1,CM,33.15,6.71,32.443,18.521,NA,NA,38.472,34.983,35.676,25.634,36.548,49.056,33.178,38.343,37.351,NA,NA,NA,4.21,3.186,NA,NA,-6.523,6.553,21.573,15.917,14.394,1.37,7.917,-0.774,17.087,NA,NA,NA,22,35.68,NA,27.434,37.169,31.362,NA,NA,18.474,NA,31.748,36.874,-25.28,NA,7.76,10.605,37.783,4.135,NA,4.493,14.585,22.456,NA,NA,1.317,NA,7.533,-11.348,1.379,NA,1.626,-5.824,-5.07,23,FALSE,no_data,1,13.93,OTB,TRUE,NA,NA,1522,Frenkie de Jong,NA,NA,S,FALSE,FALSE,B,FALSE
27886,3845,25233,13.97,1,6595114,SH,OTB,8342,Memphis Depay,10,1,CF,43.02,8.55,32.108,19.003,NA,NA,44.161,37.136,37.199,25.749,40.198,49.498,32.674,42.603,37.351,NA,NA,NA,3.265,1.786,NA,NA,-4.663,4.913,19.034,13.53,8.961,1.511,4.533,2.151,13.627,NA,NA,NA,22,42.894,NA,27.895,41.18,31.883,NA,NA,14.275,NA,31.194,38.544,-25.692,NA,7.651,11.106,42.566,6.794,NA,2.615,7.448,19.898,NA,NA,-9.107,NA,5.749,-13.696,0.783,NA,0.06,-6.815,-2.919,23,TRUE,goal_detected,1,13.97,OTB,TRUE,NA,NA,8342,Memphis Depay,NA,NA,V,FALSE,FALSE,O,FALSE
35543,3845,32913,18.23,1,6593313,SH,OTB,8033,Davy Klaassen,14,1,AM,46.98,-11.43,41.608,36.166,NA,NA,43.508,45.389,46.106,36.139,47.907,52.15,43.913,42.511,42.951,NA,NA,NA,-8.593,-3.07,NA,NA,-19.678,-1.499,-2.866,1.392,-2.002,-1.044,-19.553,2.095,-0.282,NA,NA,NA,22,40.776,NA,40.172,45.499,48.938,NA,NA,43.908,NA,30.899,40.829,-25.144,NA,30.171,30.171,44.192,3.651,NA,-7.069,-6.001,-3.324,NA,NA,-1.698,NA,-13.189,-25.432,-2.16,NA,-2.817,-2.817,-3.418,23,FALSE,no_data,1,18.22,OTB,TRUE,NA,NA,8033,Davy Klaassen,NA,NA,S,FALSE,FALSE,O,FALSE
35543,3845,32914,18.23,1,6593313,SH,OTB,8033,Davy Klaassen,14,1,AM,46.98,-11.43,41.608,36.166,NA,NA,43.508,45.389,46.106,36.139,47.907,52.15,43.913,42.511,42.951,NA,NA,NA,-8.593,-3.07,NA,NA,-19.678,-1.499,-2.866,1.392,-2.002,-1.044,-19.553,2.095,-0.282,NA,NA,NA,22,40.776,NA,40.172,45.499,48.938,NA,NA,43.908,NA,30.899,40.829,-25.144,NA,30.171,30.171,44.192,3.651,NA,-7.069,-6.001,-3.324,NA,NA,-1.698,NA,-13.189,-25.432,-2.16,NA,-2.817,-2.817,-3.418,23,FALSE,no_data,1,18.22,OTB,TRUE,NA,NA,8033,Davy Klaassen,NA,NA,S,FALSE,FALSE,O,FALSE
