frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_10,away_x_11,away_x_12,away_x_14,away_x_15,away_x_16,away_x_17,away_x_18,away_x_19,away_x_22,away_x_25,away_x_4,away_x_5,away_x_6,away_x_8,away_x_9,away_y_10,away_y_11,away_y_12,away_y_14,away_y_15,away_y_16,away_y_17,away_y_18,away_y_19,away_y_22,away_y_25,away_y_4,away_y_5,away_y_6,away_y_8,away_y_9,gk_away,home_x_1,home_x_10,home_x_11,home_x_13,home_x_14,home_x_15,home_x_18,home_x_2,home_x_21,home_x_23,home_x_26,home_x_3,home_x_6,home_x_7,home_x_8,home_x_9,home_y_1,home_y_10,home_y_11,home_y_13,home_y_14,home_y_15,home_y_18,home_y_2,home_y_21,home_y_23,home_y_26,home_y_3,home_y_6,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
16712,3821,13159,7.32,1,6519968,SH,OTB,13802,Daizen Maeda,25,0,CF,-49.71,0.19,NA,-38.457,32.851,-36.91,-33.212,NA,-9.482,NA,-2.77,3.395,-46.996,2.226,0.318,-33.017,NA,NA,NA,1.713,0.397,19.972,6.424,NA,-0.593,NA,15.171,-0.929,-2.656,8.965,-10.082,-4.664,NA,NA,12,-48.925,4.997,NA,4.116,-5.923,-39.886,NA,-46.159,-11.739,-41.84,NA,-24.831,-39.301,5.8,NA,NA,2.871,-17.939,NA,-9.857,16.691,-0.182,NA,0.335,4.032,13.896,NA,17.58,8.664,4.892,NA,NA,1,TRUE,goal_detected,1,7.3,OTB,FALSE,NA,NA,13802,Daizen Maeda,4602,Manuel Neuer,F,FALSE,FALSE,G,TRUE
27485,3821,23933,13.31,1,6520521,SH,OTB,4616,Joshua Kimmich,6,1,CM,27.93,7.95,NA,31.997,50.08,29.541,20.051,NA,30.311,NA,38.761,39.134,20.644,39.175,38.785,33.577,NA,NA,NA,-3.015,0.961,24.365,14.782,NA,8.706,NA,12.251,1.624,5.975,6.659,-4.611,7.122,NA,NA,12,-25,38.152,NA,38.545,33.73,26.776,NA,10.01,18.747,14.597,NA,35.477,27.984,39.063,NA,NA,3.689,-1.802,NA,-10.352,8.564,-8.471,NA,2.182,7.02,17.377,NA,18.982,8.889,11.652,NA,NA,1,FALSE,no_data,1,13.28,OTB,TRUE,NA,NA,4616,Joshua Kimmich,NA,NA,S,FALSE,FALSE,B,FALSE
32302,3821,28753,15.98,1,6519272,SH,OTB,90,Antonio Rüdiger,2,1,RCB,46.37,-3.42,NA,36.412,51.78,44.099,47.723,NA,45.663,NA,47.261,46.523,39.023,48.586,45.049,42.511,NA,NA,NA,5.275,-0.789,10.357,4.618,NA,-1.487,NA,1.749,-0.694,-2.848,-1.478,1.078,1.977,NA,NA,12,-25,46.445,NA,46.079,37.461,26.524,NA,44.571,39.8,37.763,NA,35,36.982,48.316,NA,NA,0.298,0.584,NA,-5.128,3.357,-6.517,NA,-5.84,1.528,-1.018,NA,12.618,0.176,3.18,NA,NA,1,FALSE,no_data,1,15.98,OTB,TRUE,NA,NA,90,Antonio Rüdiger,NA,NA,S,FALSE,FALSE,O,FALSE
39211,3821,35666,19.83,1,6519521,SH,OTB,4616,Joshua Kimmich,6,1,CM,33.98,1.57,NA,30.061,48.371,33.723,16.14,NA,30.378,NA,37.536,38.766,27.651,38.049,37.713,37.089,NA,NA,NA,-6.953,0.63,5.174,1.693,NA,2.006,NA,16.13,0.652,15.193,3.073,-4.662,5.175,NA,NA,12,-26.966,36.589,NA,32.803,35.991,22.441,NA,6.669,39.696,9.099,NA,33.882,31.033,38.839,NA,NA,0.857,-14.816,NA,-1.302,0.18,-9.462,NA,-3.402,12.429,10.953,NA,25.826,1.646,6.686,NA,NA,1,FALSE,no_data,1,19.82,OTB,TRUE,NA,NA,4616,Joshua Kimmich,13799,Shuichi Gonda,S,FALSE,FALSE,S,FALSE
39275,3821,35730,19.86,1,6519534,SH,OTB,20,Ilkay Gündogan,21,1,CM,44.55,9.54,NA,30.889,48.401,32.544,14.983,NA,34.688,NA,41.422,41.975,27.388,40.346,41.496,37.899,NA,NA,NA,-5.84,3.781,4.58,-0.001,NA,2.878,NA,11.552,1.381,11.008,3.457,-3.904,4.853,NA,NA,12,-27.134,37.366,NA,33.343,36.496,23.284,NA,7.744,41.532,9.692,NA,35.831,36.271,39.579,NA,NA,0.411,-14.265,NA,-2.35,-1.273,-7.147,NA,-4.195,10.682,8.48,NA,21.299,4.001,5.827,NA,NA,1,FALSE,no_data,1,19.85,OTB,TRUE,NA,NA,20,Ilkay Gündogan,NA,NA,V,FALSE,FALSE,O,FALSE
42661,3821,39118,21.75,1,6520021,SH,OTB,2090,Hiroki Sakai,19,0,RB,-45.35,-6.71,NA,-28.42,25,-29.803,-39.416,NA,-34.84,NA,-46.671,-45.153,-43.899,-45.99,-18.841,-35.987,NA,NA,NA,16.882,-0.356,-0.524,28.855,NA,22.685,NA,-7.781,-6.091,5.223,-7.324,11.73,1.259,NA,NA,12,-51.726,-24.337,NA,-41.985,-39.248,-46.233,NA,-44.673,-37.933,-42.946,NA,-46.933,-40.032,-41.452,NA,NA,-1.994,13.311,NA,-6.374,-6.202,-2.416,NA,-0.755,7.322,1.272,NA,-5.942,11.603,5.218,NA,NA,1,FALSE,no_data,1,21.73,OTB,FALSE,NA,NA,2090,Hiroki Sakai,NA,NA,S,FALSE,FALSE,C,FALSE
50123,3821,46581,25.9,1,6519923,SH,OTB,20,Ilkay Gündogan,21,1,CM,35.16,8.51,NA,37.868,51.853,42.293,31.531,NA,40.507,NA,42.608,44.329,19.428,42.988,42.484,37.303,NA,NA,NA,-11.716,1.622,15.012,3.671,NA,1.952,NA,9.584,0.446,-12.544,4.211,-6.227,7.641,NA,NA,12,-25,42.599,NA,42.697,33.454,21.166,NA,10.18,33.737,14.342,NA,40.793,37.632,42.933,NA,NA,-1.504,-18.376,NA,-2.735,5.083,-13.842,NA,-5.917,10.563,5.081,NA,18.475,-4.533,1.536,NA,NA,1,FALSE,no_data,1,25.87,OTB,TRUE,NA,NA,20,Ilkay Gündogan,NA,NA,F,FALSE,FALSE,B,FALSE
53021,3821,49479,27.51,1,6520081,SH,OTB,20,Ilkay Gündogan,21,1,CM,31.81,-2.16,NA,23.211,50.705,29.875,18.987,NA,36.585,NA,40.328,42.107,13.568,39.682,37.533,33.498,NA,NA,NA,-27.634,-0.816,4.605,-19.751,NA,-8.722,NA,-2.967,-13.682,-5.776,-6.857,-7.069,-10.242,NA,NA,12,-25.557,35.001,NA,37.615,38.732,15.159,NA,7.058,28.864,9.609,NA,35.768,28.665,40.138,NA,NA,-2.724,-11.955,NA,-26.394,-4.116,-26.542,NA,-10.064,-1.186,3.379,NA,10.261,-10.855,-14.02,NA,NA,1,TRUE,goal_detected,1,27.5,OTB,TRUE,NA,NA,20,Ilkay Gündogan,13799,Shuichi Gonda,S,FALSE,FALSE,S,FALSE
55078,3821,51536,28.65,1,6520161,SH,OTB,20,Ilkay Gündogan,21,1,CM,41.36,2.65,NA,44.138,50.382,31.368,25.363,NA,47.237,NA,50.399,46.519,38.61,48.124,49.506,46.376,NA,NA,NA,-8.124,2.345,-1.181,-5.206,NA,-2.772,NA,10.421,2.023,4.991,3.896,-1.181,6.508,NA,NA,12,-25,41.92,NA,44.517,42.903,21.128,NA,7.9,38.69,17.512,NA,51.707,25.15,44.637,NA,NA,0.547,-1.778,NA,-7.081,11.343,-11.627,NA,-2.528,3.968,6.414,NA,21.279,1.595,3.255,NA,NA,1,FALSE,no_data,1,28.65,OTB,TRUE,NA,NA,20,Ilkay Gündogan,NA,NA,F,FALSE,FALSE,B,FALSE
62160,3821,58618,32.59,1,6519332,SH,OTB,20,Ilkay Gündogan,21,1,CM,44.72,0.63,NA,32.609,52.011,31.539,29.957,NA,35.799,NA,38.313,36.444,32.789,36.492,32.8,34.236,NA,NA,NA,-4.016,-0.168,3.458,2.255,NA,-8.619,NA,1.902,-5.771,2.1,3.782,-8.583,6.005,NA,NA,12,-26.523,35.905,NA,34.695,36.604,17.988,NA,13.821,41.366,13.821,NA,21.337,30.539,35.27,NA,NA,-0.332,-7.107,NA,-5.335,10.308,-4.715,NA,-0.242,1.114,-0.242,NA,3.759,-1.217,6.257,NA,NA,1,TRUE,goal_detected,1,32.58,OTB,TRUE,NA,NA,20,Ilkay Gündogan,13799,Shuichi Gonda,F,TRUE,FALSE,G,TRUE
