frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_11,away_x_13,away_x_16,away_x_17,away_x_19,away_x_2,away_x_20,away_x_21,away_x_23,away_x_26,away_x_3,away_x_5,away_x_7,away_y_1,away_y_10,away_y_11,away_y_13,away_y_16,away_y_17,away_y_19,away_y_2,away_y_20,away_y_21,away_y_23,away_y_26,away_y_3,away_y_5,away_y_7,gk_away,home_x_1,home_x_10,home_x_11,home_x_12,home_x_14,home_x_15,home_x_16,home_x_19,home_x_2,home_x_3,home_x_4,home_x_6,home_x_9,home_y_1,home_y_10,home_y_11,home_y_12,home_y_14,home_y_15,home_y_16,home_y_19,home_y_2,home_y_3,home_y_4,home_y_6,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
8029,3814,4838,2.65,1,6476237,SH,OTB,3734,Félix Torres,2,0,RCB,-46.95,8.72,25,-45.524,-38.766,-46.687,NA,-32.925,-41.79,-45.997,-18.744,NA,-30.719,NA,-46.483,NA,-15.959,0.404,12.891,8.434,-0.125,NA,18.28,3.687,9.742,-1.049,NA,6.653,NA,-4.379,NA,-5.085,1,-50.558,-38.231,-21.37,-44.489,-48.424,-50.163,-50.296,-47.216,-42.109,-46.521,NA,-46.326,NA,4.124,0.101,2.931,15.173,-2.132,1.876,5.595,3.422,9.421,12.068,NA,8.168,NA,1,TRUE,goal_detected,1,2.63,OTB,FALSE,NA,NA,3734,Félix Torres,NA,NA,B,FALSE,FALSE,C,FALSE
8061,3814,4878,2.67,1,6476239,SH,OTB,11960,Enner Valencia,13,0,CF,-53.67,-2.27,25,-45.398,-38.906,-49.087,NA,-33.678,-42.782,-46.735,-20.052,NA,-32.014,NA,-48.865,NA,-16.856,0.169,12.931,8.544,-0.013,NA,16.078,3.694,9.598,-0.179,NA,6.808,NA,-3.487,NA,-4.513,1,-50.607,-41.296,-22.094,-44.679,-50.049,-50.486,-49.624,-47.007,-42.556,-46.754,NA,-47.018,NA,2.386,0.162,3.3,15.553,-1.702,-0.119,5.236,3.087,7.986,12.161,NA,8.2,NA,1,FALSE,no_data,1,2.65,OTB,FALSE,NA,NA,11960,Enner Valencia,13941,Saad Al-Sheeb,S,FALSE,FALSE,G,TRUE
8061,3814,4879,2.67,1,6476239,SH,OTB,11960,Enner Valencia,13,0,CF,-53.67,-2.27,25,-45.398,-38.906,-49.087,NA,-33.678,-42.782,-46.735,-20.052,NA,-32.014,NA,-48.865,NA,-16.856,0.169,12.931,8.544,-0.013,NA,16.078,3.694,9.598,-0.179,NA,6.808,NA,-3.487,NA,-4.513,1,-50.607,-41.296,-22.094,-44.679,-50.049,-50.486,-49.624,-47.007,-42.556,-46.754,NA,-47.018,NA,2.386,0.162,3.3,15.553,-1.702,-0.119,5.236,3.087,7.986,12.161,NA,8.2,NA,1,FALSE,no_data,1,2.65,OTB,FALSE,NA,NA,11960,Enner Valencia,13941,Saad Al-Sheeb,S,FALSE,FALSE,G,TRUE
8061,3814,4880,2.67,1,6476239,SH,OTB,11960,Enner Valencia,13,0,CF,-53.67,-2.27,25,-45.398,-38.906,-49.087,NA,-33.678,-42.782,-46.735,-20.052,NA,-32.014,NA,-48.865,NA,-16.856,0.169,12.931,8.544,-0.013,NA,16.078,3.694,9.598,-0.179,NA,6.808,NA,-3.487,NA,-4.513,1,-50.607,-41.296,-22.094,-44.679,-50.049,-50.486,-49.624,-47.007,-42.556,-46.754,NA,-47.018,NA,2.386,0.162,3.3,15.553,-1.702,-0.119,5.236,3.087,7.986,12.161,NA,8.2,NA,1,FALSE,no_data,1,2.65,OTB,FALSE,NA,NA,11960,Enner Valencia,13941,Saad Al-Sheeb,S,FALSE,FALSE,G,TRUE
8061,3814,4881,2.67,1,6476239,SH,OTB,11960,Enner Valencia,13,0,CF,-53.67,-2.27,25,-45.398,-38.906,-49.087,NA,-33.678,-42.782,-46.735,-20.052,NA,-32.014,NA,-48.865,NA,-16.856,0.169,12.931,8.544,-0.013,NA,16.078,3.694,9.598,-0.179,NA,6.808,NA,-3.487,NA,-4.513,1,-50.607,-41.296,-22.094,-44.679,-50.049,-50.486,-49.624,-47.007,-42.556,-46.754,NA,-47.018,NA,2.386,0.162,3.3,15.553,-1.702,-0.119,5.236,3.087,7.986,12.161,NA,8.2,NA,1,FALSE,no_data,1,2.65,OTB,FALSE,NA,NA,11960,Enner Valencia,13941,Saad Al-Sheeb,S,FALSE,FALSE,G,TRUE
8061,3814,4882,2.67,1,6476239,SH,OTB,11960,Enner Valencia,13,0,CF,-53.67,-2.27,25,-45.398,-38.906,-49.087,NA,-33.678,-42.782,-46.735,-20.052,NA,-32.014,NA,-48.865,NA,-16.856,0.169,12.931,8.544,-0.013,NA,16.078,3.694,9.598,-0.179,NA,6.808,NA,-3.487,NA,-4.513,1,-50.607,-41.296,-22.094,-44.679,-50.049,-50.486,-49.624,-47.007,-42.556,-46.754,NA,-47.018,NA,2.386,0.162,3.3,15.553,-1.702,-0.119,5.236,3.087,7.986,12.161,NA,8.2,NA,1,FALSE,no_data,1,2.65,OTB,FALSE,NA,NA,11960,Enner Valencia,13941,Saad Al-Sheeb,S,FALSE,FALSE,G,TRUE
8061,3814,4883,2.67,1,6476239,SH,OTB,11960,Enner Valencia,13,0,CF,-53.67,-2.27,25,-45.398,-38.906,-49.087,NA,-33.678,-42.782,-46.735,-20.052,NA,-32.014,NA,-48.865,NA,-16.856,0.169,12.931,8.544,-0.013,NA,16.078,3.694,9.598,-0.179,NA,6.808,NA,-3.487,NA,-4.513,1,-50.607,-41.296,-22.094,-44.679,-50.049,-50.486,-49.624,-47.007,-42.556,-46.754,NA,-47.018,NA,2.386,0.162,3.3,15.553,-1.702,-0.119,5.236,3.087,7.986,12.161,NA,8.2,NA,1,FALSE,no_data,1,2.65,OTB,FALSE,NA,NA,11960,Enner Valencia,13941,Saad Al-Sheeb,S,FALSE,FALSE,G,TRUE
8061,3814,4884,2.67,1,6476239,SH,OTB,11960,Enner Valencia,13,0,CF,-53.67,-2.27,25,-45.398,-38.906,-49.087,NA,-33.678,-42.782,-46.735,-20.052,NA,-32.014,NA,-48.865,NA,-16.856,0.169,12.931,8.544,-0.013,NA,16.078,3.694,9.598,-0.179,NA,6.808,NA,-3.487,NA,-4.513,1,-50.607,-41.296,-22.094,-44.679,-50.049,-50.486,-49.624,-47.007,-42.556,-46.754,NA,-47.018,NA,2.386,0.162,3.3,15.553,-1.702,-0.119,5.236,3.087,7.986,12.161,NA,8.2,NA,1,FALSE,no_data,1,2.65,OTB,FALSE,NA,NA,11960,Enner Valencia,13941,Saad Al-Sheeb,S,FALSE,FALSE,G,TRUE
8061,3814,4885,2.67,1,6476239,SH,OTB,11960,Enner Valencia,13,0,CF,-53.67,-2.27,25,-45.398,-38.906,-49.087,NA,-33.678,-42.782,-46.735,-20.052,NA,-32.014,NA,-48.865,NA,-16.856,0.169,12.931,8.544,-0.013,NA,16.078,3.694,9.598,-0.179,NA,6.808,NA,-3.487,NA,-4.513,1,-50.607,-41.296,-22.094,-44.679,-50.049,-50.486,-49.624,-47.007,-42.556,-46.754,NA,-47.018,NA,2.386,0.162,3.3,15.553,-1.702,-0.119,5.236,3.087,7.986,12.161,NA,8.2,NA,1,FALSE,no_data,1,2.65,OTB,FALSE,NA,NA,11960,Enner Valencia,13941,Saad Al-Sheeb,S,FALSE,FALSE,G,TRUE
28984,3814,25946,14.3,1,6477176,SH,OTB,3460,Romario Ibarra,10,0,LM,-47.53,0.13,30.892,-43.341,-31.742,-43.603,NA,-4.567,-42.074,0.774,-12.453,NA,-25.941,NA,0.365,NA,-4.158,0.325,-8.206,1.727,-3.765,NA,18.948,9.472,10.08,6.84,NA,-0.242,NA,-0.803,NA,-12.597,1,-51.76,-18.671,-0.168,-37.766,-36.988,-48.551,-41.373,-5.203,-39.736,-51.76,NA,-24.734,NA,-4.508,-3.418,13.322,0.401,14.729,-7.171,1.454,4.266,-10.058,-1.934,NA,9.16,NA,1,FALSE,no_data,1,14.3,OTB,FALSE,NA,NA,3460,Romario Ibarra,NA,NA,F,FALSE,FALSE,L,FALSE
31698,3814,28660,15.81,1,6475898,SH,OTB,11960,Enner Valencia,13,0,CF,-44.03,0.74,25.975,-34.607,-35.979,-41.491,NA,-25.471,-38.593,-16.633,-34.823,NA,-34.823,NA,-16.633,NA,-36.452,-0.791,-18.679,-7.477,0.109,NA,1.926,1.984,-1.901,-5.468,NA,-5.468,NA,-1.901,NA,-11.708,1,-51.505,-34.613,-23.006,-36.531,-40.279,-35.967,-41.684,-34.132,-36.54,-41.684,NA,-33.8,NA,-0.614,-6.293,-1.823,-2.05,4.206,-9.741,-0.757,-6.856,-9.697,-0.757,NA,-4.759,NA,1,TRUE,goal_detected,1,15.8,OTB,FALSE,NA,NA,11960,Enner Valencia,13941,Saad Al-Sheeb,F,TRUE,FALSE,G,TRUE
