frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_11,away_x_14,away_x_19,away_x_2,away_x_20,away_x_21,away_x_25,away_x_3,away_x_4,away_x_5,away_x_7,away_x_9,away_y_1,away_y_10,away_y_11,away_y_14,away_y_19,away_y_2,away_y_20,away_y_21,away_y_25,away_y_3,away_y_4,away_y_5,away_y_7,away_y_9,gk_away,home_x_1,home_x_10,home_x_11,home_x_13,home_x_15,home_x_16,home_x_19,home_x_20,home_x_22,home_x_4,home_x_6,home_x_8,home_x_9,home_y_1,home_y_10,home_y_11,home_y_13,home_y_15,home_y_16,home_y_19,home_y_20,home_y_22,home_y_4,home_y_6,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
93572,10510,87371,47.35,2,6662681,SH,OTB,1695,Vinícius Junior,20,0,LW,46.99,-6.34,26.765,-44.943,-46.45,-21.364,NA,-25.349,-46.678,NA,NA,-7.512,-6.753,-19.872,-35.087,-48.219,0.798,-4.098,9.792,25.107,NA,-12.584,6.071,NA,NA,-6.354,6.407,6.166,0.867,-2.146,1,-48.922,-26.213,-42.492,NA,-39.52,NA,-48.099,-46.188,-45.808,-28.683,-47.695,-39.615,-7.323,4.139,2.619,-3.497,NA,-7.458,NA,2.447,0.855,-7.401,16.37,0.873,2.449,-0.787,1,FALSE,no_data,2,47.33,OTB,FALSE,NA,NA,1695,Vinícius Junior,13854,Dominik Livakovic,S,FALSE,FALSE,S,FALSE
98440,10510,92247,50.06,2,6662916,SH,OTB,8136,Ivan Perisic,4,1,LW,-47.83,-0.47,51.809,33.75,40.498,43.359,NA,45.298,46.03,NA,NA,44.135,44.854,45.666,41.123,45.41,-0.409,-12.302,-4.101,2.349,NA,-5.561,-22.997,NA,NA,1.677,-0.743,-2.254,-1.76,-7.384,1,-25.361,45.353,32.715,NA,46.833,NA,25.982,42.524,13.729,42.96,41.252,36.668,46.91,-0.41,-31.94,-0.629,NA,-2.121,NA,3.9,0.811,-5.839,0.851,4.62,-27.369,5.401,1,FALSE,no_data,2,50.05,OTB,TRUE,NA,NA,8136,Ivan Perisic,NA,NA,S,FALSE,FALSE,O,FALSE
98440,10510,92248,50.06,2,6662916,SH,OTB,8136,Ivan Perisic,4,1,LW,-47.83,-0.47,51.809,33.75,40.498,43.359,NA,45.298,46.03,NA,NA,44.135,44.854,45.666,41.123,45.41,-0.409,-12.302,-4.101,2.349,NA,-5.561,-22.997,NA,NA,1.677,-0.743,-2.254,-1.76,-7.384,1,-25.361,45.353,32.715,NA,46.833,NA,25.982,42.524,13.729,42.96,41.252,36.668,46.91,-0.41,-31.94,-0.629,NA,-2.121,NA,3.9,0.811,-5.839,0.851,4.62,-27.369,5.401,1,FALSE,no_data,2,50.05,OTB,TRUE,NA,NA,8136,Ivan Perisic,NA,NA,S,FALSE,FALSE,O,FALSE
98440,10510,92249,50.06,2,6662916,SH,OTB,8136,Ivan Perisic,4,1,LW,-47.83,-0.47,51.809,33.75,40.498,43.359,NA,45.298,46.03,NA,NA,44.135,44.854,45.666,41.123,45.41,-0.409,-12.302,-4.101,2.349,NA,-5.561,-22.997,NA,NA,1.677,-0.743,-2.254,-1.76,-7.384,1,-25.361,45.353,32.715,NA,46.833,NA,25.982,42.524,13.729,42.96,41.252,36.668,46.91,-0.41,-31.94,-0.629,NA,-2.121,NA,3.9,0.811,-5.839,0.851,4.62,-27.369,5.401,1,FALSE,no_data,2,50.05,OTB,TRUE,NA,NA,8136,Ivan Perisic,NA,NA,S,FALSE,FALSE,O,FALSE
98440,10510,92250,50.06,2,6662916,SH,OTB,8136,Ivan Perisic,4,1,LW,-47.83,-0.47,51.809,33.75,40.498,43.359,NA,45.298,46.03,NA,NA,44.135,44.854,45.666,41.123,45.41,-0.409,-12.302,-4.101,2.349,NA,-5.561,-22.997,NA,NA,1.677,-0.743,-2.254,-1.76,-7.384,1,-25.361,45.353,32.715,NA,46.833,NA,25.982,42.524,13.729,42.96,41.252,36.668,46.91,-0.41,-31.94,-0.629,NA,-2.121,NA,3.9,0.811,-5.839,0.851,4.62,-27.369,5.401,1,FALSE,no_data,2,50.05,OTB,TRUE,NA,NA,8136,Ivan Perisic,NA,NA,S,FALSE,FALSE,O,FALSE
98440,10510,92251,50.06,2,6662916,SH,OTB,8136,Ivan Perisic,4,1,LW,-47.83,-0.47,51.809,33.75,40.498,43.359,NA,45.298,46.03,NA,NA,44.135,44.854,45.666,41.123,45.41,-0.409,-12.302,-4.101,2.349,NA,-5.561,-22.997,NA,NA,1.677,-0.743,-2.254,-1.76,-7.384,1,-25.361,45.353,32.715,NA,46.833,NA,25.982,42.524,13.729,42.96,41.252,36.668,46.91,-0.41,-31.94,-0.629,NA,-2.121,NA,3.9,0.811,-5.839,0.851,4.62,-27.369,5.401,1,FALSE,no_data,2,50.05,OTB,TRUE,NA,NA,8136,Ivan Perisic,NA,NA,S,FALSE,FALSE,O,FALSE
98440,10510,92252,50.06,2,6662916,SH,OTB,8136,Ivan Perisic,4,1,LW,-47.83,-0.47,51.809,33.75,40.498,43.359,NA,45.298,46.03,NA,NA,44.135,44.854,45.666,41.123,45.41,-0.409,-12.302,-4.101,2.349,NA,-5.561,-22.997,NA,NA,1.677,-0.743,-2.254,-1.76,-7.384,1,-25.361,45.353,32.715,NA,46.833,NA,25.982,42.524,13.729,42.96,41.252,36.668,46.91,-0.41,-31.94,-0.629,NA,-2.121,NA,3.9,0.811,-5.839,0.851,4.62,-27.369,5.401,1,FALSE,no_data,2,50.05,OTB,TRUE,NA,NA,8136,Ivan Perisic,NA,NA,S,FALSE,FALSE,O,FALSE
98440,10510,92253,50.06,2,6662916,SH,OTB,8136,Ivan Perisic,4,1,LW,-47.83,-0.47,51.809,33.75,40.498,43.359,NA,45.298,46.03,NA,NA,44.135,44.854,45.666,41.123,45.41,-0.409,-12.302,-4.101,2.349,NA,-5.561,-22.997,NA,NA,1.677,-0.743,-2.254,-1.76,-7.384,1,-25.361,45.353,32.715,NA,46.833,NA,25.982,42.524,13.729,42.96,41.252,36.668,46.91,-0.41,-31.94,-0.629,NA,-2.121,NA,3.9,0.811,-5.839,0.851,4.62,-27.369,5.401,1,FALSE,no_data,2,50.05,OTB,TRUE,NA,NA,8136,Ivan Perisic,NA,NA,S,FALSE,FALSE,O,FALSE
98440,10510,92254,50.06,2,6662916,SH,OTB,8136,Ivan Perisic,4,1,LW,-47.83,-0.47,51.809,33.75,40.498,43.359,NA,45.298,46.03,NA,NA,44.135,44.854,45.666,41.123,45.41,-0.409,-12.302,-4.101,2.349,NA,-5.561,-22.997,NA,NA,1.677,-0.743,-2.254,-1.76,-7.384,1,-25.361,45.353,32.715,NA,46.833,NA,25.982,42.524,13.729,42.96,41.252,36.668,46.91,-0.41,-31.94,-0.629,NA,-2.121,NA,3.9,0.811,-5.839,0.851,4.62,-27.369,5.401,1,FALSE,no_data,2,50.05,OTB,TRUE,NA,NA,8136,Ivan Perisic,NA,NA,S,FALSE,FALSE,O,FALSE
106106,10510,99935,54.32,2,6663592,SH,OTB,3865,Neymar,10,0,AM,47.37,9.04,27.929,-46.296,-38.948,-17.639,NA,-14.35,-35.168,NA,NA,-3.098,-3.73,-17.367,-41.578,-28.973,-2.061,-9.792,12.796,4.495,NA,-23.503,-12.893,NA,NA,0.76,-6.872,-8.621,0.191,-5.306,1,-49.879,-20.302,-34.747,NA,-30.105,NA,-44.158,-36.026,-41.264,-22.429,-45.846,-34.274,-3.727,-4.421,-11.494,-8.123,NA,-16.66,NA,-2.49,-6.825,-11.84,8.099,-8.89,-8.568,-2.829,1,FALSE,no_data,2,54.32,OTB,FALSE,NA,NA,3865,Neymar,13854,Dominik Livakovic,S,FALSE,FALSE,S,FALSE
125567,10510,119411,65.14,2,6662516,SH,OTB,1683,Casemiro,5,0,CM,25.87,11.06,25.136,-25.473,NA,-35.297,-34.204,-20.346,NA,-35.193,NA,-17.798,-36.128,-24.178,-35.22,-35.864,0.218,-13.561,NA,10.683,7.074,-5.214,NA,-20.125,NA,2.624,5.444,-12.675,4.334,2.485,1,-50.762,-32.723,-36.201,NA,-35.984,NA,-36.991,-37.01,-36.752,-36.729,-36.282,-34.584,-33.092,0.433,-9.66,-3.223,NA,0.871,NA,9.07,6.15,6.298,1.912,2.979,0.169,-4.626,1,FALSE,no_data,2,65.13,OTB,FALSE,NA,NA,1683,Casemiro,NA,NA,S,FALSE,TRUE,B,FALSE
126256,10510,120100,65.53,2,6662584,SH,OTB,3930,Lucas Paquetá,7,0,CM,46.6,3.5,25.998,-27.166,NA,-26.269,-38.647,-19.234,NA,-40.031,NA,-6.532,-8.236,-28.792,-43.504,-44.19,-0.921,-19.759,NA,5.131,9.254,-19.374,NA,-5.126,NA,-1.499,-12.208,-8.214,-11.234,-7.55,1,-48.414,-31.284,-34.72,NA,-34.409,NA,-41.994,-43.523,-42.18,-33.971,-43.421,-36.033,-15.094,-3.417,-17.049,-9.931,NA,-13.72,NA,3.12,-2.281,-10.778,3.53,-3.239,-6.154,-13.269,1,FALSE,no_data,2,65.52,OTB,FALSE,NA,NA,3930,Lucas Paquetá,13854,Dominik Livakovic,V,FALSE,FALSE,S,FALSE
127311,10510,121170,66.11,2,6662648,SH,OTB,1676,Eder Militao,14,0,RB,36.52,-11.76,27.872,-39.54,NA,-35.729,-21.066,-12.944,NA,-38.001,NA,-2.435,-2.265,-29.438,-38.528,-38.703,1.336,-10.163,NA,11.681,17.917,-8.367,NA,-6.843,NA,5.651,-1.156,18.561,16.148,5.072,1,-50.549,-35.115,-25.202,NA,-28.532,NA,-34.2,-37.663,-38.422,-29.455,-39.624,-34.275,-1.476,2.29,-6.882,1.101,NA,-5.564,NA,19.344,12.075,-4.021,17.16,4.026,12.543,6.844,1,FALSE,no_data,2,66.1,OTB,FALSE,NA,NA,1676,Eder Militao,NA,NA,S,FALSE,FALSE,B,FALSE
136034,10510,129893,70.96,2,6663199,SH,OTB,4883,Andrej Kramaric,9,1,CF,-34.92,13.8,51.291,1.051,NA,41.392,36.403,40.898,NA,36.579,NA,42.322,40.57,28.247,36.642,13.18,-1.647,-9.224,NA,1.009,9.739,-17.007,NA,-14.806,NA,-2.826,-7.836,-14.343,-4.282,-4.068,1,-31.763,16.334,14.366,NA,42.511,NA,35.105,4.237,38.082,40.891,2.203,25.051,35.615,-0.852,-15.805,-5.922,NA,1.641,NA,11.582,2.201,-30.211,-4.659,-14.646,4.346,-16.124,1,FALSE,no_data,2,70.92,OTB,TRUE,NA,NA,4883,Andrej Kramaric,NA,NA,S,FALSE,FALSE,B,FALSE
144716,10510,138605,75.79,2,6662251,SH,OTB,3865,Neymar,10,0,AM,48.63,8.88,29.043,-47.528,NA,-8.424,-40.077,-13.116,NA,-40.814,NA,-2.953,-3.532,-34.194,-27.567,-30.372,-1.229,-10.885,NA,11.538,4.488,-19.662,NA,-1.522,NA,-1.339,-10.487,-13.599,1.746,-3.958,1,-48.422,-30.312,-36.952,-28.481,NA,-7.76,-41.747,-44.182,-40.676,-32.647,-46.286,-33.158,NA,-8.392,-7.466,-8.447,-9.959,NA,-8.509,4.274,-1.425,-8.704,4.768,-8.029,-3.172,NA,1,FALSE,no_data,2,75.78,OTB,FALSE,NA,NA,3865,Neymar,13854,Dominik Livakovic,S,FALSE,FALSE,S,FALSE
151885,10510,145789,79.78,2,6662994,SH,OTB,3930,Lucas Paquetá,7,0,CM,41.01,6.13,25.34,-44.429,NA,-27.391,-40.983,-39.383,NA,-46.561,NA,-7.977,-6.421,-49.663,-38.325,-47.637,0.323,-0.087,NA,16.642,9.019,-12.933,NA,-13.27,NA,13.955,2.415,7.538,-6.815,4.273,1,-50.828,-45.124,-45.37,-43.094,NA,-14.789,-46.279,-48.459,-45.126,-39.096,-45.865,-38.718,NA,-2.043,3.586,-6.866,-9.77,NA,3.41,9.308,0.956,-11.569,-4.591,-2.874,5.263,NA,1,TRUE,goal_detected,2,79.77,OTB,FALSE,NA,NA,3930,Lucas Paquetá,13854,Dominik Livakovic,S,FALSE,FALSE,S,FALSE
155672,10510,149576,81.89,2,6663248,SH,OTB,195,Richarlison,9,0,CF,44.8,-0.52,27.944,-37.245,NA,-42.778,-38.497,-25.309,NA,-35.731,NA,-6.477,-6.827,-28.706,-34.119,-42.146,-1.184,-8.757,NA,6.49,5.706,-7.053,NA,-23.516,NA,1.096,-3.563,-13.488,3.523,0.731,1,-51.636,-32.064,-29.252,-37.303,NA,-16.838,-44.26,-43.277,-38.843,-36.878,-39.189,-35.348,NA,-0.011,-6.889,-11.155,-18.5,NA,-1.606,5.712,-0.332,-9.442,8.786,-5.416,0.094,NA,1,FALSE,no_data,2,81.88,OTB,FALSE,NA,NA,195,Richarlison,NA,NA,S,FALSE,FALSE,O,FALSE
155672,10510,149577,81.89,2,6663248,SH,OTB,195,Richarlison,9,0,CF,44.8,-0.52,27.944,-37.245,NA,-42.778,-38.497,-25.309,NA,-35.731,NA,-6.477,-6.827,-28.706,-34.119,-42.146,-1.184,-8.757,NA,6.49,5.706,-7.053,NA,-23.516,NA,1.096,-3.563,-13.488,3.523,0.731,1,-51.636,-32.064,-29.252,-37.303,NA,-16.838,-44.26,-43.277,-38.843,-36.878,-39.189,-35.348,NA,-0.011,-6.889,-11.155,-18.5,NA,-1.606,5.712,-0.332,-9.442,8.786,-5.416,0.094,NA,1,FALSE,no_data,2,81.88,OTB,FALSE,NA,NA,195,Richarlison,NA,NA,S,FALSE,FALSE,O,FALSE
155672,10510,149578,81.89,2,6663248,SH,OTB,195,Richarlison,9,0,CF,44.8,-0.52,27.944,-37.245,NA,-42.778,-38.497,-25.309,NA,-35.731,NA,-6.477,-6.827,-28.706,-34.119,-42.146,-1.184,-8.757,NA,6.49,5.706,-7.053,NA,-23.516,NA,1.096,-3.563,-13.488,3.523,0.731,1,-51.636,-32.064,-29.252,-37.303,NA,-16.838,-44.26,-43.277,-38.843,-36.878,-39.189,-35.348,NA,-0.011,-6.889,-11.155,-18.5,NA,-1.606,5.712,-0.332,-9.442,8.786,-5.416,0.094,NA,1,FALSE,no_data,2,81.88,OTB,FALSE,NA,NA,195,Richarlison,NA,NA,S,FALSE,FALSE,O,FALSE
155672,10510,149579,81.89,2,6663248,SH,OTB,195,Richarlison,9,0,CF,44.8,-0.52,27.944,-37.245,NA,-42.778,-38.497,-25.309,NA,-35.731,NA,-6.477,-6.827,-28.706,-34.119,-42.146,-1.184,-8.757,NA,6.49,5.706,-7.053,NA,-23.516,NA,1.096,-3.563,-13.488,3.523,0.731,1,-51.636,-32.064,-29.252,-37.303,NA,-16.838,-44.26,-43.277,-38.843,-36.878,-39.189,-35.348,NA,-0.011,-6.889,-11.155,-18.5,NA,-1.606,5.712,-0.332,-9.442,8.786,-5.416,0.094,NA,1,FALSE,no_data,2,81.88,OTB,FALSE,NA,NA,195,Richarlison,NA,NA,S,FALSE,FALSE,O,FALSE
155672,10510,149580,81.89,2,6663248,SH,OTB,195,Richarlison,9,0,CF,44.8,-0.52,27.944,-37.245,NA,-42.778,-38.497,-25.309,NA,-35.731,NA,-6.477,-6.827,-28.706,-34.119,-42.146,-1.184,-8.757,NA,6.49,5.706,-7.053,NA,-23.516,NA,1.096,-3.563,-13.488,3.523,0.731,1,-51.636,-32.064,-29.252,-37.303,NA,-16.838,-44.26,-43.277,-38.843,-36.878,-39.189,-35.348,NA,-0.011,-6.889,-11.155,-18.5,NA,-1.606,5.712,-0.332,-9.442,8.786,-5.416,0.094,NA,1,FALSE,no_data,2,81.88,OTB,FALSE,NA,NA,195,Richarlison,NA,NA,S,FALSE,FALSE,O,FALSE
155672,10510,149581,81.89,2,6663248,SH,OTB,195,Richarlison,9,0,CF,44.8,-0.52,27.944,-37.245,NA,-42.778,-38.497,-25.309,NA,-35.731,NA,-6.477,-6.827,-28.706,-34.119,-42.146,-1.184,-8.757,NA,6.49,5.706,-7.053,NA,-23.516,NA,1.096,-3.563,-13.488,3.523,0.731,1,-51.636,-32.064,-29.252,-37.303,NA,-16.838,-44.26,-43.277,-38.843,-36.878,-39.189,-35.348,NA,-0.011,-6.889,-11.155,-18.5,NA,-1.606,5.712,-0.332,-9.442,8.786,-5.416,0.094,NA,1,FALSE,no_data,2,81.88,OTB,FALSE,NA,NA,195,Richarlison,NA,NA,S,FALSE,FALSE,O,FALSE
155672,10510,149582,81.89,2,6663248,SH,OTB,195,Richarlison,9,0,CF,44.8,-0.52,27.944,-37.245,NA,-42.778,-38.497,-25.309,NA,-35.731,NA,-6.477,-6.827,-28.706,-34.119,-42.146,-1.184,-8.757,NA,6.49,5.706,-7.053,NA,-23.516,NA,1.096,-3.563,-13.488,3.523,0.731,1,-51.636,-32.064,-29.252,-37.303,NA,-16.838,-44.26,-43.277,-38.843,-36.878,-39.189,-35.348,NA,-0.011,-6.889,-11.155,-18.5,NA,-1.606,5.712,-0.332,-9.442,8.786,-5.416,0.094,NA,1,FALSE,no_data,2,81.88,OTB,FALSE,NA,NA,195,Richarlison,NA,NA,S,FALSE,FALSE,O,FALSE
155672,10510,149583,81.89,2,6663248,SH,OTB,195,Richarlison,9,0,CF,44.8,-0.52,27.944,-37.245,NA,-42.778,-38.497,-25.309,NA,-35.731,NA,-6.477,-6.827,-28.706,-34.119,-42.146,-1.184,-8.757,NA,6.49,5.706,-7.053,NA,-23.516,NA,1.096,-3.563,-13.488,3.523,0.731,1,-51.636,-32.064,-29.252,-37.303,NA,-16.838,-44.26,-43.277,-38.843,-36.878,-39.189,-35.348,NA,-0.011,-6.889,-11.155,-18.5,NA,-1.606,5.712,-0.332,-9.442,8.786,-5.416,0.094,NA,1,FALSE,no_data,2,81.88,OTB,FALSE,NA,NA,195,Richarlison,NA,NA,S,FALSE,FALSE,O,FALSE
160061,10510,153980,84.33,2,6663472,SH,OTB,6019,Nikola Vlasic,13,1,AM,-40.91,12.22,50.462,33.208,NA,42.653,35.703,40.672,NA,32.58,31.297,43.475,41.716,38.45,40.146,NA,-2.263,-15.434,NA,1.898,-2.468,-10.108,NA,-19.123,-11.411,-0.592,-7.603,-5.864,-12.469,NA,1,-29.122,30.539,32.036,39.721,NA,39.992,27.389,15.48,21.375,40.562,14.199,32.679,NA,-0.924,-17.916,-9.778,-12.551,NA,-6.442,3.902,-6.064,-26.731,3.269,-14.803,-4.116,NA,1,FALSE,no_data,2,84.28,OTB,TRUE,NA,NA,6019,Nikola Vlasic,NA,NA,S,FALSE,FALSE,B,FALSE
161951,10510,155870,85.38,2,6663571,SH,OTB,1676,Eder Militao,14,0,RB,36.01,-10.61,26.287,-45.567,NA,-36.404,-39.115,-25.583,NA,-42.475,-39.335,-9.056,-8.516,-44.724,-25.89,NA,1.626,-2.174,NA,8.643,15.08,-13.521,NA,-4.803,-1.268,4.315,-1.275,2.981,14.518,NA,1,-51.35,-36.437,-35.61,-36.328,NA,-33.595,-38.929,-44.486,-44.174,-40.567,-44.67,-25.102,NA,2.095,7.744,2.463,-8.957,NA,15.302,12.461,5.58,-4.349,14.05,0.11,4.395,NA,1,FALSE,no_data,2,85.37,OTB,FALSE,NA,NA,1676,Eder Militao,NA,NA,S,FALSE,FALSE,B,FALSE
