frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_14,away_x_17,away_x_18,away_x_19,away_x_2,away_x_20,away_x_21,away_x_22,away_x_23,away_x_3,away_x_4,away_x_5,away_x_8,away_x_9,away_y_1,away_y_10,away_y_14,away_y_17,away_y_18,away_y_19,away_y_2,away_y_20,away_y_21,away_y_22,away_y_23,away_y_3,away_y_4,away_y_5,away_y_8,away_y_9,gk_away,home_x_1,home_x_15,home_x_16,home_x_17,home_x_18,home_x_19,home_x_20,home_x_22,home_x_25,home_x_3,home_x_4,home_x_5,home_x_6,home_x_7,home_x_9,home_y_1,home_y_15,home_y_16,home_y_17,home_y_18,home_y_19,home_y_20,home_y_22,home_y_25,home_y_3,home_y_4,home_y_5,home_y_6,home_y_7,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
12570,3841,6914,3.82,1,6573054,SH,OTB,13923,Gue-sung Cho,9,1,CF,46,-5.07,51.143,47.559,37.071,NA,43.819,18.485,39.791,23.291,39.325,NA,NA,NA,47.148,42.683,NA,28.241,-3.766,-14.227,-23.004,NA,-3.764,-0.55,-17.298,8.181,-3.354,NA,NA,NA,-5.202,-5.305,NA,-19.151,1,-29.303,18.297,NA,NA,NA,3.693,NA,47.856,33.777,26.974,3.073,18.993,26.907,39.778,45.643,-3.589,-20.901,NA,NA,NA,-1.147,NA,-16.524,-13.492,-26.179,-14.54,-4.55,-18.335,-9.622,-3.493,1,FALSE,no_data,1,3.82,OTB,TRUE,NA,NA,13923,Gue-sung Cho,NA,NA,F,FALSE,FALSE,B,FALSE
18710,3841,13069,7.23,1,6573342,SH,OTB,4795,Woo-yeong Jeong,25,1,AM,33.72,-8.21,50.103,44.673,43.448,NA,43.496,42.731,33.555,40.424,43.742,NA,NA,NA,43.788,38.662,NA,43.447,-1.049,-1.91,5.04,NA,0.25,0.777,-7.094,19.423,2.454,NA,NA,NA,2.307,-1.998,NA,-3.524,1,-25,21.539,NA,NA,NA,42.145,NA,41.91,31.814,40.342,42.304,38.047,36.086,44.364,42.951,0.57,1.952,NA,NA,NA,-12.469,NA,-4.686,-7.166,-5.295,1.573,0.721,4.788,28.728,9.037,1,FALSE,no_data,1,7.2,OTB,TRUE,NA,NA,4795,Woo-yeong Jeong,NA,NA,S,FALSE,FALSE,B,FALSE
19770,3841,14129,7.82,1,6573389,SH,OTB,12502,Min Jae Kim,4,1,RCB,47.64,-12.67,51.046,48.928,45.487,NA,46.968,44.175,39.189,48.148,45.993,NA,NA,NA,46.771,47.772,NA,46.528,-1.333,-5.688,2.239,NA,-0.153,6.348,-1.123,-18.81,-3.1,NA,NA,NA,-0.423,-3.063,NA,0.615,1,-25,45.972,NA,NA,NA,45.291,NA,40.761,44.788,41.596,43.136,44.439,29.038,46.286,45.503,-0.615,-7.323,NA,NA,NA,2.275,NA,-27.838,7.867,-20.076,-0.881,5.787,-17.122,-4.69,2.924,1,FALSE,no_data,1,7.82,OTB,TRUE,NA,NA,12502,Min Jae Kim,NA,NA,S,FALSE,FALSE,C,FALSE
19909,3841,14268,7.9,1,6573457,SH,OTB,1257,In-beom Hwang,6,1,CM,33.05,-10.79,51.088,36.432,35.807,NA,42.628,39.128,33.637,38.458,38.996,NA,NA,NA,41.86,41.36,NA,37.872,-1.131,-8.217,-4.505,NA,0.273,6.182,-8.384,-14.297,-9.256,NA,NA,NA,-3.61,-0.468,NA,0.853,1,-25,40.008,NA,NA,NA,41.655,NA,37.916,41.666,34.928,36.185,39.564,30.425,41.395,40.594,-0.783,-6.724,NA,NA,NA,10.677,NA,-19.579,2.918,-14.169,-4.849,-0.274,-11.406,-18.949,7.798,1,FALSE,no_data,1,7.87,OTB,TRUE,NA,NA,1257,In-beom Hwang,NA,NA,S,FALSE,FALSE,B,FALSE
36594,3841,31028,17.18,1,6572810,SH,OTB,13923,Gue-sung Cho,9,1,CF,51.08,21.62,52.058,51.151,46.678,NA,49.895,45.331,38.328,49.007,45.503,NA,NA,NA,48.879,47.177,NA,48.708,0.131,6.004,2.372,NA,3.2,-0.549,6.001,19.282,-3.985,NA,NA,NA,6.304,0.423,NA,6.446,1,-25.618,20.912,NA,NA,NA,42.991,NA,46.222,32.455,38.677,44.871,39.317,33.273,46.78,47.889,0.527,0.928,NA,NA,NA,-1.136,NA,-4.668,-4.705,-5.613,1.143,-2.974,9.962,9.363,2.896,1,FALSE,no_data,1,17.17,OTB,TRUE,NA,NA,13923,Gue-sung Cho,NA,NA,S,FALSE,FALSE,B,FALSE
48371,3841,42850,23.73,1,6573439,SH,OTB,1910,Mohammed Salisu,4,0,LCB,-54.8,-1.5,25,-46.328,-21.248,NA,-41.335,-50.176,-18.754,-26.547,-32.044,NA,NA,NA,-48.88,-25.214,NA,-25.448,-2.575,-0.363,-9.321,NA,8.833,-5.257,-6.597,-17.702,-4.98,NA,NA,NA,-0.904,-25.769,NA,-26.458,1,-50.834,-36.315,NA,NA,NA,-50.178,NA,-38.076,-46.314,-44.782,-47.208,-49.967,-38.591,-34.116,-45.192,-1.058,-19.768,NA,NA,NA,-2.724,NA,-2.288,-4.91,1.263,-1.245,5.319,3.783,-15.22,1.464,1,TRUE,goal_detected,1,23.72,OTB,FALSE,NA,NA,1910,Mohammed Salisu,13907,Seun-gyu Kim,V,FALSE,FALSE,G,TRUE
66515,3841,61069,33.82,1,6573355,SH,OTB,8031,Mohammed Kudus,20,0,RW,-43.8,-1.88,26.157,-43.97,-31.716,NA,-12.841,-39.02,-41.479,-45.525,-25.009,NA,NA,NA,-9.019,-24.382,NA,-26.03,-1.739,-1.755,-29.676,NA,5.078,-5.318,14.76,0.591,-8.561,NA,NA,NA,-10.792,-1.839,NA,-23.526,1,-50.952,-38.609,NA,NA,NA,-43.204,NA,-33.186,-25.594,-46.029,-42.164,-36.9,-25.293,-37.058,-16.259,0.277,-13.41,NA,NA,NA,-2.017,NA,-23.958,-0.438,1.811,-3.284,-6.164,-18.909,2.28,-2.184,1,FALSE,no_data,1,33.82,OTB,FALSE,NA,NA,8031,Mohammed Kudus,13907,Seun-gyu Kim,S,FALSE,FALSE,G,TRUE
73278,3841,67878,37.58,1,6573635,SH,OTB,13917,Chang-hoon Kwon,22,1,RW,31.33,-10.37,50.093,16.391,37.389,NA,33.436,4.826,38.121,5.634,33.636,NA,NA,NA,40.573,33.655,NA,18.84,-1.124,-4.297,-11.36,NA,-9.109,-12.854,-0.26,2.512,-6.675,NA,NA,NA,-3.268,-3.775,NA,-26.114,1,-33.975,8.189,NA,NA,NA,3.446,NA,29.29,22.235,9.196,5.9,20.728,22.116,33.063,39.429,-1.906,-19.53,NA,NA,NA,-0.307,NA,-12.082,-5.171,7.957,-14.741,-0.835,-6.187,-11.905,-5.665,1,FALSE,no_data,1,37.57,OTB,TRUE,NA,NA,13917,Chang-hoon Kwon,14034,Lawrence Ati Zigi,S,FALSE,FALSE,S,FALSE
86313,3841,80943,44.83,1,6574059,SH,OTB,13922,Woo-young Jung,5,1,CM,35.23,14.5,50.354,38.631,41.764,NA,45.383,37.623,44.285,43.655,36.642,NA,NA,NA,42.985,41.258,NA,43.955,-1.676,-5.478,24.74,NA,1.955,17.707,4.165,19.449,6.832,NA,NA,NA,-1.51,1.028,NA,-10.54,1,-25,39.944,NA,NA,NA,35.298,NA,41.779,43.61,30.561,18.224,42.924,22.402,31.267,43.907,1.853,32.801,NA,NA,NA,18.146,NA,-1.827,-1.394,18.653,0.093,5.825,-3.712,3.934,-1.572,1,TRUE,goal_detected,1,44.77,OTB,TRUE,NA,NA,13922,Woo-young Jung,NA,NA,F,FALSE,FALSE,O,FALSE
94719,3841,89403,49.5,1,6574195,SH,OTB,1380,Thomas Partey,5,0,CM,-50.97,-3.9,25.113,-51.128,-26.312,NA,-41.36,-44.331,-30.321,-31.662,-30.982,NA,NA,NA,-47.471,-35.754,NA,-37.881,-0.432,-4.471,2.882,NA,2.2,3.094,2.915,7.099,-3.761,NA,NA,NA,-5.855,1.779,NA,8.745,1,-51.078,-51.172,NA,NA,NA,-43.951,NA,-39.763,-38.743,-44.282,-43.948,-40.467,-49.986,-39.861,-41.743,-0.75,-6.2,NA,NA,NA,0.742,NA,-0.014,4.353,4.047,0.204,2.803,3.55,-9.913,1.972,1,FALSE,no_data,1,49.5,OTB,FALSE,NA,NA,1380,Thomas Partey,NA,NA,S,FALSE,FALSE,O,FALSE
94719,3841,89404,49.5,1,6574195,SH,OTB,1380,Thomas Partey,5,0,CM,-50.97,-3.9,25.113,-51.128,-26.312,NA,-41.36,-44.331,-30.321,-31.662,-30.982,NA,NA,NA,-47.471,-35.754,NA,-37.881,-0.432,-4.471,2.882,NA,2.2,3.094,2.915,7.099,-3.761,NA,NA,NA,-5.855,1.779,NA,8.745,1,-51.078,-51.172,NA,NA,NA,-43.951,NA,-39.763,-38.743,-44.282,-43.948,-40.467,-49.986,-39.861,-41.743,-0.75,-6.2,NA,NA,NA,0.742,NA,-0.014,4.353,4.047,0.204,2.803,3.55,-9.913,1.972,1,FALSE,no_data,1,49.5,OTB,FALSE,NA,NA,1380,Thomas Partey,NA,NA,S,FALSE,FALSE,O,FALSE
94719,3841,89405,49.5,1,6574195,SH,OTB,1380,Thomas Partey,5,0,CM,-50.97,-3.9,25.113,-51.128,-26.312,NA,-41.36,-44.331,-30.321,-31.662,-30.982,NA,NA,NA,-47.471,-35.754,NA,-37.881,-0.432,-4.471,2.882,NA,2.2,3.094,2.915,7.099,-3.761,NA,NA,NA,-5.855,1.779,NA,8.745,1,-51.078,-51.172,NA,NA,NA,-43.951,NA,-39.763,-38.743,-44.282,-43.948,-40.467,-49.986,-39.861,-41.743,-0.75,-6.2,NA,NA,NA,0.742,NA,-0.014,4.353,4.047,0.204,2.803,3.55,-9.913,1.972,1,FALSE,no_data,1,49.5,OTB,FALSE,NA,NA,1380,Thomas Partey,NA,NA,S,FALSE,FALSE,O,FALSE
