frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_10,away_x_11,away_x_13,away_x_15,away_x_17,away_x_19,away_x_20,away_x_21,away_x_22,away_x_23,away_x_24,away_x_26,away_x_3,away_x_4,away_x_8,away_x_9,away_y_10,away_y_11,away_y_13,away_y_15,away_y_17,away_y_19,away_y_20,away_y_21,away_y_22,away_y_23,away_y_24,away_y_26,away_y_3,away_y_4,away_y_8,away_y_9,gk_away,home_x_10,home_x_11,home_x_12,home_x_15,home_x_17,home_x_19,home_x_2,home_x_20,home_x_21,home_x_23,home_x_26,home_x_3,home_x_4,home_x_5,home_x_9,home_y_10,home_y_11,home_y_12,home_y_15,home_y_17,home_y_19,home_y_2,home_y_20,home_y_21,home_y_23,home_y_26,home_y_3,home_y_4,home_y_5,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
7622,3851,2050,1.14,1,6607651,SH,OTB,3455,Luis Chávez,24,0,CM,-32.04,10.47,-38.417,NA,25,-4.868,-36.521,-40.053,-39.286,NA,-39.615,-28.172,-28.207,NA,-9.539,-29.497,NA,NA,-7.233,NA,3.431,9.35,5.352,31.741,27.473,NA,11.756,-9.706,12.24,NA,19.972,22.402,NA,NA,13,-39.536,-10.903,-31.902,-33.515,-38.803,NA,-37.576,NA,-50.62,-30.821,NA,NA,-37.233,-38.788,-33.867,30.544,16.829,12.746,11.184,22.423,NA,-2.597,NA,0.521,20.023,NA,NA,5.207,11.854,6.684,21,TRUE,goal_detected,1,1.13,OTB,FALSE,NA,NA,3455,Luis Chávez,NA,NA,S,FALSE,FALSE,O,FALSE
9413,3851,3886,2.14,1,6608183,SH,OTB,14011,Saleh Al-Shehri,11,1,CF,32.9,1.15,7.288,NA,50.219,34.262,19.06,33.371,7.511,NA,11.717,18.018,26.171,NA,30.971,31.383,NA,NA,-26.546,NA,-0.846,-12.833,2.449,12.918,-11.404,NA,4.958,-23.092,-3.758,NA,-0.7,3.08,NA,NA,13,29.455,28.322,21.87,18.565,0.48,NA,7.726,NA,-29.768,33.11,NA,NA,2.194,4.658,33.845,18.355,-0.949,8.348,-2.438,-3.024,NA,-24.607,NA,-1.333,2.973,NA,NA,-16.219,7.31,-19.432,21,FALSE,no_data,1,2.12,OTB,TRUE,NA,NA,14011,Saleh Al-Shehri,3343,Guillermo Ochoa,V,FALSE,FALSE,S,FALSE
10267,3851,4740,2.61,1,6608436,SH,OTB,3414,Alexis Vega,10,0,LW,-37.54,-1.43,-36.192,NA,33.719,4.687,-18.521,-31.031,-33.351,NA,-20.549,-31.117,-7.271,NA,4.966,-0.624,NA,NA,-0.654,NA,0.013,-9.091,7.551,19.304,8.599,NA,1.529,-17.825,-1.192,NA,11.108,16.95,NA,NA,13,-14.97,-1.109,-21.193,-28.092,-35.357,NA,-33.678,NA,-38.659,-2.126,NA,NA,-22.314,-29.526,-22.427,22.758,1.87,11.381,1.862,5.977,NA,-2.252,NA,-0.946,14.37,NA,NA,0.019,11.755,-9.486,21,FALSE,no_data,1,2.6,OTB,FALSE,NA,NA,3414,Alexis Vega,13987,Mohammed Al-Owais,S,FALSE,FALSE,S,FALSE
19378,3851,13899,7.68,1,6609239,SH,OTB,14003,Mohamed Kanno,23,1,CF,46.5,-12.94,11.995,NA,50.683,44.634,30.878,42.068,5.852,NA,28.053,45.507,41.141,NA,44.472,42.072,NA,NA,-20.564,NA,-4.054,-4.227,1.884,8.092,-3.528,NA,14.839,-12.257,-5.503,NA,1.23,5.496,NA,NA,13,35.394,41.78,39.116,22.885,2.967,NA,7.749,NA,-29.381,44.363,NA,NA,1.946,36.922,42.633,9.795,0.222,10.853,4.579,2.384,NA,-18.041,NA,-0.992,-14.024,NA,NA,-7.638,6.78,-6.238,21,TRUE,goal_detected,1,7.65,OTB,TRUE,NA,NA,14003,Mohamed Kanno,NA,NA,V,FALSE,FALSE,O,FALSE
28872,3851,23408,12.96,1,6609501,SH,OTB,14003,Mohamed Kanno,23,1,CF,33.26,5.69,39.827,NA,51.646,40.037,40.854,42.52,38.092,NA,37.109,39.932,41.89,NA,41.432,40.478,NA,NA,2.957,NA,-1.133,-2.786,8.512,2.936,-2.439,NA,11.157,-6.118,0.609,NA,2.72,5.527,NA,NA,13,28.344,40.119,30.065,39.686,15.289,NA,27.945,NA,-25.313,31.594,NA,NA,11.34,40.501,39.628,9.707,0.545,4.688,-4.917,1.084,NA,-9.442,NA,0.322,7.926,NA,NA,-1.059,10.46,-9.279,21,TRUE,goal_detected,1,12.95,OTB,TRUE,NA,NA,14003,Mohamed Kanno,NA,NA,S,FALSE,TRUE,O,FALSE
45758,3851,40384,22.35,1,6607488,SH,OTB,3455,Luis Chávez,24,0,CM,-31.05,-0.72,-31.291,NA,25,-7.99,-29.055,-36.234,-37.771,NA,-39.453,-37.398,-27.707,NA,-7.055,-28.764,NA,NA,-14.946,NA,-0.057,-4.265,10.816,4.575,-2.713,NA,19.683,-8.032,0.806,NA,4.959,6.427,NA,NA,13,-30.962,-7.588,-33.686,-30.504,-37.478,NA,-37.776,NA,-51.453,-37.627,NA,NA,-36.759,-37.446,-33.912,10.146,5.502,1.56,2.388,3.545,NA,-5.798,NA,-0.543,1.726,NA,NA,-0.862,8.459,-7.237,21,FALSE,no_data,1,22.33,OTB,FALSE,NA,NA,3455,Luis Chávez,13987,Mohammed Al-Owais,V,FALSE,FALSE,S,FALSE
49541,3851,44167,24.45,1,6607760,SH,OTB,3387,Orbelín Pineda,17,0,AM,-40.43,4.72,-36.078,NA,25,-8.336,-38.467,-34.051,-43.422,NA,-48.003,-27.831,-24.473,NA,-7.156,-42.119,NA,NA,-7.871,NA,2.107,-0.829,5.105,13.586,13.598,NA,30.564,-13.237,12.909,NA,12.604,8.732,NA,NA,13,-39.627,-10.256,-40.122,-40.41,-43.888,NA,-41.133,NA,-50.985,-26.82,NA,NA,-39.635,-42.359,-18.628,29.918,2.24,10.607,6.942,16.194,NA,-1.443,NA,1.027,4.492,NA,NA,3.56,8.263,-6.602,21,FALSE,no_data,1,24.45,OTB,FALSE,NA,NA,3387,Orbelín Pineda,13987,Mohammed Al-Owais,S,FALSE,FALSE,S,FALSE
53075,3851,47701,26.42,1,6607997,SH,OTB,3387,Orbelín Pineda,17,0,AM,-50.88,-2.35,-46.767,NA,25.209,-6.924,-48.731,-42.09,-46.991,NA,-38.828,-29.673,-20.491,NA,-6.67,-28.228,NA,NA,-12.422,NA,1.046,-4.823,-5.134,18.396,-2.71,NA,30.284,-14.619,-0.625,NA,8.827,10.184,NA,NA,13,-32.793,-7.381,-41.678,-38.877,-48.243,NA,-49.49,NA,-50.898,-44.328,NA,NA,-48.976,-42.223,-26.15,14.385,10.52,15.562,5.342,4.054,NA,-2.895,NA,0.01,-9.057,NA,NA,-1.055,25.958,-12.046,21,FALSE,no_data,1,26.4,OTB,FALSE,NA,NA,3387,Orbelín Pineda,13987,Mohammed Al-Owais,D,FALSE,FALSE,C,FALSE
67220,3851,61876,34.28,1,6607368,SH,OTB,3455,Luis Chávez,24,0,CM,-26.81,-8.73,-19.529,NA,25.944,-36.419,-20.446,-14.787,-34.536,NA,-32.094,-31.227,-24.268,NA,-32.313,-36.81,NA,NA,-22.779,NA,-0.406,4.088,-0.89,7.796,-2.681,NA,16.437,-22.046,-9.734,NA,7.884,6.882,NA,NA,13,-24.562,-25.887,-29.064,-27.413,-34.224,NA,-33.791,NA,-50.008,-34.87,NA,NA,-34.857,-33.615,-33.152,-11.767,3.519,11.556,-7.429,-0.662,NA,-16.386,NA,-1.464,5.639,NA,NA,-4.045,-6.114,-8.419,21,FALSE,no_data,1,34.23,OTB,FALSE,NA,NA,3455,Luis Chávez,NA,NA,S,FALSE,FALSE,B,FALSE
68737,3851,63393,35.13,1,6607427,SH,OTB,3303,Jesús Gallardo,23,0,LB,-44.09,7.29,-51.379,NA,25.056,-45.129,-35.534,-10.776,-46.705,NA,-46.577,-40.558,-44.869,NA,-45.962,-47.166,NA,NA,32.232,NA,0.66,-0.871,13.716,5.901,2.66,NA,7.8,2.951,33.148,NA,5.629,3.165,NA,NA,13,-41.632,-47.678,-47.163,-44.771,-44.816,NA,-47.303,NA,-51.64,-48.517,NA,NA,-47.339,-46.128,-45.494,23.068,2.847,2.446,10.195,1.477,NA,15.235,NA,0.35,7.989,NA,NA,-1.189,3.917,9.108,21,FALSE,no_data,1,35.12,OTB,FALSE,NA,NA,3303,Jesús Gallardo,NA,NA,F,FALSE,FALSE,O,FALSE
