frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_11,away_x_13,away_x_18,away_x_19,away_x_2,away_x_21,away_x_24,away_x_3,away_x_4,away_x_5,away_x_6,away_x_7,away_x_8,away_y_1,away_y_10,away_y_11,away_y_13,away_y_18,away_y_19,away_y_2,away_y_21,away_y_24,away_y_3,away_y_4,away_y_5,away_y_6,away_y_7,away_y_8,gk_away,home_x_1,home_x_10,home_x_11,home_x_12,home_x_17,home_x_19,home_x_22,home_x_3,home_x_4,home_x_5,home_x_6,home_x_7,home_x_8,home_x_9,home_y_1,home_y_10,home_y_11,home_y_12,home_y_17,home_y_19,home_y_22,home_y_3,home_y_4,home_y_5,home_y_6,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
31246,3831,28961,16.05,1,6539361,SH,OTB,12183,Haji Wright,19,0,CF,-44.37,5.86,25,-44.343,NA,-3.748,NA,-41.804,-37.241,-37.203,NA,-5.252,-20.443,-34.569,-25.299,NA,-28.336,0.138,-0.151,NA,-0.418,NA,3.602,24.818,-6.802,NA,10.252,-6.354,-21.112,9.624,NA,18.443,1,-50.827,-23.12,NA,-42.381,-30.044,-32.223,-37.264,-38.396,-38.163,-45.079,-42.639,NA,NA,-4.162,1.398,13.157,NA,-6.748,-11.026,16.906,-1.549,15.765,9.151,0.33,2.942,NA,NA,-2.702,1,TRUE,goal_detected,1,16.05,OTB,FALSE,NA,NA,12183,Haji Wright,NA,NA,S,FALSE,FALSE,O,FALSE
47538,3831,45283,25.12,1,6540210,SH,OTB,1334,Weston McKennie,8,0,RM,-47.14,2.49,25,-46.266,NA,-12.082,NA,-43.521,-43.863,-38.065,NA,-16.242,-30.326,-32.82,-41.338,NA,-43.973,2.745,1.671,NA,4.68,NA,4.405,28.3,24.203,NA,12.676,11.651,-7.589,12.204,NA,-1.081,1,-51.147,-42.051,NA,-45.598,-40.401,-35.59,-42.214,-43.288,-41.289,-46.742,-45.347,NA,NA,-29.743,1.106,21.686,NA,-3.317,-1.615,8.966,20.708,9.049,6.126,1.274,13.411,NA,NA,6.357,1,TRUE,goal_detected,1,25.1,OTB,FALSE,NA,NA,1334,Weston McKennie,NA,NA,F,FALSE,FALSE,O,FALSE
52920,3831,50680,28.11,1,6540414,SH,OTB,13121,Yunus Musah,6,0,CM,-30.16,-12.25,25,-38.047,NA,-8.905,NA,-39.598,-34.023,-33.351,NA,-7.282,-21.129,-37.254,-28.535,NA,-32.312,-2.302,-14.159,NA,-12.155,NA,-4.838,11.874,-4.999,NA,1.093,-3.796,-21.554,-13.663,NA,-28.847,1,-50.843,-30.903,NA,-37.696,-33.393,-29.927,-37.939,-39.589,-33.492,-41.563,-40.617,NA,NA,-8.272,-1.851,3.887,NA,-16.75,-15.255,-7.819,-6.626,1.486,-10.72,-6.098,-0.367,NA,NA,-5.822,1,TRUE,goal_detected,1,28.07,OTB,FALSE,NA,NA,13121,Yunus Musah,169,Jordan Pickford,S,FALSE,FALSE,S,FALSE
60124,3831,57929,32.11,1,6539443,SH,OTB,107,Christian Pulisic,10,0,LM,-43.94,-11.39,28.25,-39.845,NA,-4.484,NA,-41.11,-13.485,-39.864,NA,-5.706,-20.264,-35.633,-25.086,NA,-42.236,-0.017,-14.13,NA,-1.563,NA,-5.977,15.966,6.37,NA,6.025,7.393,-21.679,-3.781,NA,17.457,1,-50.543,-19.647,NA,-41.543,-37.785,-38.503,-37.974,-42.453,-38.993,-42.345,-42.006,NA,NA,-11.812,-2.913,17.222,NA,-12.659,-12.52,4.8,-7.114,4.936,8.079,-6.773,-2.715,NA,NA,6.08,1,TRUE,goal_detected,1,32.08,OTB,FALSE,NA,NA,107,Christian Pulisic,NA,NA,S,FALSE,FALSE,O,FALSE
75513,3831,73363,40.67,1,6540094,SH,OTB,8343,Sergiño Dest,2,0,RB,-42.8,9.05,28.389,-44.151,NA,-1.582,NA,-36.905,-42.666,-38.085,NA,-4.812,-13.409,-8.042,-20.16,NA,-30.402,2.087,-2.259,NA,3.803,NA,-0.305,10.644,12.52,NA,14.414,14.324,-6.608,3.257,NA,11.821,1,-49.862,-29.481,NA,-45.714,-9.779,-15.355,-37.663,-32.215,-38.486,-43.71,-43.189,NA,NA,0.606,2.633,21.778,NA,-1.293,5.516,16.564,14.096,20.932,3.341,5.687,9.72,NA,NA,15.564,1,FALSE,no_data,1,40.58,OTB,FALSE,NA,NA,8343,Sergiño Dest,NA,NA,S,FALSE,FALSE,B,FALSE
78223,3831,76073,42.18,1,6540176,SH,OTB,107,Christian Pulisic,10,0,LM,-43.89,0.81,25,-43.924,NA,-9,NA,-39.674,-32.567,-30.91,NA,-9.087,-24.444,-44.372,-43.154,NA,-44.261,0.756,2.81,NA,0.62,NA,21.802,22.955,5.927,NA,12.941,5.614,-8.281,0.89,NA,11.869,1,-51.38,-39.641,NA,-44.551,-37.213,-34.137,-40.993,-36.866,-42.551,-44.562,-45.678,NA,NA,-21.139,0.424,23.373,NA,-4.347,-2.408,5.75,3.456,19.278,10.04,0.63,6.24,NA,NA,9.086,1,FALSE,no_data,1,42.17,OTB,FALSE,NA,NA,107,Christian Pulisic,NA,NA,S,FALSE,FALSE,O,FALSE
81993,3831,79873,44.28,1,6540370,SH,OTB,163,Bukayo Saka,17,1,RW,49.99,3.45,51.739,26.281,NA,48.576,NA,16.314,46.396,51.739,NA,48.956,44.206,46.403,43.911,NA,39.891,3.673,-7.861,NA,1.217,NA,0.895,14.791,10.724,NA,6.659,1.409,2.333,4.861,NA,10.025,1,-25,49.883,NA,21.87,44.911,35.452,40.922,41.88,24.19,9.919,10.279,NA,NA,49.374,1.208,16.904,NA,-10.014,1.662,8.478,-15.66,23.164,9.241,-5.468,5.343,NA,NA,-1.401,1,TRUE,goal_detected,1,44.27,OTB,TRUE,NA,NA,163,Bukayo Saka,NA,NA,S,FALSE,FALSE,O,FALSE
84080,3831,81975,45.44,1,6540408,SH,OTB,105,Mason Mount,19,1,AM,38.26,5.84,46.97,4.642,NA,34.71,NA,4.937,36.831,14.56,NA,31.508,29.498,31.549,21.792,NA,23.561,1.71,-13.658,NA,4.943,NA,7.281,8.122,17.16,NA,9.327,11.235,-5.932,1.235,NA,19.813,1,-32.139,27.244,NA,4.04,27.888,35.043,12.546,19.309,5.857,-1.807,-4.618,NA,NA,19.124,1.024,11.434,NA,-15.832,-12.98,7.504,9.764,24.503,15.138,-2.364,11.505,NA,NA,2.817,1,FALSE,no_data,1,45.43,OTB,TRUE,NA,NA,105,Mason Mount,940,Matt Turner,S,FALSE,FALSE,S,FALSE
93388,3831,89519,48.24,2,6539421,SH,OTB,12183,Haji Wright,19,0,CF,39.88,9.07,32.705,-46.59,NA,-1.026,NA,-40.921,-10.212,-37.191,NA,0.229,-9.876,-10.785,-22.02,NA,-23.621,-1.487,-7.095,NA,-11.669,NA,-11.708,10.901,-2.136,NA,-3.11,-6.992,-21.408,-20.723,NA,8.917,1,-50.044,-3.79,NA,-28.951,-36.623,-31.568,-26.854,-39.036,-44.159,-41.769,-44.823,NA,NA,3.022,-2.935,-1.98,NA,-14.075,-16.452,-16.335,-9.147,-1.695,-8.701,-9.648,-6.078,NA,NA,0.707,1,FALSE,no_data,2,48.17,OTB,FALSE,NA,NA,12183,Haji Wright,NA,NA,S,FALSE,FALSE,B,FALSE
93489,3831,89620,48.3,2,6539430,SH,OTB,1334,Weston McKennie,8,0,RM,34.73,-12.35,31.86,-44.912,NA,-2.903,NA,-41.968,-21.421,-38.303,NA,-0.964,-13.677,-12.191,-24.422,NA,-33.474,-0.476,-4.459,NA,-9.666,NA,-6.876,13.17,5.261,NA,-1.426,-6.841,-19.076,-15.981,NA,11.865,1,-49.894,-9.438,NA,-32.483,-37.871,-28.449,-28.321,-40.144,-40.371,-42.16,-41.69,NA,NA,-0.28,1.907,0.191,NA,-10.772,-7.546,-12.659,-7.61,7.644,-1.585,-4.589,0.773,NA,NA,-0.71,1,TRUE,goal_detected,2,48.27,OTB,FALSE,NA,NA,1334,Weston McKennie,NA,NA,S,FALSE,FALSE,O,FALSE
