frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_14,away_x_15,away_x_16,away_x_17,away_x_18,away_x_19,away_x_2,away_x_20,away_x_25,away_x_3,away_x_4,away_x_6,away_x_7,away_x_8,away_x_9,away_y_1,away_y_14,away_y_15,away_y_16,away_y_17,away_y_18,away_y_19,away_y_2,away_y_20,away_y_25,away_y_3,away_y_4,away_y_6,away_y_7,away_y_8,away_y_9,gk_away,home_x_1,home_x_10,home_x_11,home_x_12,home_x_13,home_x_22,home_x_24,home_x_26,home_x_4,home_x_5,home_x_7,home_x_8,home_x_9,home_y_1,home_y_10,home_y_11,home_y_12,home_y_13,home_y_22,home_y_24,home_y_26,home_y_4,home_y_5,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
13103,10515,8267,4.58,1,6719407,SH,OTB,3870,Kylian Mbappé,10,1,LW,42.13,-5.27,50.432,NA,NA,NA,26.358,40.832,15.234,41.866,47.608,NA,38.741,40.868,45.839,23.85,33.468,NA,-3.003,NA,NA,NA,-24.575,-11.167,-17.779,-1.658,-3.859,NA,-16.696,-6.2,-10.692,10.358,-2.854,NA,1,-26.573,41.283,35.57,NA,23.26,39.68,7.733,NA,10.923,22.675,46.753,17.814,47.783,-2.33,-3.94,-21.286,NA,5.356,11.886,2.066,NA,-18.407,-22.282,-13.537,-8.746,-5.617,1,FALSE,no_data,1,4.57,OTB,TRUE,NA,NA,3870,Kylian Mbappé,NA,NA,S,FALSE,FALSE,B,FALSE
13169,10515,8333,4.62,1,6719426,SH,OTB,3870,Kylian Mbappé,10,1,LW,42.45,-5.27,50.099,NA,NA,NA,28.938,43.504,17.085,42.802,45.426,NA,41.41,43.164,45.7,26.578,41.331,NA,-2.129,NA,NA,NA,-23.129,-6.158,-15.581,-4.151,-3.081,NA,-9.941,-2.862,-6.338,9.179,-4.724,NA,1,-25.736,42.144,37.838,NA,27.632,41.917,10.859,NA,12.77,27.153,49.449,21.856,45.89,-1.86,-6.938,-13.079,NA,2.758,6.492,1.962,NA,-16.673,-22.03,-13.14,-8.045,-3.963,1,FALSE,no_data,1,4.58,OTB,TRUE,NA,NA,3870,Kylian Mbappé,NA,NA,S,FALSE,FALSE,B,FALSE
13246,10515,8410,4.66,1,6719437,SH,OTB,8583,Theo Hernandez,22,1,LB,51.64,5.96,50.134,NA,NA,NA,30.165,43.19,17.8,43.228,44,NA,42.259,44.872,50.426,27.184,41.056,NA,6.246,NA,NA,NA,-21.436,-8.584,-12.769,-3.983,-2.533,NA,-8.641,0.189,-1.345,8.62,-6.29,NA,1,-25.529,38.399,36.114,NA,30.016,49.074,11.786,NA,13.491,27.934,50.465,23.459,47.802,-1.061,-4.44,-3.206,NA,1.678,8.068,1.723,NA,-13.84,-20.07,-13.266,-6.574,0.531,1,FALSE,no_data,1,4.65,OTB,TRUE,NA,NA,8583,Theo Hernandez,1785,Bono,V,FALSE,FALSE,G,TRUE
22183,10515,17350,9.63,1,6719951,SH,OTB,4324,Azzedine Ounahi,8,0,CM,-31.38,-11.13,27.059,NA,NA,NA,-34.83,-4.188,-37.108,-24.496,-4.968,NA,-22.882,-12.94,-1.88,-24.281,-30.264,NA,-2.401,NA,NA,NA,-27.62,-14.995,-4.236,19.541,6.19,NA,-19.709,-6.368,-7.253,-4.405,-13.267,NA,1,-50.494,-13.88,-20.759,NA,-31.459,-31.503,-35.756,NA,-32.969,-31.514,-27.592,-34.746,-10.246,-1.365,-1.212,-28.299,NA,-7.728,9.074,1.054,NA,-11.297,-22.476,-15.563,-17.289,-2.285,1,FALSE,no_data,1,9.58,OTB,FALSE,NA,NA,4324,Azzedine Ounahi,61,Hugo Lloris,S,FALSE,FALSE,S,FALSE
33676,10515,28873,16.02,1,6718969,SH,OTB,1938,Hakim Ziyech,7,0,RW,-42.29,12.56,32.504,NA,NA,NA,-35.47,2.125,-21.742,-19.004,3.515,NA,-25.717,-7.888,3.291,-40.283,-31.651,NA,0.33,NA,NA,NA,-0.298,-6.212,1.669,19.637,3.124,NA,-20.155,3.516,5.449,12.792,4.126,NA,1,-50.893,-1.015,-32.348,NA,-18.892,-38.69,-41.227,NA,-38.109,-36.967,-11.324,-24.794,2.067,2.987,16.691,2.202,NA,6.132,11.936,11.521,NA,1.65,-1.738,-8.297,-2.643,1.615,1,FALSE,no_data,1,16,OTB,FALSE,NA,NA,1938,Hakim Ziyech,NA,NA,S,FALSE,FALSE,O,FALSE
34609,10515,29806,16.54,1,6719007,SH,OTB,113,Olivier Giroud,9,1,CF,43.39,12.17,49.03,NA,NA,NA,-1.358,40.887,-8.612,30.744,37.8,NA,25.527,10.07,24.7,-2.003,2.051,NA,3.422,NA,NA,NA,-20.241,10.039,2.977,15.961,11.39,NA,-12.556,9.728,10.767,19.508,2.537,NA,1,-36.476,28.329,20.192,NA,6.036,-3.86,-9.482,NA,-9.404,-2.864,13.532,0.786,39.793,0.997,9.858,-21.428,NA,7.372,22.254,11.979,NA,-6.206,-19.886,-5.254,2.813,12.483,1,FALSE,no_data,1,16.48,OTB,TRUE,NA,NA,113,Olivier Giroud,NA,NA,S,FALSE,FALSE,O,FALSE
50619,10515,45846,25.44,1,6720049,SH,OTB,1681,Achraf Hakimi,2,0,RWB,-32.32,16.27,26.07,NA,-19.213,NA,-34.753,-36.536,-33.213,-31.55,-0.429,NA,-7.736,-26.796,NA,-34.957,-6.569,NA,0.256,NA,11.406,NA,-14.371,-4.936,-5.416,16.042,7.597,NA,-13.704,9.639,NA,28.486,-20.894,NA,1,-49.934,-9.646,-28.539,NA,-29.925,-34.743,-34.315,NA,-38.314,-36.65,-26.431,-32.175,-9.261,1.611,14.713,-11.383,NA,11.993,17.909,13.434,NA,-2.667,-6.96,-1.023,9.123,-3.793,1,FALSE,no_data,1,25.42,OTB,FALSE,NA,NA,1681,Achraf Hakimi,NA,NA,S,FALSE,FALSE,B,FALSE
NA,10515,NA,NA,NA,6718798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30.15,OTB,FALSE,NA,NA,4324,Azzedine Ounahi,NA,NA,S,FALSE,FALSE,O,FALSE
63098,10515,58370,32.38,1,6718974,SH,OTB,3888,Aurélien Tchouaméni,8,1,CM,33.98,5.45,48.6,NA,16.308,NA,17.982,42.802,-0.819,40.359,40.102,NA,41.916,34.884,NA,20.089,29.12,NA,1.437,NA,16.246,NA,-20.404,3.867,4.066,10.932,3.333,NA,-5.954,9.935,NA,18.051,4.978,NA,1,-32.68,37.542,40.537,NA,13.659,21.484,1.975,NA,0.923,8.064,19.722,22.721,43.664,0.389,12.717,-12.577,NA,11.566,17.185,8.865,NA,2.818,-11.851,-1.879,6.706,2.122,1,FALSE,no_data,1,32.37,OTB,TRUE,NA,NA,3888,Aurélien Tchouaméni,NA,NA,S,FALSE,FALSE,B,FALSE
66221,10515,61493,34.12,1,6719075,SH,OTB,3890,Youssouf Fofana,13,1,CM,40.97,-2.92,50.337,NA,39.912,NA,42.972,45.64,40.02,41.389,48.631,NA,44.602,42.001,NA,41.26,35.953,NA,-1.197,NA,-0.646,NA,3.81,-6.598,-1.833,-6.83,3.428,NA,-18.952,1.998,NA,-0.047,-5.271,NA,1,-27.74,46.27,28.37,NA,32.338,25.285,38.048,NA,38.048,30.576,38.505,34.825,42.58,-0.265,9.498,-10.355,NA,0.455,-0.025,-1.575,NA,-1.575,-3.033,-5.874,-0.019,1.571,1,TRUE,goal_detected,1,34.12,OTB,TRUE,NA,NA,3890,Youssouf Fofana,NA,NA,V,FALSE,FALSE,O,FALSE
