frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_11,away_x_12,away_x_13,away_x_14,away_x_18,away_x_20,away_x_22,away_x_24,away_x_25,away_x_26,away_x_3,away_x_4,away_x_5,away_x_7,away_x_8,away_x_9,away_y_1,away_y_10,away_y_11,away_y_12,away_y_13,away_y_14,away_y_18,away_y_20,away_y_22,away_y_24,away_y_25,away_y_26,away_y_3,away_y_4,away_y_5,away_y_7,away_y_8,away_y_9,gk_away,home_x_10,home_x_11,home_x_13,home_x_19,home_x_20,home_x_21,home_x_22,home_x_23,home_x_24,home_x_26,home_x_3,home_x_4,home_x_5,home_x_6,home_x_7,home_x_8,home_x_9,home_y_10,home_y_11,home_y_13,home_y_19,home_y_20,home_y_21,home_y_22,home_y_23,home_y_24,home_y_26,home_y_3,home_y_4,home_y_5,home_y_6,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
33832,10517,29344,16.24,1,6737843,SH,OTB,3868,Angel Di Maria,11,1,LW,39.1,3.81,50.411,31.188,7.254,NA,NA,19.98,45.244,NA,48.701,NA,NA,NA,NA,41.776,40.654,25.133,40.929,-1.004,0.019,-3.255,18.095,NA,NA,-17.026,-0.942,NA,-6.49,NA,NA,NA,NA,1.829,4.544,11.926,0.15,-5.952,1,44.36,37.573,-0.475,0.671,15.28,NA,NA,-29.437,16.395,34.286,31.311,NA,NA,NA,49.664,NA,43.775,-1.708,5.501,-3.997,-2.96,5.181,NA,NA,-0.86,-13.214,-12.638,13.246,NA,NA,NA,-13.293,NA,2.398,23,FALSE,no_data,1,16.23,OTB,TRUE,NA,NA,3868,Ángel Di María,NA,NA,S,FALSE,FALSE,O,FALSE
38847,10517,34374,19.03,1,6738043,SH,OTB,113,Olivier Giroud,9,0,CF,-49.13,4.95,25,-46.196,-35.987,NA,NA,-46.374,-42.377,NA,-31.659,NA,NA,NA,NA,-47.069,-19.694,-47.459,-45.654,-45.924,-0.322,4.205,17.305,NA,NA,-7.083,6.444,NA,-5.736,NA,NA,NA,NA,2.524,1.405,-22.283,8.455,6.237,1,-47.199,-46.944,-46.153,-47.446,-46.39,NA,NA,-51.086,-45.785,-44.204,-45.394,NA,NA,NA,-47.042,NA,-39.264,-12.129,5.053,5.366,1.998,-0.679,NA,NA,1.595,-5.353,6.544,-6.828,NA,NA,NA,5.007,NA,-2.179,23,FALSE,no_data,1,19.02,OTB,FALSE,NA,NA,113,Olivier Giroud,NA,NA,S,FALSE,FALSE,O,FALSE
38847,10517,34375,19.03,1,6738043,SH,OTB,113,Olivier Giroud,9,0,CF,-49.13,4.95,25,-46.196,-35.987,NA,NA,-46.374,-42.377,NA,-31.659,NA,NA,NA,NA,-47.069,-19.694,-47.459,-45.654,-45.924,-0.322,4.205,17.305,NA,NA,-7.083,6.444,NA,-5.736,NA,NA,NA,NA,2.524,1.405,-22.283,8.455,6.237,1,-47.199,-46.944,-46.153,-47.446,-46.39,NA,NA,-51.086,-45.785,-44.204,-45.394,NA,NA,NA,-47.042,NA,-39.264,-12.129,5.053,5.366,1.998,-0.679,NA,NA,1.595,-5.353,6.544,-6.828,NA,NA,NA,5.007,NA,-2.179,23,FALSE,no_data,1,19.02,OTB,FALSE,NA,NA,113,Olivier Giroud,NA,NA,S,FALSE,FALSE,O,FALSE
38847,10517,34376,19.03,1,6738043,SH,OTB,113,Olivier Giroud,9,0,CF,-49.13,4.95,25,-46.196,-35.987,NA,NA,-46.374,-42.377,NA,-31.659,NA,NA,NA,NA,-47.069,-19.694,-47.459,-45.654,-45.924,-0.322,4.205,17.305,NA,NA,-7.083,6.444,NA,-5.736,NA,NA,NA,NA,2.524,1.405,-22.283,8.455,6.237,1,-47.199,-46.944,-46.153,-47.446,-46.39,NA,NA,-51.086,-45.785,-44.204,-45.394,NA,NA,NA,-47.042,NA,-39.264,-12.129,5.053,5.366,1.998,-0.679,NA,NA,1.595,-5.353,6.544,-6.828,NA,NA,NA,5.007,NA,-2.179,23,FALSE,no_data,1,19.02,OTB,FALSE,NA,NA,113,Olivier Giroud,NA,NA,S,FALSE,FALSE,O,FALSE
38847,10517,34377,19.03,1,6738043,SH,OTB,113,Olivier Giroud,9,0,CF,-49.13,4.95,25,-46.196,-35.987,NA,NA,-46.374,-42.377,NA,-31.659,NA,NA,NA,NA,-47.069,-19.694,-47.459,-45.654,-45.924,-0.322,4.205,17.305,NA,NA,-7.083,6.444,NA,-5.736,NA,NA,NA,NA,2.524,1.405,-22.283,8.455,6.237,1,-47.199,-46.944,-46.153,-47.446,-46.39,NA,NA,-51.086,-45.785,-44.204,-45.394,NA,NA,NA,-47.042,NA,-39.264,-12.129,5.053,5.366,1.998,-0.679,NA,NA,1.595,-5.353,6.544,-6.828,NA,NA,NA,5.007,NA,-2.179,23,FALSE,no_data,1,19.02,OTB,FALSE,NA,NA,113,Olivier Giroud,NA,NA,S,FALSE,FALSE,O,FALSE
38847,10517,34378,19.03,1,6738043,SH,OTB,113,Olivier Giroud,9,0,CF,-49.13,4.95,25,-46.196,-35.987,NA,NA,-46.374,-42.377,NA,-31.659,NA,NA,NA,NA,-47.069,-19.694,-47.459,-45.654,-45.924,-0.322,4.205,17.305,NA,NA,-7.083,6.444,NA,-5.736,NA,NA,NA,NA,2.524,1.405,-22.283,8.455,6.237,1,-47.199,-46.944,-46.153,-47.446,-46.39,NA,NA,-51.086,-45.785,-44.204,-45.394,NA,NA,NA,-47.042,NA,-39.264,-12.129,5.053,5.366,1.998,-0.679,NA,NA,1.595,-5.353,6.544,-6.828,NA,NA,NA,5.007,NA,-2.179,23,FALSE,no_data,1,19.02,OTB,FALSE,NA,NA,113,Olivier Giroud,NA,NA,S,FALSE,FALSE,O,FALSE
38847,10517,34379,19.03,1,6738043,SH,OTB,113,Olivier Giroud,9,0,CF,-49.13,4.95,25,-46.196,-35.987,NA,NA,-46.374,-42.377,NA,-31.659,NA,NA,NA,NA,-47.069,-19.694,-47.459,-45.654,-45.924,-0.322,4.205,17.305,NA,NA,-7.083,6.444,NA,-5.736,NA,NA,NA,NA,2.524,1.405,-22.283,8.455,6.237,1,-47.199,-46.944,-46.153,-47.446,-46.39,NA,NA,-51.086,-45.785,-44.204,-45.394,NA,NA,NA,-47.042,NA,-39.264,-12.129,5.053,5.366,1.998,-0.679,NA,NA,1.595,-5.353,6.544,-6.828,NA,NA,NA,5.007,NA,-2.179,23,FALSE,no_data,1,19.02,OTB,FALSE,NA,NA,113,Olivier Giroud,NA,NA,S,FALSE,FALSE,O,FALSE
38847,10517,34380,19.03,1,6738043,SH,OTB,113,Olivier Giroud,9,0,CF,-49.13,4.95,25,-46.196,-35.987,NA,NA,-46.374,-42.377,NA,-31.659,NA,NA,NA,NA,-47.069,-19.694,-47.459,-45.654,-45.924,-0.322,4.205,17.305,NA,NA,-7.083,6.444,NA,-5.736,NA,NA,NA,NA,2.524,1.405,-22.283,8.455,6.237,1,-47.199,-46.944,-46.153,-47.446,-46.39,NA,NA,-51.086,-45.785,-44.204,-45.394,NA,NA,NA,-47.042,NA,-39.264,-12.129,5.053,5.366,1.998,-0.679,NA,NA,1.595,-5.353,6.544,-6.828,NA,NA,NA,5.007,NA,-2.179,23,FALSE,no_data,1,19.02,OTB,FALSE,NA,NA,113,Olivier Giroud,NA,NA,S,FALSE,FALSE,O,FALSE
38847,10517,34381,19.03,1,6738043,SH,OTB,113,Olivier Giroud,9,0,CF,-49.13,4.95,25,-46.196,-35.987,NA,NA,-46.374,-42.377,NA,-31.659,NA,NA,NA,NA,-47.069,-19.694,-47.459,-45.654,-45.924,-0.322,4.205,17.305,NA,NA,-7.083,6.444,NA,-5.736,NA,NA,NA,NA,2.524,1.405,-22.283,8.455,6.237,1,-47.199,-46.944,-46.153,-47.446,-46.39,NA,NA,-51.086,-45.785,-44.204,-45.394,NA,NA,NA,-47.042,NA,-39.264,-12.129,5.053,5.366,1.998,-0.679,NA,NA,1.595,-5.353,6.544,-6.828,NA,NA,NA,5.007,NA,-2.179,23,FALSE,no_data,1,19.02,OTB,FALSE,NA,NA,113,Olivier Giroud,NA,NA,S,FALSE,FALSE,O,FALSE
44867,10517,40409,22.38,1,6738323,SH,OTB,1531,Lionel Messi,10,1,RW,44.69,0.09,51.55,27.117,29.221,NA,NA,35.041,35.656,NA,35.838,NA,NA,NA,NA,36.563,37.041,27.671,36.362,4.241,0.337,-4.03,12.026,NA,NA,-6.513,-9.25,NA,-6.983,NA,NA,NA,NA,4.448,6.744,3.474,1.873,-7.384,1,41.71,32.363,11.047,11.047,34.17,NA,NA,-39.386,30.762,18.558,17.207,NA,NA,NA,33.684,NA,39.997,0.184,8.222,2.3,2.3,4.318,NA,NA,-0.429,5.311,-4.715,13.679,NA,NA,NA,-1.235,NA,-7.028,23,FALSE,no_data,1,22.37,OTB,TRUE,NA,NA,1531,Lionel Messi,61,Hugo Lloris,S,TRUE,FALSE,G,TRUE
