frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_10,away_x_11,away_x_14,away_x_15,away_x_17,away_x_18,away_x_20,away_x_21,away_x_22,away_x_23,away_x_3,away_x_4,away_x_5,away_x_7,away_x_8,away_y_10,away_y_11,away_y_14,away_y_15,away_y_17,away_y_18,away_y_20,away_y_21,away_y_22,away_y_23,away_y_3,away_y_4,away_y_5,away_y_7,away_y_8,gk_away,home_x_14,home_x_15,home_x_16,home_x_18,home_x_20,home_x_21,home_x_22,home_x_26,home_x_3,home_x_4,home_x_5,home_x_6,home_x_7,home_x_8,home_x_9,home_y_14,home_y_15,home_y_16,home_y_18,home_y_20,home_y_21,home_y_22,home_y_26,home_y_3,home_y_4,home_y_5,home_y_6,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
NA,3812,NA,NA,NA,6497564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.73,OTB,TRUE,NA,NA,7988,Boulaye Dia,NA,NA,V,FALSE,FALSE,B,FALSE
11287,3812,7092,3.93,1,6497997,SH,OTB,3315,Vincent Janssen,18,0,CF,38.23,6.37,NA,33.351,NA,NA,42.745,37.974,NA,27.841,37.669,-25.496,29.237,11.775,9.724,45.905,46.941,NA,-5.768,NA,NA,5.369,5.91,NA,9.87,-20.075,-2.388,-14.267,-8.056,2.385,-2.901,-9.31,23,NA,31.909,49.556,26.061,NA,45.28,39.794,NA,45.775,42.846,27.795,44.178,NA,39.143,14.214,NA,7.683,-1.479,-21.386,NA,7.62,-14.645,NA,-5.868,0.251,-6.927,3.335,NA,6.175,-9.874,16,FALSE,no_data,1,3.92,OTB,FALSE,NA,NA,3315,Vincent Janssen,NA,NA,S,FALSE,FALSE,B,FALSE
20063,3812,15973,8.81,1,6498511,SH,OTB,428,Ismaïla Sarr,18,1,LW,-33.31,3.89,NA,-29.756,NA,NA,-37.507,1.814,NA,-31.16,-14.378,-49.106,-36.863,-38.065,-38.316,-0.63,-26.203,NA,11.603,NA,NA,14.112,0.672,NA,4.473,-20.159,-0.548,-3.812,1.747,6.395,10.224,2.937,23,NA,-34.832,31.481,-32.339,NA,-9.716,-3.146,NA,0.165,0.984,-37.015,-19.414,NA,-24.311,-36.739,NA,16.463,0.811,4.97,NA,20.252,-14.128,NA,8.676,-1.926,11.036,1.518,NA,9.344,-0.714,16,TRUE,goal_detected,1,8.78,OTB,TRUE,NA,NA,428,Ismaïla Sarr,NA,NA,F,FALSE,FALSE,O,FALSE
27438,3812,23378,12.91,1,6498707,SH,OTB,214,Nampalys Mendy,6,1,CM,-35.05,5.71,NA,-37.605,NA,NA,-39.088,-2.218,NA,-32.844,-37.048,-50.193,-42.367,-37.525,-40.89,-8.387,-34.337,NA,5.154,NA,NA,13.636,9.826,NA,10.405,-6.3,0.463,-1.554,4.42,8.924,19.578,3.227,23,NA,-25.393,29.214,-42.191,NA,-17.884,-11.452,NA,-4.289,-1.418,-37.724,-34.578,NA,-22.467,-40.83,NA,24.514,1.375,-6.254,NA,21.068,-9.312,NA,14.631,4.432,5.62,5.292,NA,13.142,15.836,16,FALSE,no_data,1,12.88,OTB,TRUE,NA,NA,214,Nampalys Mendy,NA,NA,S,FALSE,FALSE,B,FALSE
33534,3812,29474,16.3,1,6497505,SH,OTB,8026,Daley Blind,17,0,LWB,51.68,10.82,NA,29.112,NA,NA,46.561,45.508,NA,31.847,43.618,-26.14,27.42,6.968,18.181,42.596,47.936,NA,-12.254,NA,NA,8.293,-3.173,NA,6.274,-18.657,-3.384,-23.52,-5.375,6.267,-0.417,-31.685,23,NA,34.53,50.874,37.157,NA,46.444,47.47,NA,47.736,49.245,37.879,43.723,NA,42.861,37.151,NA,3.438,1.003,-25.013,NA,7.537,-30.559,NA,2.006,-2.898,-14.654,-16.672,NA,-1.866,5.555,16,FALSE,no_data,1,16.28,OTB,FALSE,NA,NA,8026,Daley Blind,NA,NA,S,FALSE,FALSE,O,FALSE
33534,3812,29475,16.3,1,6497505,SH,OTB,8026,Daley Blind,17,0,LWB,51.68,10.82,NA,29.112,NA,NA,46.561,45.508,NA,31.847,43.618,-26.14,27.42,6.968,18.181,42.596,47.936,NA,-12.254,NA,NA,8.293,-3.173,NA,6.274,-18.657,-3.384,-23.52,-5.375,6.267,-0.417,-31.685,23,NA,34.53,50.874,37.157,NA,46.444,47.47,NA,47.736,49.245,37.879,43.723,NA,42.861,37.151,NA,3.438,1.003,-25.013,NA,7.537,-30.559,NA,2.006,-2.898,-14.654,-16.672,NA,-1.866,5.555,16,FALSE,no_data,1,16.28,OTB,FALSE,NA,NA,8026,Daley Blind,NA,NA,S,FALSE,FALSE,O,FALSE
33534,3812,29476,16.3,1,6497505,SH,OTB,8026,Daley Blind,17,0,LWB,51.68,10.82,NA,29.112,NA,NA,46.561,45.508,NA,31.847,43.618,-26.14,27.42,6.968,18.181,42.596,47.936,NA,-12.254,NA,NA,8.293,-3.173,NA,6.274,-18.657,-3.384,-23.52,-5.375,6.267,-0.417,-31.685,23,NA,34.53,50.874,37.157,NA,46.444,47.47,NA,47.736,49.245,37.879,43.723,NA,42.861,37.151,NA,3.438,1.003,-25.013,NA,7.537,-30.559,NA,2.006,-2.898,-14.654,-16.672,NA,-1.866,5.555,16,FALSE,no_data,1,16.28,OTB,FALSE,NA,NA,8026,Daley Blind,NA,NA,S,FALSE,FALSE,O,FALSE
33534,3812,29477,16.3,1,6497505,SH,OTB,8026,Daley Blind,17,0,LWB,51.68,10.82,NA,29.112,NA,NA,46.561,45.508,NA,31.847,43.618,-26.14,27.42,6.968,18.181,42.596,47.936,NA,-12.254,NA,NA,8.293,-3.173,NA,6.274,-18.657,-3.384,-23.52,-5.375,6.267,-0.417,-31.685,23,NA,34.53,50.874,37.157,NA,46.444,47.47,NA,47.736,49.245,37.879,43.723,NA,42.861,37.151,NA,3.438,1.003,-25.013,NA,7.537,-30.559,NA,2.006,-2.898,-14.654,-16.672,NA,-1.866,5.555,16,FALSE,no_data,1,16.28,OTB,FALSE,NA,NA,8026,Daley Blind,NA,NA,S,FALSE,FALSE,O,FALSE
33534,3812,29478,16.3,1,6497505,SH,OTB,8026,Daley Blind,17,0,LWB,51.68,10.82,NA,29.112,NA,NA,46.561,45.508,NA,31.847,43.618,-26.14,27.42,6.968,18.181,42.596,47.936,NA,-12.254,NA,NA,8.293,-3.173,NA,6.274,-18.657,-3.384,-23.52,-5.375,6.267,-0.417,-31.685,23,NA,34.53,50.874,37.157,NA,46.444,47.47,NA,47.736,49.245,37.879,43.723,NA,42.861,37.151,NA,3.438,1.003,-25.013,NA,7.537,-30.559,NA,2.006,-2.898,-14.654,-16.672,NA,-1.866,5.555,16,FALSE,no_data,1,16.28,OTB,FALSE,NA,NA,8026,Daley Blind,NA,NA,S,FALSE,FALSE,O,FALSE
33534,3812,29479,16.3,1,6497505,SH,OTB,8026,Daley Blind,17,0,LWB,51.68,10.82,NA,29.112,NA,NA,46.561,45.508,NA,31.847,43.618,-26.14,27.42,6.968,18.181,42.596,47.936,NA,-12.254,NA,NA,8.293,-3.173,NA,6.274,-18.657,-3.384,-23.52,-5.375,6.267,-0.417,-31.685,23,NA,34.53,50.874,37.157,NA,46.444,47.47,NA,47.736,49.245,37.879,43.723,NA,42.861,37.151,NA,3.438,1.003,-25.013,NA,7.537,-30.559,NA,2.006,-2.898,-14.654,-16.672,NA,-1.866,5.555,16,FALSE,no_data,1,16.28,OTB,FALSE,NA,NA,8026,Daley Blind,NA,NA,S,FALSE,FALSE,O,FALSE
33534,3812,29480,16.3,1,6497505,SH,OTB,8026,Daley Blind,17,0,LWB,51.68,10.82,NA,29.112,NA,NA,46.561,45.508,NA,31.847,43.618,-26.14,27.42,6.968,18.181,42.596,47.936,NA,-12.254,NA,NA,8.293,-3.173,NA,6.274,-18.657,-3.384,-23.52,-5.375,6.267,-0.417,-31.685,23,NA,34.53,50.874,37.157,NA,46.444,47.47,NA,47.736,49.245,37.879,43.723,NA,42.861,37.151,NA,3.438,1.003,-25.013,NA,7.537,-30.559,NA,2.006,-2.898,-14.654,-16.672,NA,-1.866,5.555,16,FALSE,no_data,1,16.28,OTB,FALSE,NA,NA,8026,Daley Blind,NA,NA,S,FALSE,FALSE,O,FALSE
33534,3812,29481,16.3,1,6497505,SH,OTB,8026,Daley Blind,17,0,LWB,51.68,10.82,NA,29.112,NA,NA,46.561,45.508,NA,31.847,43.618,-26.14,27.42,6.968,18.181,42.596,47.936,NA,-12.254,NA,NA,8.293,-3.173,NA,6.274,-18.657,-3.384,-23.52,-5.375,6.267,-0.417,-31.685,23,NA,34.53,50.874,37.157,NA,46.444,47.47,NA,47.736,49.245,37.879,43.723,NA,42.861,37.151,NA,3.438,1.003,-25.013,NA,7.537,-30.559,NA,2.006,-2.898,-14.654,-16.672,NA,-1.866,5.555,16,FALSE,no_data,1,16.28,OTB,FALSE,NA,NA,8026,Daley Blind,NA,NA,S,FALSE,FALSE,O,FALSE
