frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_11,away_x_14,away_x_15,away_x_17,away_x_18,away_x_19,away_x_2,away_x_26,away_x_3,away_x_4,away_x_5,away_x_6,away_x_7,away_x_8,away_x_9,away_y_1,away_y_11,away_y_14,away_y_15,away_y_17,away_y_18,away_y_19,away_y_2,away_y_26,away_y_3,away_y_4,away_y_5,away_y_6,away_y_7,away_y_8,away_y_9,gk_away,home_x_10,home_x_11,home_x_13,home_x_14,home_x_15,home_x_17,home_x_18,home_x_19,home_x_2,home_x_20,home_x_21,home_x_22,home_x_24,home_x_3,home_x_4,home_x_5,home_y_10,home_y_11,home_y_13,home_y_14,home_y_15,home_y_17,home_y_18,home_y_19,home_y_2,home_y_20,home_y_21,home_y_22,home_y_24,home_y_3,home_y_4,home_y_5,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
5058,3853,3789,2.09,1,6614345,SH,OTB,1289,Mark-Anthony Kaye,14,1,CM,33.56,-0.37,49.188,36.381,NA,NA,34.18,NA,31.876,42.695,NA,41.746,44.873,41.027,36.207,26.796,38.689,NA,-1.121,-2.994,NA,NA,-10.659,NA,1.944,6.675,NA,-7.768,-2.874,2.129,-6.528,1.4,0.653,NA,1,42.018,43.076,NA,31.318,NA,45.643,-28.901,33.876,25.166,NA,41.817,NA,NA,27.092,8.697,17.964,4.65,11.747,NA,-0.134,NA,-5.927,-0.218,-8.694,-16.666,NA,-2.728,NA,NA,19.15,7.416,-4.423,18,FALSE,no_data,1,2.08,OTB,TRUE,NA,NA,1289,Mark-Anthony Kaye,NA,NA,F,FALSE,FALSE,B,FALSE
7556,3853,6287,3.48,1,6614786,SH,OTB,1938,Hakim Ziyech,7,0,RW,-22.79,2.71,36.129,-2.195,NA,NA,-3.804,NA,-31.381,5.443,NA,4.707,0.343,7.541,7.065,-20.138,-15.777,NA,-6.363,-15.887,NA,NA,-24.872,NA,-2.405,8.219,NA,-22.968,-7.529,-2.6,-18.404,4.471,0.352,NA,1,6.358,3.33,NA,2.622,NA,9.012,-33.492,-19.814,-18.109,NA,-4.674,NA,NA,-18.205,-30.523,-33.642,-3.344,15.299,NA,-17.658,NA,-15.056,0.051,-10.367,-29.075,NA,-18.708,NA,NA,15.708,2.598,-15.422,18,TRUE,goal_detected,1,3.47,OTB,FALSE,NA,NA,1938,Hakim Ziyech,14031,Milan Borjan,L,FALSE,FALSE,G,TRUE
16212,3853,14988,8.29,1,6615297,SH,OTB,12777,Abdelhamid Sabiri,11,0,CM,-26.41,2.26,25.684,-22.57,NA,NA,-31.327,NA,-31.907,-15.932,NA,-13.843,-27.106,-33.217,-33.133,-20.158,-29.66,NA,0.703,-0.856,NA,NA,-6.881,NA,16.742,4.619,NA,-6.786,1.61,-8.42,0.487,2.071,10.769,NA,1,-31.343,-32.482,NA,-31.026,NA,-29.312,-50.508,-32.428,-32.5,NA,-32.605,NA,NA,-31.621,-32.744,-32.608,-1.699,13.118,NA,1.964,NA,1.78,0.245,-10.328,-6.911,NA,8.123,NA,NA,3.801,1.676,-0.212,18,FALSE,no_data,1,8.28,OTB,FALSE,NA,NA,12777,Abdelhamid Sabiri,NA,NA,F,FALSE,TRUE,B,FALSE
17756,3853,16535,9.15,1,6615390,SH,OTB,401,Sofiane Boufal,17,0,LW,-41.68,5.13,25.41,-42.275,NA,NA,-22.648,NA,-48.43,-40.693,NA,-19.488,-33.753,-39.292,-45.255,-45.562,-36.537,NA,0.875,1.239,NA,NA,7.205,NA,4.753,9.041,NA,5.467,15.518,1.996,-1.22,9.015,3.93,NA,1,-36.724,-36.699,NA,-42.225,NA,-42.926,-50.771,-46.028,-46.898,NA,-44.061,NA,NA,-41.001,-44.605,-47.154,9.326,2.577,NA,7.118,NA,5.527,1.357,-3.174,-0.671,NA,7.142,NA,NA,7.7,5.837,2.447,18,FALSE,no_data,1,9.12,OTB,FALSE,NA,NA,401,Sofiane Boufal,NA,NA,V,FALSE,FALSE,O,FALSE
26690,3853,25469,14.12,1,6616317,SH,OTB,963,Tajon Buchanan,11,1,LM,48.72,5.74,49.61,30.817,NA,NA,19.293,NA,-2.399,46.057,NA,40.29,37.468,46.807,29.387,1.995,21.806,NA,2.835,-11.587,NA,NA,-27.119,NA,-8.934,-11.187,NA,-14.317,-10.413,0.868,-13.744,7.772,-14.932,NA,1,29.456,47.48,NA,4.346,NA,43.032,-34.582,12.086,-2.44,NA,12.918,NA,NA,12.615,-3.658,-6.178,-5.008,5.445,NA,-8.738,NA,-18.715,-1.26,-18.15,-14.696,NA,-8.159,NA,NA,8.23,-0.251,-4.062,18,FALSE,no_data,1,14.12,OTB,TRUE,NA,NA,963,Tajon Buchanan,NA,NA,I,FALSE,FALSE,O,FALSE
28457,3853,27236,15.1,1,6613941,SH,OTB,1938,Hakim Ziyech,7,0,RW,-33.42,10.78,31.677,-39.888,NA,NA,-35.567,NA,-39.528,-19.202,NA,-9.296,-10.598,-0.147,-1.443,-32.027,-37.079,NA,0.936,6.643,NA,NA,-11.901,NA,-6.893,18.106,NA,-14.784,3.944,9.898,-7.756,13.204,13.144,NA,1,-1.929,-32.489,NA,-29.097,NA,-2.6,-49.429,-33.933,-42.216,NA,-37.112,NA,NA,-36.287,-40.808,-40.667,8.158,15.17,NA,7.451,NA,-7.67,-0.042,9.681,-4.625,NA,1.745,NA,NA,13.654,5.551,1.597,18,TRUE,goal_detected,1,14.98,OTB,FALSE,NA,NA,1938,Hakim Ziyech,NA,NA,S,FALSE,FALSE,O,FALSE
41935,3853,40744,22.6,1,6615519,SH,OTB,1810,Youssef En-Nesyri,19,0,CF,-41.9,12.31,35.921,-0.773,NA,NA,-9.178,NA,-31.632,10.542,NA,5.05,8.603,18.52,15.733,-7.753,-1.305,NA,2.073,13.077,NA,NA,-15.586,NA,6.509,27.054,NA,-12.199,1.064,18.65,1.247,22.727,7.991,NA,1,17.466,5.943,NA,-3.82,NA,15.173,-48.994,-1.279,-25.849,NA,-0.187,NA,NA,-6.286,-32.348,-40.038,18.679,28.34,NA,-6.601,NA,5.86,3.38,5.587,-7.736,NA,12.506,NA,NA,27.28,12.965,10.27,18,FALSE,no_data,1,22.57,OTB,FALSE,NA,NA,1810,Youssef En-Nesyri,14031,Milan Borjan,V,FALSE,FALSE,G,TRUE
60187,3853,59026,32.75,1,6614413,SH,OTB,12777,Abdelhamid Sabiri,11,0,CM,-43.4,-4.13,30.628,-42.19,NA,NA,-41.571,NA,-46.689,-46.354,NA,-20.214,-15.789,-5.429,-10.098,-31.071,-36.17,NA,0.219,-5.032,NA,NA,-4.431,NA,7.692,18.952,NA,-11.787,6.316,10.619,-5.989,13.586,5.261,NA,1,-38.156,-39.588,NA,-24.218,NA,-7.697,-50.482,-36.983,-44.511,NA,-34.862,NA,NA,-47.414,-43.654,-46.53,-10.897,13.905,NA,5.124,NA,-3.206,-1.604,-3.34,-3.114,NA,1.359,NA,NA,20.496,4.745,-3.227,18,FALSE,no_data,1,32.73,OTB,FALSE,NA,NA,12777,Abdelhamid Sabiri,NA,NA,F,FALSE,FALSE,B,FALSE
NA,3853,NA,NA,NA,6616040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,39.8,OTB,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,G,TRUE
86340,3853,85269,47.29,1,6616921,SH,OTB,1810,Youssef En-Nesyri,19,0,CF,-44.71,6.53,26.138,-39.426,NA,NA,-39.014,NA,-41.197,-16.562,NA,-14.781,-29.184,-49.622,-47.37,-27.074,-29.139,NA,1.149,9.173,NA,NA,-6.819,NA,6.043,7.399,NA,-1.86,10.443,3.118,7.649,25.342,-1.461,NA,1,-42.588,-30.245,NA,-45.614,NA,-36.464,-51.521,-35.158,-44.638,NA,-42.296,NA,NA,-45.19,-40.302,-42.44,-9.132,14.137,NA,4.503,NA,3.715,1.181,9.153,-2.936,NA,9.389,NA,NA,1.806,2.163,0.489,18,TRUE,goal_detected,1,47.28,OTB,FALSE,NA,NA,1810,Youssef En-Nesyri,14031,Milan Borjan,V,FALSE,FALSE,G,TRUE
