frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_13,away_x_14,away_x_15,away_x_18,away_x_19,away_x_2,away_x_20,away_x_21,away_x_24,away_x_6,away_x_7,away_x_9,away_y_1,away_y_10,away_y_13,away_y_14,away_y_15,away_y_18,away_y_19,away_y_2,away_y_20,away_y_21,away_y_24,away_y_6,away_y_7,away_y_9,gk_away,home_x_10,home_x_13,home_x_15,home_x_16,home_x_19,home_x_20,home_x_21,home_x_22,home_x_23,home_x_24,home_x_3,home_x_4,home_x_8,home_x_9,home_y_10,home_y_13,home_y_15,home_y_16,home_y_19,home_y_20,home_y_21,home_y_22,home_y_23,home_y_24,home_y_3,home_y_4,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
22760,3818,21141,11.74,1,6505590,SH,OTB,3301,Héctor Moreno,15,1,LCB,48.47,-1.85,51.431,46.934,40.787,47.563,47.359,46.188,38.167,42.417,47.453,40.881,NA,NA,NA,43.639,-1.127,-0.921,21.818,-2.271,2.57,-5.991,16.882,7.276,0.823,-2.824,NA,NA,NA,10.306,1,35.582,-25,47.717,29.59,18.538,44.402,NA,45.523,25.801,41.94,46.193,42.83,NA,NA,8.462,1.309,0.036,-4.747,1.717,2.181,NA,-4.616,19.549,29.156,-7.261,-9.014,NA,NA,13,FALSE,no_data,1,11.73,OTB,TRUE,NA,NA,3301,Héctor Moreno,NA,NA,S,FALSE,FALSE,O,FALSE
22760,3818,21142,11.74,1,6505590,SH,OTB,3301,Héctor Moreno,15,1,LCB,48.47,-1.85,51.431,46.934,40.787,47.563,47.359,46.188,38.167,42.417,47.453,40.881,NA,NA,NA,43.639,-1.127,-0.921,21.818,-2.271,2.57,-5.991,16.882,7.276,0.823,-2.824,NA,NA,NA,10.306,1,35.582,-25,47.717,29.59,18.538,44.402,NA,45.523,25.801,41.94,46.193,42.83,NA,NA,8.462,1.309,0.036,-4.747,1.717,2.181,NA,-4.616,19.549,29.156,-7.261,-9.014,NA,NA,13,FALSE,no_data,1,11.73,OTB,TRUE,NA,NA,3301,Héctor Moreno,NA,NA,S,FALSE,FALSE,O,FALSE
22760,3818,21143,11.74,1,6505590,SH,OTB,3301,Héctor Moreno,15,1,LCB,48.47,-1.85,51.431,46.934,40.787,47.563,47.359,46.188,38.167,42.417,47.453,40.881,NA,NA,NA,43.639,-1.127,-0.921,21.818,-2.271,2.57,-5.991,16.882,7.276,0.823,-2.824,NA,NA,NA,10.306,1,35.582,-25,47.717,29.59,18.538,44.402,NA,45.523,25.801,41.94,46.193,42.83,NA,NA,8.462,1.309,0.036,-4.747,1.717,2.181,NA,-4.616,19.549,29.156,-7.261,-9.014,NA,NA,13,FALSE,no_data,1,11.73,OTB,TRUE,NA,NA,3301,Héctor Moreno,NA,NA,S,FALSE,FALSE,O,FALSE
22760,3818,21144,11.74,1,6505590,SH,OTB,3301,Héctor Moreno,15,1,LCB,48.47,-1.85,51.431,46.934,40.787,47.563,47.359,46.188,38.167,42.417,47.453,40.881,NA,NA,NA,43.639,-1.127,-0.921,21.818,-2.271,2.57,-5.991,16.882,7.276,0.823,-2.824,NA,NA,NA,10.306,1,35.582,-25,47.717,29.59,18.538,44.402,NA,45.523,25.801,41.94,46.193,42.83,NA,NA,8.462,1.309,0.036,-4.747,1.717,2.181,NA,-4.616,19.549,29.156,-7.261,-9.014,NA,NA,13,FALSE,no_data,1,11.73,OTB,TRUE,NA,NA,3301,Héctor Moreno,NA,NA,S,FALSE,FALSE,O,FALSE
22760,3818,21145,11.74,1,6505590,SH,OTB,3301,Héctor Moreno,15,1,LCB,48.47,-1.85,51.431,46.934,40.787,47.563,47.359,46.188,38.167,42.417,47.453,40.881,NA,NA,NA,43.639,-1.127,-0.921,21.818,-2.271,2.57,-5.991,16.882,7.276,0.823,-2.824,NA,NA,NA,10.306,1,35.582,-25,47.717,29.59,18.538,44.402,NA,45.523,25.801,41.94,46.193,42.83,NA,NA,8.462,1.309,0.036,-4.747,1.717,2.181,NA,-4.616,19.549,29.156,-7.261,-9.014,NA,NA,13,FALSE,no_data,1,11.73,OTB,TRUE,NA,NA,3301,Héctor Moreno,NA,NA,S,FALSE,FALSE,O,FALSE
22760,3818,21146,11.74,1,6505590,SH,OTB,3301,Héctor Moreno,15,1,LCB,48.47,-1.85,51.431,46.934,40.787,47.563,47.359,46.188,38.167,42.417,47.453,40.881,NA,NA,NA,43.639,-1.127,-0.921,21.818,-2.271,2.57,-5.991,16.882,7.276,0.823,-2.824,NA,NA,NA,10.306,1,35.582,-25,47.717,29.59,18.538,44.402,NA,45.523,25.801,41.94,46.193,42.83,NA,NA,8.462,1.309,0.036,-4.747,1.717,2.181,NA,-4.616,19.549,29.156,-7.261,-9.014,NA,NA,13,FALSE,no_data,1,11.73,OTB,TRUE,NA,NA,3301,Héctor Moreno,NA,NA,S,FALSE,FALSE,O,FALSE
22760,3818,21147,11.74,1,6505590,SH,OTB,3301,Héctor Moreno,15,1,LCB,48.47,-1.85,51.431,46.934,40.787,47.563,47.359,46.188,38.167,42.417,47.453,40.881,NA,NA,NA,43.639,-1.127,-0.921,21.818,-2.271,2.57,-5.991,16.882,7.276,0.823,-2.824,NA,NA,NA,10.306,1,35.582,-25,47.717,29.59,18.538,44.402,NA,45.523,25.801,41.94,46.193,42.83,NA,NA,8.462,1.309,0.036,-4.747,1.717,2.181,NA,-4.616,19.549,29.156,-7.261,-9.014,NA,NA,13,FALSE,no_data,1,11.73,OTB,TRUE,NA,NA,3301,Héctor Moreno,NA,NA,S,FALSE,FALSE,O,FALSE
47832,3818,46340,25.68,1,6505982,SH,OTB,3414,Alexis Vega,10,1,LW,47.34,4.07,51.766,44.362,35.242,46.958,46.619,45.597,39.429,46.454,42.08,41.686,NA,NA,NA,21.404,0.416,-2.326,6.554,-14.149,-4.05,-9.262,-13.832,4.471,-0.4,-21.596,NA,NA,NA,-19.462,1,46.983,-26.258,9.767,43.772,36.56,47.056,NA,33.144,20.384,45.178,11.327,24.19,NA,NA,6.01,-2.703,-1.508,-18.462,-14.001,-2.664,NA,-22.11,7.231,0.759,-16.221,-7.341,NA,NA,13,FALSE,no_data,1,25.67,OTB,TRUE,NA,NA,3414,Alexis Vega,NA,NA,S,FALSE,FALSE,O,FALSE
47832,3818,46341,25.68,1,6505982,SH,OTB,3414,Alexis Vega,10,1,LW,47.34,4.07,51.766,44.362,35.242,46.958,46.619,45.597,39.429,46.454,42.08,41.686,NA,NA,NA,21.404,0.416,-2.326,6.554,-14.149,-4.05,-9.262,-13.832,4.471,-0.4,-21.596,NA,NA,NA,-19.462,1,46.983,-26.258,9.767,43.772,36.56,47.056,NA,33.144,20.384,45.178,11.327,24.19,NA,NA,6.01,-2.703,-1.508,-18.462,-14.001,-2.664,NA,-22.11,7.231,0.759,-16.221,-7.341,NA,NA,13,FALSE,no_data,1,25.67,OTB,TRUE,NA,NA,3414,Alexis Vega,NA,NA,S,FALSE,FALSE,O,FALSE
47832,3818,46342,25.68,1,6505982,SH,OTB,3414,Alexis Vega,10,1,LW,47.34,4.07,51.766,44.362,35.242,46.958,46.619,45.597,39.429,46.454,42.08,41.686,NA,NA,NA,21.404,0.416,-2.326,6.554,-14.149,-4.05,-9.262,-13.832,4.471,-0.4,-21.596,NA,NA,NA,-19.462,1,46.983,-26.258,9.767,43.772,36.56,47.056,NA,33.144,20.384,45.178,11.327,24.19,NA,NA,6.01,-2.703,-1.508,-18.462,-14.001,-2.664,NA,-22.11,7.231,0.759,-16.221,-7.341,NA,NA,13,FALSE,no_data,1,25.67,OTB,TRUE,NA,NA,3414,Alexis Vega,NA,NA,S,FALSE,FALSE,O,FALSE
