frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_11,away_x_12,away_x_14,away_x_18,away_x_2,away_x_20,away_x_22,away_x_24,away_x_3,away_x_4,away_x_5,away_x_6,away_x_7,away_x_8,away_x_9,away_y_1,away_y_11,away_y_12,away_y_14,away_y_18,away_y_2,away_y_20,away_y_22,away_y_24,away_y_3,away_y_4,away_y_5,away_y_6,away_y_7,away_y_8,away_y_9,gk_away,home_x_10,home_x_11,home_x_12,home_x_13,home_x_14,home_x_15,home_x_16,home_x_20,home_x_25,home_x_3,home_x_4,home_x_5,home_x_6,home_x_7,home_x_8,home_x_9,home_y_10,home_y_11,home_y_12,home_y_13,home_y_14,home_y_15,home_y_16,home_y_20,home_y_25,home_y_3,home_y_4,home_y_5,home_y_6,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
21786,3846,16611,9.18,1,6596160,SH,OTB,136,Marcus Rashford,11,0,LW,-39.16,0.68,30.539,-38.298,NA,NA,NA,-6.946,-33.137,-17.572,NA,-8.651,-8.505,3.246,-0.929,NA,-8.126,-16.182,0.774,0.021,NA,NA,NA,11.642,6.04,-0.136,NA,-10.434,0.831,7.331,-2.968,NA,13.03,6.081,1,-17.549,-7.985,-43.765,-6.507,NA,-17.617,NA,-1.616,NA,-36.267,-29.154,-26.021,-37.382,-23.02,NA,NA,8.651,-5.657,0.367,-0.984,NA,7.495,NA,18.843,NA,-2.487,12.351,0.51,7.354,-1.537,NA,NA,12,FALSE,no_data,1,9.17,OTB,FALSE,NA,NA,136,Marcus Rashford,201,Danny Ward,L,FALSE,FALSE,S,FALSE
30554,3846,25379,14.05,1,6596844,SH,OTB,21,Phil Foden,20,0,RW,-33.85,11.5,25,-39.65,NA,NA,NA,-17.371,-32.343,-42.776,NA,-26.502,-42.546,-43.002,-24.948,NA,-41.746,-43.136,-0.578,-8.161,NA,NA,NA,3.303,14.594,-3.654,NA,-19.512,-7.47,-0.884,3.646,NA,12.616,7.096,1,-32.993,-43.3,-49.86,-37.578,NA,-41.314,NA,-39.993,NA,-42.32,-42.129,-42.93,-42.237,-36.035,NA,NA,1.435,-2.076,1.092,3.53,NA,0.461,NA,-8.81,NA,-5.48,12.359,0.367,4.995,6.328,NA,NA,12,TRUE,goal_detected,1,14.03,OTB,FALSE,NA,NA,21,Phil Foden,NA,NA,S,FALSE,FALSE,O,FALSE
46739,3846,41609,23.06,1,6596506,SH,OTB,136,Marcus Rashford,11,0,LW,-33.66,-17.17,25,-32.703,NA,NA,NA,-19.429,-44.362,-33.812,NA,-26.545,-40.837,-43.669,-40.777,NA,-31.666,-43.653,-1.445,-19.367,NA,NA,NA,2.451,8.819,-7.372,NA,-22.482,3.111,2.572,-2.559,NA,15.458,-3.877,1,-37.611,-38.317,-50.061,-40.736,NA,-44.016,NA,-33.947,NA,-42.48,-40.768,-38.864,-45.012,-34.052,NA,NA,-2.694,-20.632,-2.548,-0.062,NA,2.045,NA,16.047,NA,-0.852,11.253,-11.184,5.088,-18.959,NA,NA,12,FALSE,no_data,1,22.97,OTB,FALSE,NA,NA,136,Marcus Rashford,NA,NA,S,FALSE,FALSE,B,FALSE
72174,3846,67134,37.2,1,6595712,SH,OTB,21,Phil Foden,20,0,RW,-39.24,6.76,29.922,-39.729,NA,NA,NA,-34.728,-39.979,-33.561,NA,-30.915,-18.927,-4.981,-6.767,NA,-35.296,-43.586,1.382,-10.289,NA,NA,NA,17.787,7.663,14.548,NA,-10.208,10.529,14.142,5.277,NA,5.202,9.889,1,-15.985,-38.117,-49.496,-4.699,-44.355,-42.491,NA,-20.17,NA,NA,-41.125,-41.236,-45.924,-45.543,NA,NA,11.503,2.66,1.798,15.027,-3.558,6.616,NA,18.213,NA,NA,12.39,6.129,7.511,11.228,NA,NA,12,FALSE,no_data,1,37.18,OTB,FALSE,NA,NA,21,Phil Foden,NA,NA,S,FALSE,FALSE,O,FALSE
73974,3846,68934,38.2,1,6595766,SH,OTB,6935,Joe Allen,7,1,CM,30.11,-5.26,49.291,27.276,NA,NA,NA,34.309,34.788,41.387,NA,38.829,31.908,39.594,39.272,NA,37.695,27.238,-0.028,-12.992,NA,NA,NA,3.048,16.766,-8.074,NA,-0.652,-4.371,3.577,-6.047,NA,6.986,-0.297,1,31.098,43.712,-27.849,38.458,42.833,40.958,NA,37.034,NA,NA,21.41,17.969,8.094,29.142,NA,NA,5.112,-1.237,0.128,1.932,-8.858,8.895,NA,8.194,NA,NA,13.74,-13.135,1.659,-4.891,NA,NA,12,FALSE,no_data,1,38.2,OTB,TRUE,NA,NA,6935,Joe Allen,NA,NA,S,FALSE,FALSE,B,FALSE
74765,3846,69725,38.64,1,6595819,SH,OTB,136,Marcus Rashford,11,0,LW,-42.75,-4.3,27.298,-40.977,NA,NA,NA,-25.229,-36.157,-23.434,NA,-26.886,-16.558,-7.432,-6.943,NA,-32.338,-34.911,1.28,-4.84,NA,NA,NA,22.818,19.948,-3.303,NA,-15.559,2.027,12.328,-0.056,NA,14.487,10.535,1,-22.979,-26.892,-50.355,-16.676,-34.49,-34.053,NA,-28.474,NA,NA,-37.57,-42.927,-36.981,-36.02,NA,NA,4.034,-9.015,-1.011,17.079,-8.656,13.208,NA,23.864,NA,NA,19.663,-1.065,15.187,2.351,NA,NA,12,FALSE,no_data,1,38.63,OTB,FALSE,NA,NA,136,Marcus Rashford,NA,NA,B,FALSE,FALSE,O,FALSE
84124,3846,79163,43.85,1,6596486,SH,OTB,1,Harry Kane,9,0,CF,-36.31,-4.25,25,-36.604,NA,NA,NA,-20.372,-43.293,-42.588,NA,-35.987,-21.536,-4.864,-12.806,NA,-40.844,-35.815,-1.757,-20.042,NA,NA,NA,6.519,-0.575,-14.926,NA,-5.561,-2.147,0.339,-9.078,NA,4.941,-3.046,1,-36.601,-40.629,-49.918,-18.327,-46.417,-44.436,NA,-30.687,NA,NA,-44.956,-44.09,-42.032,-38.377,NA,NA,-3.515,-10.322,-2.05,-4.364,-12.096,4.862,NA,11.944,NA,NA,-0.463,-3.922,-11.808,-6.329,NA,NA,12,FALSE,no_data,1,43.83,OTB,FALSE,NA,NA,1,Harry Kane,NA,NA,S,FALSE,FALSE,B,FALSE
90267,3846,85324,47.26,1,6597000,SH,OTB,1,Harry Kane,9,0,CF,-37.64,-11.14,28.437,-31.934,NA,NA,NA,-17.233,-41.379,-32.421,NA,-37.771,-17.588,-10.685,-37.646,NA,-28.692,-35.784,-1.491,-12.276,NA,NA,NA,10.659,1.325,-7.086,NA,-23.302,-14.81,1.793,-9.727,NA,2.166,-11.998,1,-35.99,-11.052,-49.95,-8.013,-42.974,-29.347,NA,-30.864,NA,NA,-43.611,-37.475,-43.952,-35.981,NA,NA,-8.094,-0.887,-2.341,-5.409,-11.834,-12.403,NA,8.893,NA,NA,0.81,-10.872,-1.841,-5.465,NA,NA,12,FALSE,no_data,1,47.22,OTB,FALSE,NA,NA,1,Harry Kane,NA,NA,S,FALSE,FALSE,B,FALSE
91450,3846,86515,47.92,1,6597756,SH,OTB,10,John Stones,5,0,RCB,-50.25,2.7,25,-40.302,NA,NA,NA,-22.464,-45.19,-41.047,NA,-25.36,-48.271,-39.924,-45.681,NA,-41.963,-48.165,-0.833,-18.903,NA,NA,NA,2.921,11.386,-17.205,NA,-13.8,-4.516,4.059,6.643,NA,2.234,2.395,1,-46.368,-29.435,-50.947,-45.935,-48.161,-47.724,NA,-35.839,NA,NA,-48.105,-48.963,-47.031,-40.213,NA,NA,-9.631,-0.677,2.373,2.12,-2.951,8.489,NA,-9.503,NA,NA,2.961,0.707,7.926,-1.076,NA,NA,12,FALSE,no_data,1,47.92,OTB,FALSE,NA,NA,10,John Stones,201,Danny Ward,S,FALSE,FALSE,S,FALSE
91450,3846,86516,47.92,1,6597756,SH,OTB,10,John Stones,5,0,RCB,-50.25,2.7,25,-40.302,NA,NA,NA,-22.464,-45.19,-41.047,NA,-25.36,-48.271,-39.924,-45.681,NA,-41.963,-48.165,-0.833,-18.903,NA,NA,NA,2.921,11.386,-17.205,NA,-13.8,-4.516,4.059,6.643,NA,2.234,2.395,1,-46.368,-29.435,-50.947,-45.935,-48.161,-47.724,NA,-35.839,NA,NA,-48.105,-48.963,-47.031,-40.213,NA,NA,-9.631,-0.677,2.373,2.12,-2.951,8.489,NA,-9.503,NA,NA,2.961,0.707,7.926,-1.076,NA,NA,12,FALSE,no_data,1,47.92,OTB,FALSE,NA,NA,10,John Stones,201,Danny Ward,S,FALSE,FALSE,S,FALSE
