frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_12,away_x_13,away_x_14,away_x_15,away_x_17,away_x_19,away_x_2,away_x_20,away_x_4,away_x_5,away_x_6,away_x_7,away_x_8,away_x_9,away_y_1,away_y_12,away_y_13,away_y_14,away_y_15,away_y_17,away_y_19,away_y_2,away_y_20,away_y_4,away_y_5,away_y_6,away_y_7,away_y_8,away_y_9,gk_away,home_x_10,home_x_12,home_x_13,home_x_14,home_x_15,home_x_18,home_x_2,home_x_21,home_x_22,home_x_24,home_x_26,home_x_4,home_x_5,home_x_6,home_x_8,home_x_9,home_y_10,home_y_12,home_y_13,home_y_14,home_y_15,home_y_18,home_y_2,home_y_21,home_y_22,home_y_24,home_y_26,home_y_4,home_y_5,home_y_6,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
7076,3836,4155,2.31,1,6547401,SH,OTB,9981,Ritsu Doan,8,1,RW,28.55,-11,49.598,24.337,7.677,NA,32.623,28.013,25.817,NA,NA,26.443,23.875,31.639,18.686,33.067,NA,-2.838,-26.181,9.609,NA,-6.973,-14.805,-13.351,NA,NA,12.661,-6.085,-12.421,-11.549,-0.114,NA,1,NA,-28.182,17.761,NA,34.244,NA,14.515,31.091,0.38,25.461,NA,2.308,6.214,18.926,27.071,NA,NA,-2.212,-7.277,NA,-0.666,NA,-22.456,-15.329,-4.269,11.396,NA,-12.627,8.047,-12.916,-12.016,NA,12,FALSE,no_data,1,2.3,OTB,TRUE,NA,NA,9981,Ritsu Doan,NA,NA,V,FALSE,FALSE,O,FALSE
9398,3836,6492,3.6,1,6547492,SH,OTB,13785,Gerson Torres,13,0,RW,-29.87,3.87,27.534,-24.6,-37.964,NA,-14.115,-25.842,-8.777,NA,NA,-19.898,-25.527,-5.548,-40.179,-20.288,NA,0.636,-11.115,6.97,NA,-6.045,1.416,5.105,NA,NA,10.568,7.853,2.482,-2.836,-9.632,NA,1,NA,-51.593,-34.943,NA,-12.7,NA,-37.285,-14.176,-42.758,-31.079,NA,-39.887,-40.381,-37.762,-25.979,NA,NA,0.096,5.773,NA,5.836,NA,-7.174,-0.185,13.998,4.227,NA,-0.465,4.854,1.548,-8.238,NA,12,FALSE,no_data,1,3.6,OTB,FALSE,NA,NA,13785,Gerson Torres,NA,NA,V,FALSE,FALSE,B,FALSE
64481,3836,61680,34.23,1,6547508,SH,OTB,649,Francisco Calvo,15,0,LCB,-27.49,-11.84,26.105,-39.42,-33.923,NA,-25.408,-23.834,-7.595,NA,NA,-36.444,-39.69,-14.507,-39.355,-44.713,NA,0.892,-8.176,28.784,NA,-11.754,1.036,5.345,NA,NA,20.385,11.971,-9.991,2.431,-12.834,NA,1,NA,-51.413,-31.796,NA,-27.062,NA,-40.633,-10.005,-40.773,-28.99,NA,-39.442,-39.504,-36.229,-39.595,NA,NA,-1.073,-4.191,NA,-8.984,NA,-6.897,5.978,2.166,18.5,NA,-2.527,12.889,3.867,-12.268,NA,12,FALSE,no_data,1,34.23,OTB,FALSE,NA,NA,649,Francisco Calvo,NA,NA,V,FALSE,FALSE,C,FALSE
64600,3836,61799,34.3,1,6547530,SH,OTB,3316,Joel Campbell,12,0,LW,-39.97,-7.77,26.7,-35.277,-36.037,NA,-26.397,-25.091,-8.239,NA,NA,-27.347,-40.904,-11.452,-39.67,-34.642,NA,-0.84,-10.386,23.547,NA,-14.274,-0.502,-0.318,NA,NA,13.079,5.341,-14.095,-7.456,-19.251,NA,1,NA,-51.082,-33.888,NA,-26.989,NA,-37.651,-10.913,-41.066,-32.84,NA,-39.865,-41.757,-37.123,-36.781,NA,NA,-1.218,-5.849,NA,-15.099,NA,-8.272,0.467,0.399,13.606,NA,-6.34,4.744,-3.101,-12.496,NA,12,FALSE,no_data,1,34.28,OTB,FALSE,NA,NA,3316,Joel Campbell,NA,NA,O,FALSE,FALSE,O,FALSE
70802,3836,68031,37.75,1,6547834,SH,OTB,4928,Wataru Endo,6,1,CM,34.74,-10.19,49.938,27.01,34.976,NA,42.176,37.444,41.556,NA,NA,42.942,38.726,40.506,36.185,41.482,NA,-2.293,-22.492,5.571,NA,-11.651,-10.114,-5.888,NA,NA,3.82,-4.379,-17.498,-19.417,-1.091,NA,1,NA,-25.722,25.78,NA,42.145,NA,39.82,41.264,13.652,41.326,NA,20.507,24.658,34.764,38.964,NA,NA,-2.876,-2.549,NA,3.244,NA,-13.405,-0.544,-4.333,12.432,NA,-20.117,5.181,-11.047,-17.717,NA,12,FALSE,no_data,1,37.73,OTB,TRUE,NA,NA,4928,Wataru Endo,NA,NA,S,FALSE,FALSE,B,FALSE
88798,3836,83626,45.4,2,6547258,SH,OTB,11841,Hidemasa Morita,13,1,CM,-36.38,-6.84,50.088,15.962,25.616,NA,38.343,25.24,34.53,NA,NA,38.98,33.641,-7.058,25.919,37.001,NA,1.535,-7.51,14.753,NA,-0.596,8.303,5.49,NA,NA,12.943,8.294,0.84,0.743,6.019,NA,1,NA,-25.831,34.73,NA,37.923,26.97,31.082,NA,5.56,36.19,11.032,7.125,NA,17.61,35.853,NA,NA,0.414,7.017,NA,10.41,-2.634,-21.866,NA,3.528,24.054,13.802,-9.064,NA,-1.327,-3.693,NA,12,FALSE,no_data,2,45.37,OTB,TRUE,NA,NA,11841,Hidemasa Morita,3841,Keylor Navas,S,FALSE,FALSE,S,FALSE
88881,3836,83709,45.45,2,6547267,SH,OTB,2099,Takuma Asano,18,1,RW,-44.76,9.85,49.877,21.792,30.083,NA,46.434,32.238,43.914,NA,NA,45.878,37.182,-0.877,28.126,42.701,NA,-0.52,-8.426,13.595,NA,-2.284,4.881,1.889,NA,NA,7.228,6.133,-1.522,-1.501,4.27,NA,1,NA,-25.567,36.224,NA,45.458,38.129,36.701,NA,8.109,40.534,13.652,10.317,NA,21.243,42.916,NA,NA,-0.215,7.389,NA,0.675,-9.454,-11.78,NA,1.513,18.299,9.653,-8.933,NA,-4.805,-4.262,NA,12,FALSE,no_data,2,45.45,OTB,TRUE,NA,NA,2099,Takuma Asano,NA,NA,V,FALSE,FALSE,B,FALSE
91931,3836,86759,47.15,2,6547433,SH,OTB,4928,Wataru Endo,6,1,CM,-35.28,1.91,49.391,9.037,9.579,NA,40.39,30.998,38.913,NA,NA,24.644,31.276,11.741,37.793,36.283,NA,-0.49,7.445,20.378,NA,-0.021,0.015,12.38,NA,NA,24.176,10.806,-1.257,-6.584,3.702,NA,1,NA,-30.29,25.26,NA,33.495,38.115,35.925,NA,0.991,12.366,5.108,3.161,NA,29.595,36.129,NA,NA,1.294,7.888,NA,20.353,16.098,-18.692,NA,8.297,22.494,19.699,-4.657,NA,-1.463,7.416,NA,12,FALSE,no_data,2,47.12,OTB,TRUE,NA,NA,4928,Wataru Endo,NA,NA,S,FALSE,FALSE,B,FALSE
92046,3836,86874,47.21,2,6547447,SH,OTB,2099,Takuma Asano,18,1,RW,-45.61,-1.69,51.561,11.097,15.35,NA,41.68,32.763,41.654,NA,NA,31.943,33.139,16.096,35.668,38.21,NA,-0.819,1.376,17.375,NA,-4.685,-3.978,3.104,NA,NA,19.001,3.422,-5.52,-10.359,-3.817,NA,1,NA,-28.915,24.389,NA,40.753,41.15,28.83,NA,3.882,16.776,18.318,5.67,NA,31.936,37.021,NA,NA,0.471,-4.297,NA,12.221,1.569,-11.772,NA,4.414,18.732,19.622,-6.891,NA,-3.31,-2.183,NA,12,FALSE,no_data,2,47.2,OTB,TRUE,NA,NA,2099,Takuma Asano,3841,Keylor Navas,S,FALSE,FALSE,S,FALSE
96037,3836,90880,49.43,2,6547614,SH,OTB,5098,Ko Itakura,4,1,RCB,-39.35,-0.6,51.549,35.305,30.198,NA,45.984,35.074,40.292,NA,NA,26.744,37.715,39.313,41.364,40.707,NA,-0.209,-6.399,-8.396,NA,-3.257,-5.94,-2.219,NA,NA,-4.187,-3.614,-16.558,-13.117,-0.564,NA,1,NA,-25,22.986,NA,43.493,44.892,26.182,NA,33.171,34.356,24.708,39.234,NA,39.28,38.553,NA,NA,-2.36,-8.552,NA,-11.235,-2.91,-19.538,NA,-3.31,-24.494,-8.251,-0.733,NA,3.796,-27.965,NA,12,FALSE,no_data,2,49.42,OTB,TRUE,NA,NA,5098,Ko Itakura,NA,NA,S,FALSE,FALSE,B,FALSE
