frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_11,away_x_13,away_x_14,away_x_16,away_x_18,away_x_20,away_x_21,away_x_22,away_x_26,away_x_3,away_x_4,away_x_5,away_x_6,away_x_9,away_y_11,away_y_13,away_y_14,away_y_16,away_y_18,away_y_20,away_y_21,away_y_22,away_y_26,away_y_3,away_y_4,away_y_5,away_y_6,away_y_9,gk_away,home_x_1,home_x_11,home_x_13,home_x_16,home_x_17,home_x_19,home_x_2,home_x_21,home_x_23,home_x_24,home_x_25,home_x_3,home_x_5,home_x_7,home_x_8,home_y_1,home_y_11,home_y_13,home_y_16,home_y_17,home_y_19,home_y_2,home_y_21,home_y_23,home_y_24,home_y_25,home_y_3,home_y_5,home_y_7,home_y_8,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
6404,3844,4903,2.71,1,6592550,SH,OTB,3858,Idrissa Gueye,5,0,AM,43.46,-4.34,19.163,37.888,20.955,-31.634,36.898,NA,9.334,1.808,46.774,2.201,NA,40.828,NA,44.106,9.51,3.062,22.077,1.629,9.188,NA,-16.4,12.987,25.525,0.607,NA,-4.757,NA,4.059,16,47.783,5.196,17.983,NA,35.652,21.613,45.304,21.559,40.157,NA,NA,44.788,NA,43.114,39.844,-1.965,7.784,-7.458,NA,19.92,22.101,9.139,17.567,-1.047,NA,NA,-1.922,NA,-1.921,16.961,1,TRUE,goal_detected,1,2.68,OTB,FALSE,NA,NA,3858,Idrissa Gueye,NA,NA,S,FALSE,FALSE,O,FALSE
15532,3844,14061,7.79,1,6593290,SH,OTB,7988,Boulaye Dia,9,0,CF,45.07,-8.66,11.718,33.44,16.154,-29.469,39.057,NA,37.729,1.545,16.448,2.5,NA,33.168,NA,42.331,-14.667,-16.871,7.913,-3.111,-0.187,NA,-12.067,-9.1,-6.456,-10.3,NA,-26.701,NA,-10.936,16,47.654,3.273,17.593,NA,42.416,24.08,41.813,20.236,27.496,NA,NA,41.449,NA,37.304,36.808,-6.58,-22.362,-27.876,NA,-2.774,6.566,-10.654,-5.302,-15.34,NA,NA,-14.805,NA,-16.334,-13.582,1,FALSE,no_data,1,7.78,OTB,FALSE,NA,NA,7988,Boulaye Dia,NA,NA,S,FALSE,FALSE,O,FALSE
19240,3844,17784,9.85,1,6593466,SH,OTB,11960,Enner Valencia,13,1,LW,-25.05,2.13,-32.303,-36.48,-37.268,-50.782,-30.897,NA,-36.935,-37.501,-36.998,-37.505,NA,-30.876,NA,-36.986,1.771,-10.355,10.194,-0.437,3.692,NA,-10.135,0.171,7.113,-3.393,NA,2.393,NA,-4.813,16,25,-36.1,-22.088,NA,-33.492,-35.724,-24.607,-35.654,-35.971,NA,NA,-36.302,NA,-35.843,-25.367,-1.133,-3.766,1.158,NA,16.91,9.993,0.155,7.198,2.386,NA,NA,-7.962,NA,-14.082,-5.095,1,FALSE,no_data,1,9.83,OTB,TRUE,NA,NA,11960,Enner Valencia,NA,NA,S,FALSE,TRUE,B,FALSE
19451,3844,17995,9.96,1,6593498,SH,OTB,11960,Enner Valencia,13,1,LW,-34.35,0.66,-40.545,-37.01,-43.826,-51.418,-32.864,NA,-41.508,-42.806,-40.092,-41.049,NA,-37.279,NA,-36.573,0.683,-7.81,25.452,-0.292,16.118,NA,-5.699,7.699,16.111,-1.16,NA,1.832,NA,-2.169,16,25,-40.957,-30.311,NA,-41.804,-35.663,-22.823,-41.416,-36.673,NA,NA,-38.202,NA,-33.373,-19.898,0.87,0.142,-2.097,NA,29.061,21.215,3.364,5.847,7.94,NA,NA,-5.07,NA,-13.374,6.004,1,FALSE,no_data,1,9.95,OTB,TRUE,NA,NA,11960,Enner Valencia,NA,NA,V,FALSE,FALSE,B,FALSE
21064,3844,19611,10.86,1,6593676,SH,OTB,428,Ismaïla Sarr,18,0,LW,34.33,-0.11,36.227,40.93,24.977,-25,33.524,NA,25.619,41.73,29.266,38.642,NA,46.118,NA,42.116,-3.451,1.929,6.972,1.8,0.272,NA,-14.973,-2.639,7.465,2.752,NA,26.195,NA,1.724,16,50.445,38.743,40.312,NA,45.051,29.379,39.352,39.041,44.228,NA,NA,37.109,NA,39.973,31.239,-0.085,-0.312,2.02,NA,1.177,1.139,-1.355,6.068,0.301,NA,NA,-2.085,NA,-4.269,-0.655,1,FALSE,no_data,1,10.83,OTB,FALSE,NA,NA,428,Ismaïla Sarr,NA,NA,V,FALSE,FALSE,B,FALSE
22892,3844,21454,11.88,1,6593887,SH,OTB,2144,Iliman Ndiaye,13,0,RW,36.3,-11.26,25.474,34.148,23.856,-25.018,42.223,NA,42.365,13.977,32.698,17.572,NA,40.149,NA,43.347,-9.029,-12.234,10.962,-2.886,1.038,NA,-20.907,-0.079,-8.476,-22.077,NA,10.628,NA,2.575,16,49.023,16.666,31.447,NA,41.887,29.422,40.57,41.366,35.759,NA,NA,38.887,NA,41.732,37.095,-2.004,-6.59,-16.519,NA,-4.926,9.762,-0.288,5.215,-14.762,NA,NA,-9.286,NA,-14.785,-9.023,1,TRUE,goal_detected,1,11.83,OTB,FALSE,NA,NA,2144,Iliman Ndiaye,NA,NA,F,FALSE,FALSE,O,FALSE
NA,3844,NA,NA,NA,6594255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.93,OTB,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,S,FALSE
43996,3844,42698,23.61,1,6592893,SH,OTB,428,Ismaïla Sarr,18,0,LW,40.07,12.6,19.391,45.067,25.601,-27.975,38.713,NA,12.336,9.186,30.745,5.083,NA,45.192,NA,37.517,8.12,-4.339,23.905,1.856,14.401,NA,-11.068,10.196,14.181,0.489,NA,1.496,NA,-0.178,16,49.182,12.315,21.726,NA,36.576,32.742,39.853,40.49,43.579,NA,NA,43.066,NA,38.879,39.502,3.334,5.843,-1.904,NA,20.885,27.748,13.64,12.174,-2.065,NA,NA,3.053,NA,-3.837,7.351,1,FALSE,no_data,1,23.52,OTB,FALSE,NA,NA,428,Ismaïla Sarr,NA,NA,F,FALSE,FALSE,B,FALSE
45285,3844,43990,24.33,1,6592951,SH,OTB,3978,Pape Gueye,26,0,CM,30.29,3.71,36.656,43.351,42.698,-25,46.918,NA,41.6,32.325,28.08,45.579,NA,28.656,NA,43.639,3.94,-8.824,-26.891,-0.298,9.738,NA,-2.854,1.541,3.911,5.138,NA,-9.101,NA,-4.116,16,49.582,39.844,39.676,NA,45.189,44.18,45.114,41.485,44.84,NA,NA,36.537,NA,39.758,30.355,1.188,0.494,-0.682,NA,-1.935,8.659,2.961,-4.222,0.139,NA,NA,3.042,NA,-2.577,2.689,1,FALSE,no_data,1,24.3,OTB,FALSE,NA,NA,3978,Pape Gueye,NA,NA,F,FALSE,FALSE,B,FALSE
45496,3844,44201,24.45,1,6593044,SH,OTB,3848,Abdou Diallo,22,0,LCB,41.34,-10.18,30.052,37.739,34.176,-25,38.227,NA,31.943,28.754,41.509,44.437,NA,24.941,NA,45.024,2.744,-8.619,-27.282,-1.207,12.19,NA,0.289,2.64,-2.018,9.518,NA,-19.926,NA,3.814,16,50.773,35.753,33.083,NA,40.377,43.867,43.938,40.292,42.313,NA,NA,40.245,NA,35.154,31.808,0.162,-3.662,-16.808,NA,-11.678,5.422,1.012,-8.265,-2.398,NA,NA,0.313,NA,-23.776,6.644,1,FALSE,no_data,1,24.43,OTB,FALSE,NA,NA,3848,Abdou Diallo,13935,Hernan Galindez,S,FALSE,FALSE,F,FALSE
