frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_11,away_x_13,away_x_16,away_x_17,away_x_19,away_x_2,away_x_20,away_x_23,away_x_25,away_x_26,away_x_3,away_x_7,away_y_1,away_y_10,away_y_11,away_y_13,away_y_16,away_y_17,away_y_19,away_y_2,away_y_20,away_y_23,away_y_25,away_y_26,away_y_3,away_y_7,gk_away,home_x_10,home_x_11,home_x_14,home_x_15,home_x_17,home_x_19,home_x_2,home_x_20,home_x_21,home_x_22,home_x_23,home_x_4,home_x_5,home_x_7,home_x_8,home_y_10,home_y_11,home_y_14,home_y_15,home_y_17,home_y_19,home_y_2,home_y_20,home_y_21,home_y_22,home_y_23,home_y_4,home_y_5,home_y_7,home_y_8,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
11328,3830,9120,5.05,1,6538171,SH,OTB,11094,Cody Gakpo,8,1,CF,38.96,7.67,47.377,NA,8.792,17.875,NA,36.427,19.084,38.2,34.182,35.038,37.163,NA,38.165,35.699,2.592,NA,6.044,-5.897,NA,13.938,13.053,6.453,7.581,-0.318,6.759,NA,-0.17,-12.62,1,NA,NA,35.712,NA,22.427,NA,31.805,27.427,23.716,31.811,-27.827,3.769,24.717,34.625,35.248,NA,NA,0.428,NA,20.983,NA,-1.196,-3.578,6.016,-15.438,0.582,-5.227,17.295,7.339,8.792,23,FALSE,no_data,1,5.02,OTB,TRUE,NA,NA,11094,Cody Gakpo,13935,Hernan Galindez,S,FALSE,FALSE,G,TRUE
21405,3830,19212,10.66,1,6538637,SH,OTB,11960,Enner Valencia,13,0,LW,-43.04,-10.2,25,NA,-46.008,-40.232,NA,-30.992,-33.89,-45.902,-17.217,-17.395,-49.52,NA,-43.412,-51.535,-0.592,NA,-0.015,-12.195,NA,17.528,1.668,-10.575,1.468,3.32,-4.143,NA,1.515,-18.134,1,NA,NA,-37.763,NA,-33.707,NA,-47.749,-36.887,-46.061,-48.983,-51.307,-46.947,-45.836,-36.048,-45.484,NA,NA,3.403,NA,15.948,NA,-5.444,-6.467,-3.783,-15.128,-2.657,-1.306,0.711,7.78,-9.501,23,FALSE,no_data,1,10.65,OTB,FALSE,NA,NA,11960,Enner Valencia,NA,NA,V,FALSE,FALSE,B,FALSE
44581,3830,42493,23.55,1,6538516,SH,OTB,2134,Moises Caicedo,23,0,CM,-30.46,-1.54,29.407,NA,-39.184,-37.457,NA,-14.89,-48.319,-2.724,-14.599,-29.097,-4.239,NA,-5.342,-37.776,0.786,NA,0.375,-4.906,NA,22.578,22.546,5.611,9.736,-1.61,14.279,NA,-7.297,-17.422,1,NA,NA,-23.261,NA,-42.78,NA,-38.932,-32.406,-38.595,-46.822,-50.748,-40.113,-31.196,-8.973,-7.936,NA,NA,6.834,NA,9.482,NA,-3.02,-1.059,3.583,-6.424,-0.359,0.759,14.742,17.157,-0.482,23,FALSE,no_data,1,23.52,OTB,FALSE,NA,NA,2134,Moises Caicedo,NA,NA,S,FALSE,FALSE,B,FALSE
59586,3830,57549,31.89,1,6537794,SH,OTB,11960,Enner Valencia,13,0,LW,-35.88,-13.79,31.558,NA,-28.863,-35.636,NA,-10.986,-36.874,2.59,-11.979,-14.947,2.855,NA,-0.075,-40.346,-1.004,NA,3.607,-15.133,NA,15.327,10.987,-3.261,2.572,-0.729,2.142,NA,-8.608,-7.576,1,NA,NA,-33.547,NA,-14.493,NA,-39.943,-31.535,-39.003,-36.464,-49.873,-37.053,-35.419,3.434,-11.179,NA,NA,8.685,NA,9.425,NA,-9.603,-3.154,7.3,-14.788,-2.535,-6.406,5.499,2.416,-3.247,23,FALSE,no_data,1,31.83,OTB,FALSE,NA,NA,11960,Enner Valencia,11241,Andries Noppert,S,FALSE,FALSE,S,FALSE
86427,3830,84413,46.82,1,6538828,SH,OTB,11960,Enner Valencia,13,0,LW,-43.47,3.37,25,NA,-40.907,-31.774,NA,-20.719,-41.75,-41.284,-33.232,-43.646,-45.228,NA,-42.527,-20.819,-0.804,NA,-1.619,3.465,NA,2.156,14.598,0.978,6.852,-4.239,0.866,NA,4.337,-21.3,1,NA,NA,-42.893,NA,-35.411,NA,-41.814,-43.978,-37.947,-43.134,-48.944,-44.276,-26.385,-45.611,-44.618,NA,NA,-1.751,NA,0.16,NA,2.793,0.94,-5.057,1.632,2.067,4.15,-19.35,-3.735,7.841,23,FALSE,no_data,1,46.82,OTB,FALSE,NA,NA,11960,Enner Valencia,NA,NA,S,FALSE,FALSE,B,FALSE
86427,3830,84414,46.82,1,6538828,SH,OTB,11960,Enner Valencia,13,0,LW,-43.47,3.37,25,NA,-40.907,-31.774,NA,-20.719,-41.75,-41.284,-33.232,-43.646,-45.228,NA,-42.527,-20.819,-0.804,NA,-1.619,3.465,NA,2.156,14.598,0.978,6.852,-4.239,0.866,NA,4.337,-21.3,1,NA,NA,-42.893,NA,-35.411,NA,-41.814,-43.978,-37.947,-43.134,-48.944,-44.276,-26.385,-45.611,-44.618,NA,NA,-1.751,NA,0.16,NA,2.793,0.94,-5.057,1.632,2.067,4.15,-19.35,-3.735,7.841,23,FALSE,no_data,1,46.82,OTB,FALSE,NA,NA,11960,Enner Valencia,NA,NA,S,FALSE,FALSE,B,FALSE
86427,3830,84415,46.82,1,6538828,SH,OTB,11960,Enner Valencia,13,0,LW,-43.47,3.37,25,NA,-40.907,-31.774,NA,-20.719,-41.75,-41.284,-33.232,-43.646,-45.228,NA,-42.527,-20.819,-0.804,NA,-1.619,3.465,NA,2.156,14.598,0.978,6.852,-4.239,0.866,NA,4.337,-21.3,1,NA,NA,-42.893,NA,-35.411,NA,-41.814,-43.978,-37.947,-43.134,-48.944,-44.276,-26.385,-45.611,-44.618,NA,NA,-1.751,NA,0.16,NA,2.793,0.94,-5.057,1.632,2.067,4.15,-19.35,-3.735,7.841,23,FALSE,no_data,1,46.82,OTB,FALSE,NA,NA,11960,Enner Valencia,NA,NA,S,FALSE,FALSE,B,FALSE
86427,3830,84416,46.82,1,6538828,SH,OTB,11960,Enner Valencia,13,0,LW,-43.47,3.37,25,NA,-40.907,-31.774,NA,-20.719,-41.75,-41.284,-33.232,-43.646,-45.228,NA,-42.527,-20.819,-0.804,NA,-1.619,3.465,NA,2.156,14.598,0.978,6.852,-4.239,0.866,NA,4.337,-21.3,1,NA,NA,-42.893,NA,-35.411,NA,-41.814,-43.978,-37.947,-43.134,-48.944,-44.276,-26.385,-45.611,-44.618,NA,NA,-1.751,NA,0.16,NA,2.793,0.94,-5.057,1.632,2.067,4.15,-19.35,-3.735,7.841,23,FALSE,no_data,1,46.82,OTB,FALSE,NA,NA,11960,Enner Valencia,NA,NA,S,FALSE,FALSE,B,FALSE
86427,3830,84417,46.82,1,6538828,SH,OTB,11960,Enner Valencia,13,0,LW,-43.47,3.37,25,NA,-40.907,-31.774,NA,-20.719,-41.75,-41.284,-33.232,-43.646,-45.228,NA,-42.527,-20.819,-0.804,NA,-1.619,3.465,NA,2.156,14.598,0.978,6.852,-4.239,0.866,NA,4.337,-21.3,1,NA,NA,-42.893,NA,-35.411,NA,-41.814,-43.978,-37.947,-43.134,-48.944,-44.276,-26.385,-45.611,-44.618,NA,NA,-1.751,NA,0.16,NA,2.793,0.94,-5.057,1.632,2.067,4.15,-19.35,-3.735,7.841,23,FALSE,no_data,1,46.82,OTB,FALSE,NA,NA,11960,Enner Valencia,NA,NA,S,FALSE,FALSE,B,FALSE
86427,3830,84418,46.82,1,6538828,SH,OTB,11960,Enner Valencia,13,0,LW,-43.47,3.37,25,NA,-40.907,-31.774,NA,-20.719,-41.75,-41.284,-33.232,-43.646,-45.228,NA,-42.527,-20.819,-0.804,NA,-1.619,3.465,NA,2.156,14.598,0.978,6.852,-4.239,0.866,NA,4.337,-21.3,1,NA,NA,-42.893,NA,-35.411,NA,-41.814,-43.978,-37.947,-43.134,-48.944,-44.276,-26.385,-45.611,-44.618,NA,NA,-1.751,NA,0.16,NA,2.793,0.94,-5.057,1.632,2.067,4.15,-19.35,-3.735,7.841,23,FALSE,no_data,1,46.82,OTB,FALSE,NA,NA,11960,Enner Valencia,NA,NA,S,FALSE,FALSE,B,FALSE
