frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_10,away_x_11,away_x_13,away_x_15,away_x_17,away_x_18,away_x_19,away_x_2,away_x_20,away_x_21,away_x_22,away_x_3,away_x_4,away_x_5,away_x_7,away_x_9,away_y_10,away_y_11,away_y_13,away_y_15,away_y_17,away_y_18,away_y_19,away_y_2,away_y_20,away_y_21,away_y_22,away_y_3,away_y_4,away_y_5,away_y_7,away_y_9,gk_away,home_x_1,home_x_10,home_x_11,home_x_13,home_x_14,home_x_15,home_x_16,home_x_18,home_x_19,home_x_20,home_x_22,home_x_4,home_x_6,home_x_7,home_x_8,home_x_9,home_y_1,home_y_10,home_y_11,home_y_13,home_y_14,home_y_15,home_y_16,home_y_18,home_y_19,home_y_20,home_y_22,home_y_4,home_y_6,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
4850,3838,2032,1.13,1,6550380,SH,OTB,4611,Alphonso Davies,19,0,LM,-45.85,-1.44,NA,-33.546,-22.744,NA,-42.722,31.439,-43.756,-19.701,-41.084,NA,-15.515,NA,-1.111,-1.714,-26.127,NA,NA,22.676,9.457,NA,9.128,-0.985,-3.224,19.124,1.077,NA,-18.068,NA,-4.955,9.518,-0.056,NA,18,-50.341,-29.527,-38.077,NA,2.744,NA,NA,NA,-37.46,-41.184,-43.016,-36.11,-43.309,NA,-26.567,-3.897,0.828,-0.324,3.439,NA,2.06,NA,NA,NA,17.2,7.978,-4.715,17.693,-0.043,NA,8.619,-10.304,1,TRUE,goal_detected,1,1.12,OTB,FALSE,NA,NA,4611,Alphonso Davies,13854,Dominik Livakovic,S,FALSE,FALSE,G,TRUE
41532,3838,38834,21.53,1,6551070,SH,OTB,13860,Marko Livaja,14,1,CF,43.85,2.89,NA,34.033,38.562,NA,10.384,49.628,24.808,42.334,19.857,NA,39.82,NA,42.109,40.751,40.151,NA,NA,17.009,7.932,NA,-4.972,1.251,-8.289,11.304,6.523,NA,-5.944,NA,3.317,11.033,3.319,NA,18,-25.809,32.501,17.053,NA,42.674,NA,NA,NA,30.213,7.014,12.135,41.064,6.583,NA,40.29,35.789,0.769,-4.703,0.051,NA,2.948,NA,NA,NA,28.332,9.546,-14.723,17.222,-2.435,NA,11.151,-15.847,1,TRUE,goal_detected,1,21.52,OTB,TRUE,NA,NA,13860,Marko Livaja,14031,Milan Borjan,S,FALSE,FALSE,S,FALSE
48938,3838,46285,25.65,1,6551565,SH,OTB,4883,Andrej Kramaric,9,1,RW,46.52,-7.87,NA,23.232,36.255,NA,25.561,50.615,15.42,44.642,6.507,NA,42.055,NA,32.314,44.863,35.209,NA,NA,2.601,-4.176,NA,-18.917,-3.463,-22.459,-4.031,-5.766,NA,-11.569,NA,-15.813,-8.868,-11.138,NA,18,-32.571,18.026,27.949,NA,29.708,NA,NA,NA,8.384,0.814,26.744,42.246,-2.631,NA,20.557,16.635,-1.962,-17.898,-11.41,NA,-3.691,NA,NA,NA,13.968,-2.66,-18.381,9.437,-12.635,NA,0.358,-26.993,1,FALSE,no_data,1,25.58,OTB,TRUE,NA,NA,4883,Andrej Kramaric,14031,Milan Borjan,S,FALSE,FALSE,G,TRUE
65511,3838,62981,34.86,1,6550737,SH,OTB,13860,Marko Livaja,14,1,CF,45.83,-7.61,NA,27.822,24.315,NA,12.085,49.803,24.654,37.908,31.732,NA,40.581,NA,41.755,38.271,21.759,NA,NA,8.874,-1.405,NA,-8.251,-3.029,-9.69,7.504,-9.179,NA,-10.749,NA,-7.25,-0.508,3.111,NA,18,-25,18.339,14.036,NA,43.124,NA,NA,NA,29.574,4.873,33.94,35.46,10.474,NA,28.088,36.877,-1.043,-2.113,9.187,NA,-9.329,NA,NA,NA,21.719,-1.356,-21.499,11.277,-10.933,NA,-6.93,3.421,1,FALSE,no_data,1,34.83,OTB,TRUE,NA,NA,13860,Marko Livaja,14031,Milan Borjan,S,FALSE,FALSE,S,FALSE
67355,3838,64840,35.89,1,6550799,SH,OTB,4883,Andrej Kramaric,9,1,RW,48.32,7.5,NA,35.49,42.347,NA,33.218,50.816,37.87,39.247,20.731,NA,43.831,NA,45.829,45.656,34.068,NA,NA,18.12,10.614,NA,-0.246,3.737,-7.229,18.679,1.68,NA,-4.162,NA,2.548,4.652,8.894,NA,18,-25,33.231,33.383,NA,41.865,NA,NA,NA,17.747,19.183,14.291,35.324,42.164,NA,27.662,46.846,1.061,-18.955,15.102,NA,-2.786,NA,NA,NA,18.658,9.144,-4.66,19.458,-1.793,NA,10.959,10.093,1,TRUE,goal_detected,1,35.88,OTB,TRUE,NA,NA,4883,Andrej Kramaric,14031,Milan Borjan,S,FALSE,FALSE,G,TRUE
81090,3838,78635,43.53,1,6551320,SH,OTB,13860,Marko Livaja,14,1,CF,37.53,2.19,NA,32.603,31.069,NA,5.021,48.469,36.342,35.887,8.858,NA,31.651,NA,31.64,33.628,27.41,NA,NA,2.225,-2.861,NA,-14.417,0.307,-3.588,3.448,-4.778,NA,-11.893,NA,-4.89,0.366,-4.356,NA,18,-29.951,16.144,21.788,NA,35.096,NA,NA,NA,11.794,1.983,21.354,26.582,3.925,NA,29.009,36.305,-1.133,-0.809,-3.733,NA,2.914,NA,NA,NA,15.209,2.183,-17.191,26.247,-14.092,NA,-1.087,-9.702,1,TRUE,goal_detected,1,43.52,OTB,TRUE,NA,NA,13860,Marko Livaja,13859,Mislav Orsic,S,FALSE,FALSE,G,TRUE
86292,3838,83837,46.42,1,6551558,SH,OTB,4883,Andrej Kramaric,9,1,RW,36.25,5.5,NA,15.81,40.023,NA,4.961,51.15,10.954,34.843,6.47,NA,40.829,NA,41.396,40.652,37.398,NA,NA,20.505,8.323,NA,-13.435,1.235,-13.85,16.41,-9.575,NA,-3.983,NA,3.955,10.157,4.467,NA,18,-30.763,31.756,31.684,NA,43.989,NA,NA,NA,11.129,2.631,8.385,39.772,3.73,NA,35.386,33.183,0.397,-9.108,-1.026,NA,5.588,NA,NA,NA,18.569,0.054,-9.372,15.169,-3.535,NA,6.607,6.011,1,FALSE,no_data,1,46.38,OTB,TRUE,NA,NA,4883,Andrej Kramaric,NA,NA,S,FALSE,FALSE,O,FALSE
101050,3838,96460,48.4,2,6550767,SH,OTB,1228,Jonathan Osorio,21,0,CM,36.35,-6.72,NA,-42.507,-24.167,-21.757,NA,25.755,-40.431,-37.406,-37.602,-32.852,-37.879,NA,-12.664,-5.56,NA,NA,NA,4.913,11.578,-3.884,NA,1.19,1.468,24.16,-2.025,8.681,-13.979,NA,0.385,5.911,NA,NA,18,-51.721,-30.931,-33.44,NA,-9.678,NA,NA,NA,-37.53,-39.412,-38.881,-35.802,-39.495,NA,-31.384,-38.975,1.201,-0.969,4.067,NA,5.271,NA,NA,NA,8.247,5.23,-0.403,16.241,3.078,NA,5.306,-10.758,1,FALSE,no_data,2,48.33,OTB,FALSE,NA,NA,1228,Jonathan Osorio,NA,NA,S,FALSE,FALSE,O,FALSE
110627,3838,106067,53.73,2,6551318,SH,OTB,4883,Andrej Kramaric,9,1,RW,-43.92,3.62,NA,43.368,32.044,47.921,NA,50.891,19.037,47.992,12.602,36.43,43.011,NA,44.689,47.278,NA,NA,NA,1.791,-11.168,-13.769,NA,-1.547,-1.635,2.64,-11.568,5.74,-10.481,NA,-1.465,-3.135,NA,NA,18,-25,49.325,28.542,NA,44.9,NA,NA,NA,38.693,6.254,50.092,39.297,7.608,NA,40.747,41.287,-0.107,-5.117,-11.839,NA,-6.536,NA,NA,NA,5.282,-1.711,-17.486,13.158,-9.235,NA,1.614,-2.138,1,FALSE,no_data,2,53.72,OTB,TRUE,NA,NA,4883,Andrej Kramaric,13859,Mislav Orsic,F,FALSE,FALSE,S,FALSE
113412,3838,108852,55.28,2,6551463,SH,OTB,3965,Jonathan David,20,0,CF,35.43,-1.92,NA,-35.045,-12.198,-24.77,NA,27.626,-38.422,-24.238,-25.302,-40.654,-38.295,NA,-6.935,-4.187,NA,NA,NA,11.129,12.768,3.528,NA,2.206,4.302,23.656,-1.759,19.397,-6.753,NA,12.055,4.923,NA,NA,18,-51.659,-23.804,-36.641,NA,-2.346,NA,NA,NA,-40.444,-39.15,-38.828,-31.292,-36.573,NA,-33.469,-18.928,0.591,-0.925,10.338,NA,5.658,NA,NA,NA,11.853,6.758,2.9,21.81,-0.487,NA,12.84,-10.392,1,TRUE,goal_detected,2,55.27,OTB,FALSE,NA,NA,3965,Jonathan David,13854,Dominik Livakovic,S,FALSE,FALSE,S,FALSE
117270,3838,112710,57.42,2,6551619,SH,OTB,963,Tajon Buchanan,11,0,RM,34.33,-11.96,NA,-34.01,-15.082,-18.775,NA,29.464,-41.101,-3.252,-41.39,-40.287,-26.826,NA,-2.253,1.688,NA,NA,NA,11.731,13.505,1.026,NA,2.993,15.238,19.283,-3.624,-7.654,-13.047,NA,5.982,3.372,NA,NA,18,-51.72,-30.018,-37.079,NA,-7.015,NA,NA,NA,-38.546,-41.586,-40.7,-21.448,-41.742,NA,-31.164,-14.019,1.82,2.957,10.388,NA,5.451,NA,NA,NA,17.403,12.172,-4.853,25.66,-1.001,NA,18.49,-5.077,1,FALSE,no_data,2,57.4,OTB,FALSE,NA,NA,963,Tajon Buchanan,NA,NA,S,FALSE,FALSE,B,FALSE
