frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_10,away_x_12,away_x_13,away_x_14,away_x_18,away_x_19,away_x_20,away_x_21,away_x_23,away_x_25,away_x_3,away_x_5,away_x_6,away_x_7,away_x_8,away_y_10,away_y_12,away_y_13,away_y_14,away_y_18,away_y_19,away_y_20,away_y_21,away_y_23,away_y_25,away_y_3,away_y_5,away_y_6,away_y_7,away_y_8,gk_away,home_x_1,home_x_10,home_x_13,home_x_15,home_x_17,home_x_18,home_x_19,home_x_20,home_x_23,home_x_25,home_x_3,home_x_4,home_x_5,home_x_7,home_x_8,home_x_9,home_y_1,home_y_10,home_y_13,home_y_15,home_y_17,home_y_18,home_y_19,home_y_20,home_y_23,home_y_25,home_y_3,home_y_4,home_y_5,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
20264,3824,17329,9.6,1,6526563,SH,OTB,5074,Bryan Mbeumo,20,0,RW,-45.01,-13.16,NA,-31.45,-35.832,2.575,-43.055,-3.474,-9.974,9.046,36.183,-1.936,11.789,NA,NA,NA,-5.399,NA,-12.64,0.486,-6.621,-15.073,16.624,3.976,3.521,-4.51,-25.64,-10.894,NA,NA,NA,3.563,23,-50.747,-8.142,-29.414,-4.247,-16.764,NA,NA,NA,10.695,NA,-26.681,-43.067,-37.661,10.947,-6.04,NA,-3.424,-3.167,-2.003,-15.22,7.937,NA,NA,NA,-20.525,NA,-15.855,-13.444,-7.128,-3.614,-15.308,NA,1,FALSE,no_data,1,9.6,OTB,FALSE,NA,NA,5074,Bryan Mbeumo,4691,Yann Sommer,S,FALSE,FALSE,S,FALSE
20333,3824,17398,9.64,1,6526571,SH,OTB,3934,Karl Toko Ekambi,12,0,LW,-41.1,-7.28,NA,-42.322,-46.003,-5.263,-29.638,-10.338,-19.622,5.624,35.81,-10.933,8.457,NA,NA,NA,-13.039,NA,-7.745,2.694,-3.72,-17.857,14.012,6.886,2.729,-4.846,-24.374,-9.884,NA,NA,NA,5.243,23,-50.624,-17.43,-42.377,-9.804,-25.913,NA,NA,NA,7.136,NA,-40.219,-48.576,-49.821,7.636,-17.701,NA,-2.526,-0.045,-5.159,-12.692,8.21,NA,NA,NA,-19.769,NA,-7.261,-10.221,0.733,-2.879,-11.468,NA,1,TRUE,goal_detected,1,9.63,OTB,FALSE,NA,NA,3934,Karl Toko Ekambi,NA,NA,F,FALSE,FALSE,O,FALSE
23335,3824,20415,11.31,1,6526674,SH,OTB,157,Granit Xhaka,10,1,CM,27.88,10.89,NA,6.184,11.891,26.793,24.365,32.051,0.628,35.336,47.744,35.468,34.894,NA,NA,NA,27.611,NA,-23.019,5.406,8.772,2.608,12.868,14.344,7.679,-0.289,-10.129,-2.095,NA,NA,NA,-0.42,23,-30.607,24.942,3.071,29.218,31.898,NA,NA,NA,29.413,NA,6.885,4.916,6.549,28.69,21.427,NA,0.154,11.987,12.031,0.265,17.66,NA,NA,NA,-25.287,NA,-18.232,1.286,-15.36,-10.592,0.999,NA,1,TRUE,goal_detected,1,11.27,OTB,TRUE,NA,NA,157,Granit Xhaka,NA,NA,S,FALSE,FALSE,O,FALSE
27903,3824,24998,13.85,1,6526748,SH,OTB,4626,Eric Maxim Choupo-Moting,13,0,CF,-43.01,-6.13,NA,-10.794,-40.81,-0.564,-9.153,4.663,-38.999,8.725,35.886,4.338,10.187,NA,NA,NA,-7.859,NA,-24.85,-7.225,-10.467,-4.422,10.014,7.595,-0.653,-4.363,-24.504,-13.009,NA,NA,NA,-12.817,23,-47.785,-13.667,-38.869,-1.268,-0.921,NA,NA,NA,6.962,NA,-2.522,-27.502,-40.222,11.964,-16.841,NA,-3.127,-0.581,0.799,-12.973,10.08,NA,NA,NA,-23.25,NA,-29.154,-6.262,-6.918,-11.078,-10.331,NA,1,TRUE,goal_detected,1,13.75,OTB,FALSE,NA,NA,4626,Eric-Maxim Choupo-Moting,4691,Yann Sommer,F,FALSE,FALSE,S,FALSE
49209,3824,46409,25.7,1,6526417,SH,OTB,13872,Collins Fai,19,0,RB,-37.21,15.85,NA,-38.487,-42.26,-17.926,-31.801,-33.056,-35.701,-5.974,26.952,-13.503,-5.938,NA,NA,NA,-26.538,NA,12.817,0.232,4.973,-4.555,19.092,27.446,10.405,0.737,-17.092,-5.541,NA,NA,NA,-18.668,23,-50.913,-35.028,-37.276,-26.871,-35.641,NA,NA,NA,-32.876,NA,-40.778,-41.363,-41.783,-15.34,-35.113,NA,2.553,5.744,18.746,2.55,-15.255,NA,NA,NA,16.405,NA,-4.494,8.996,1.264,-9.958,-1.849,NA,1,TRUE,goal_detected,1,25.65,OTB,FALSE,NA,NA,13872,Collins Fai,NA,NA,S,FALSE,FALSE,O,FALSE
55359,3824,52574,29.12,1,6526623,SH,OTB,12640,Martin Hongla,18,0,CM,-44.21,11.16,NA,-36.163,-36.269,-17.137,-43.366,-19.807,-29.889,-4.615,28.393,-12.431,-3.907,NA,NA,NA,-28.792,NA,-5.915,21.659,14.847,12.466,24.552,14.956,10.792,1.589,-14.431,2.583,NA,NA,NA,-13.913,23,-50.561,-28.691,-38.82,-20.638,-26.55,NA,NA,NA,-22.673,NA,-40.112,-37.925,-43.674,-2.32,-37.799,NA,3.455,14.886,17.113,6.852,20.347,NA,NA,NA,-8.548,NA,-2.809,14.585,11.429,5.36,4.781,NA,1,FALSE,no_data,1,29.1,OTB,FALSE,NA,NA,12640,Martin Hongla,4691,Yann Sommer,F,FALSE,FALSE,S,FALSE
74360,3824,71646,39.68,1,6526204,SH,OTB,4695,Nico Elvedi,4,1,LCB,48.4,3.56,NA,44.159,49.485,48.124,46.634,52.343,42.776,47.092,52.332,46.386,46.349,NA,NA,NA,46.511,NA,6.288,8.76,2.231,7.65,3.338,6.332,-3.226,0.524,3.065,5.439,NA,NA,NA,-1.217,23,-26.226,38.178,25.995,41.33,29.838,NA,NA,NA,31.945,NA,46.515,45.802,47.194,48.115,37.097,NA,0.719,9.897,8.315,15.123,14.192,NA,NA,NA,-7.453,NA,-4.378,0.579,5.953,-1.614,7.323,NA,1,FALSE,no_data,1,39.68,OTB,TRUE,NA,NA,4695,Nico Elvedi,NA,NA,S,FALSE,FALSE,O,FALSE
74360,3824,71647,39.68,1,6526204,SH,OTB,4695,Nico Elvedi,4,1,LCB,48.4,3.56,NA,44.159,49.485,48.124,46.634,52.343,42.776,47.092,52.332,46.386,46.349,NA,NA,NA,46.511,NA,6.288,8.76,2.231,7.65,3.338,6.332,-3.226,0.524,3.065,5.439,NA,NA,NA,-1.217,23,-26.226,38.178,25.995,41.33,29.838,NA,NA,NA,31.945,NA,46.515,45.802,47.194,48.115,37.097,NA,0.719,9.897,8.315,15.123,14.192,NA,NA,NA,-7.453,NA,-4.378,0.579,5.953,-1.614,7.323,NA,1,FALSE,no_data,1,39.68,OTB,TRUE,NA,NA,4695,Nico Elvedi,NA,NA,S,FALSE,FALSE,O,FALSE
74360,3824,71648,39.68,1,6526204,SH,OTB,4695,Nico Elvedi,4,1,LCB,48.4,3.56,NA,44.159,49.485,48.124,46.634,52.343,42.776,47.092,52.332,46.386,46.349,NA,NA,NA,46.511,NA,6.288,8.76,2.231,7.65,3.338,6.332,-3.226,0.524,3.065,5.439,NA,NA,NA,-1.217,23,-26.226,38.178,25.995,41.33,29.838,NA,NA,NA,31.945,NA,46.515,45.802,47.194,48.115,37.097,NA,0.719,9.897,8.315,15.123,14.192,NA,NA,NA,-7.453,NA,-4.378,0.579,5.953,-1.614,7.323,NA,1,FALSE,no_data,1,39.68,OTB,TRUE,NA,NA,4695,Nico Elvedi,NA,NA,S,FALSE,FALSE,O,FALSE
74360,3824,71649,39.68,1,6526204,SH,OTB,4695,Nico Elvedi,4,1,LCB,48.4,3.56,NA,44.159,49.485,48.124,46.634,52.343,42.776,47.092,52.332,46.386,46.349,NA,NA,NA,46.511,NA,6.288,8.76,2.231,7.65,3.338,6.332,-3.226,0.524,3.065,5.439,NA,NA,NA,-1.217,23,-26.226,38.178,25.995,41.33,29.838,NA,NA,NA,31.945,NA,46.515,45.802,47.194,48.115,37.097,NA,0.719,9.897,8.315,15.123,14.192,NA,NA,NA,-7.453,NA,-4.378,0.579,5.953,-1.614,7.323,NA,1,FALSE,no_data,1,39.68,OTB,TRUE,NA,NA,4695,Nico Elvedi,NA,NA,S,FALSE,FALSE,O,FALSE
