frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_11,away_x_14,away_x_15,away_x_16,away_x_17,away_x_19,away_x_2,away_x_21,away_x_25,away_x_5,away_x_6,away_x_7,away_x_8,away_x_9,away_y_1,away_y_10,away_y_11,away_y_14,away_y_15,away_y_16,away_y_17,away_y_19,away_y_2,away_y_21,away_y_25,away_y_5,away_y_6,away_y_7,away_y_8,away_y_9,gk_away,home_x_1,home_x_10,home_x_11,home_x_14,home_x_15,home_x_16,home_x_19,home_x_20,home_x_22,home_x_4,home_x_6,home_x_7,home_x_8,home_x_9,home_y_1,home_y_10,home_y_11,home_y_14,home_y_15,home_y_16,home_y_19,home_y_20,home_y_22,home_y_4,home_y_6,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
110983,3852,104019,53.7,2,6615591,SH,OTB,1687,Luka Modric,10,1,CM,-41.33,11.32,50.828,NA,34.51,NA,41.202,NA,36.422,39.022,44.291,39.818,NA,44.286,41.042,18.405,NA,10.769,-1.999,NA,-12.862,NA,4.117,NA,-5.718,-7.215,-2.306,-15.455,NA,-9.958,-12.633,6.851,NA,-7.943,1,-28.563,28.192,25.314,40.452,NA,NA,23.547,7.457,28.106,32.395,10.487,NA,34.87,37.047,-1.843,-6.9,-4.719,-3.563,NA,NA,14.094,-1.16,-19.664,7.74,-5.65,NA,2.693,-16.659,1,FALSE,no_data,2,53.65,OTB,TRUE,NA,NA,1687,Luka Modric,1672,Thibaut Courtois,S,FALSE,FALSE,S,FALSE
121911,3852,114977,59.78,2,6616820,SH,OTB,1387,Yannick Carrasco,11,0,LW,46.71,3.11,28.751,NA,-46.918,NA,-29.009,-41.723,NA,-15.899,-2.117,-14.082,NA,-3.319,-14.095,-31.566,NA,-39.885,-0.032,NA,-4.558,NA,18.248,-10.806,NA,-4.56,10.19,-15.735,NA,-3.493,10.11,4.636,NA,-2.184,1,-48.943,-28.218,-34.668,-9.299,NA,NA,-37.192,-39.036,-37.745,-38.794,-40.755,NA,-27.645,-24.569,-2.019,0.47,-0.442,4.79,NA,NA,11.801,0.603,-9.977,11.515,-2.927,NA,1.74,-14.005,1,FALSE,no_data,2,59.75,OTB,FALSE,NA,NA,1387,Yannick Carrasco,NA,NA,F,FALSE,FALSE,B,FALSE
121965,3852,115031,59.81,2,6616831,SH,OTB,5139,Romelu Lukaku,9,0,CF,46.35,-4.19,28.667,NA,-45.336,NA,-31.339,-45.168,NA,-18.637,-3.807,-16.179,NA,-4.719,-16.429,-36.743,NA,-50.085,0.195,NA,-4.041,NA,15.709,0.111,NA,-3.656,9.783,-14.162,NA,-2.863,10.272,5.216,NA,-2.406,1,-50.375,-32.059,-41.889,-11.063,NA,NA,-43.181,-42.622,-41.647,-41.569,-43.753,NA,-30.914,-28.638,0.295,0.586,-0.835,4.701,NA,NA,8.482,0.53,-7.914,9.684,-2.669,NA,8.847,-12.411,1,FALSE,no_data,2,59.8,OTB,FALSE,NA,NA,5139,Romelu Lukaku,NA,NA,S,FALSE,FALSE,O,FALSE
125603,3852,118669,61.83,2,6614115,SH,OTB,5139,Romelu Lukaku,9,0,CF,53.29,6.81,25.014,NA,-49.687,NA,-38.767,-33.471,NA,-44.373,-9.719,-21.066,NA,-11.58,-21.163,-29.795,NA,-46.256,-1.088,NA,-22.123,NA,11.209,-13.03,NA,-1.322,6.49,-15.476,NA,-5.405,-10.876,-12.441,NA,1.834,1,-51.03,-38.887,-38.887,-21.823,NA,NA,-44.941,-45.683,-45.568,-45.434,-45.683,NA,-38.887,-37.144,-2.773,-3.602,-3.602,-2.416,NA,NA,1.026,-2.502,-10.114,4.075,-2.502,NA,-3.602,-13.868,1,FALSE,no_data,2,61.82,OTB,FALSE,NA,NA,5139,Romelu Lukaku,NA,NA,S,FALSE,FALSE,O,FALSE
135154,3852,128220,67.14,2,6615305,SH,OTB,1687,Luka Modric,10,1,CM,-44.02,0.81,51.028,NA,36.225,NA,49.583,39.483,NA,40.825,42.158,43.768,NA,45.703,39.099,31.274,NA,8.854,0.141,NA,1.372,NA,13.698,-2.775,NA,10.946,2.003,-1.292,NA,7.308,2.643,2.455,NA,1.747,1,-30.515,33.036,28.257,NA,39.935,45.622,30.832,9.287,22.856,36.911,9.287,NA,33.57,NA,1.103,0.605,7.399,NA,7.636,5.43,11.75,-1.783,-9.448,11.175,-1.783,NA,7.865,NA,1,FALSE,no_data,2,67.12,OTB,TRUE,NA,NA,1687,Luka Modric,1672,Thibaut Courtois,V,FALSE,FALSE,S,FALSE
NA,3852,NA,NA,NA,6615574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,68.17,OTB,TRUE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,S,FALSE
154097,3852,147226,77.68,2,6614496,SH,OTB,67,Jan Vertonghen,5,0,LCB,48.55,5.92,25,NA,NA,NA,-25.766,-46.109,NA,NA,-35.262,-21.33,-35.799,-30.477,-35.103,-32.69,-31.664,-49.328,0.816,NA,NA,NA,5.314,-0.551,NA,NA,-0.319,-1.429,21.795,-0.334,-0.121,-4.395,4.666,4.555,1,-52.397,-44.135,-44.135,NA,-41.784,-42.207,-44.497,-46.466,-47.586,-44.205,-46.466,NA,-42.172,NA,2.999,3.543,3.543,NA,5.444,3.515,4.402,0.938,1.008,3.22,0.938,NA,3.124,NA,1,FALSE,no_data,2,77.67,OTB,FALSE,NA,NA,67,Jan Vertonghen,NA,NA,S,FALSE,FALSE,B,FALSE
154097,3852,147227,77.68,2,6614496,SH,OTB,67,Jan Vertonghen,5,0,LCB,48.55,5.92,25,NA,NA,NA,-25.766,-46.109,NA,NA,-35.262,-21.33,-35.799,-30.477,-35.103,-32.69,-31.664,-49.328,0.816,NA,NA,NA,5.314,-0.551,NA,NA,-0.319,-1.429,21.795,-0.334,-0.121,-4.395,4.666,4.555,1,-52.397,-44.135,-44.135,NA,-41.784,-42.207,-44.497,-46.466,-47.586,-44.205,-46.466,NA,-42.172,NA,2.999,3.543,3.543,NA,5.444,3.515,4.402,0.938,1.008,3.22,0.938,NA,3.124,NA,1,FALSE,no_data,2,77.67,OTB,FALSE,NA,NA,67,Jan Vertonghen,NA,NA,S,FALSE,FALSE,B,FALSE
154097,3852,147228,77.68,2,6614496,SH,OTB,67,Jan Vertonghen,5,0,LCB,48.55,5.92,25,NA,NA,NA,-25.766,-46.109,NA,NA,-35.262,-21.33,-35.799,-30.477,-35.103,-32.69,-31.664,-49.328,0.816,NA,NA,NA,5.314,-0.551,NA,NA,-0.319,-1.429,21.795,-0.334,-0.121,-4.395,4.666,4.555,1,-52.397,-44.135,-44.135,NA,-41.784,-42.207,-44.497,-46.466,-47.586,-44.205,-46.466,NA,-42.172,NA,2.999,3.543,3.543,NA,5.444,3.515,4.402,0.938,1.008,3.22,0.938,NA,3.124,NA,1,FALSE,no_data,2,77.67,OTB,FALSE,NA,NA,67,Jan Vertonghen,NA,NA,S,FALSE,FALSE,B,FALSE
154097,3852,147229,77.68,2,6614496,SH,OTB,67,Jan Vertonghen,5,0,LCB,48.55,5.92,25,NA,NA,NA,-25.766,-46.109,NA,NA,-35.262,-21.33,-35.799,-30.477,-35.103,-32.69,-31.664,-49.328,0.816,NA,NA,NA,5.314,-0.551,NA,NA,-0.319,-1.429,21.795,-0.334,-0.121,-4.395,4.666,4.555,1,-52.397,-44.135,-44.135,NA,-41.784,-42.207,-44.497,-46.466,-47.586,-44.205,-46.466,NA,-42.172,NA,2.999,3.543,3.543,NA,5.444,3.515,4.402,0.938,1.008,3.22,0.938,NA,3.124,NA,1,FALSE,no_data,2,77.67,OTB,FALSE,NA,NA,67,Jan Vertonghen,NA,NA,S,FALSE,FALSE,B,FALSE
154097,3852,147230,77.68,2,6614496,SH,OTB,67,Jan Vertonghen,5,0,LCB,48.55,5.92,25,NA,NA,NA,-25.766,-46.109,NA,NA,-35.262,-21.33,-35.799,-30.477,-35.103,-32.69,-31.664,-49.328,0.816,NA,NA,NA,5.314,-0.551,NA,NA,-0.319,-1.429,21.795,-0.334,-0.121,-4.395,4.666,4.555,1,-52.397,-44.135,-44.135,NA,-41.784,-42.207,-44.497,-46.466,-47.586,-44.205,-46.466,NA,-42.172,NA,2.999,3.543,3.543,NA,5.444,3.515,4.402,0.938,1.008,3.22,0.938,NA,3.124,NA,1,FALSE,no_data,2,77.67,OTB,FALSE,NA,NA,67,Jan Vertonghen,NA,NA,S,FALSE,FALSE,B,FALSE
154097,3852,147231,77.68,2,6614496,SH,OTB,67,Jan Vertonghen,5,0,LCB,48.55,5.92,25,NA,NA,NA,-25.766,-46.109,NA,NA,-35.262,-21.33,-35.799,-30.477,-35.103,-32.69,-31.664,-49.328,0.816,NA,NA,NA,5.314,-0.551,NA,NA,-0.319,-1.429,21.795,-0.334,-0.121,-4.395,4.666,4.555,1,-52.397,-44.135,-44.135,NA,-41.784,-42.207,-44.497,-46.466,-47.586,-44.205,-46.466,NA,-42.172,NA,2.999,3.543,3.543,NA,5.444,3.515,4.402,0.938,1.008,3.22,0.938,NA,3.124,NA,1,FALSE,no_data,2,77.67,OTB,FALSE,NA,NA,67,Jan Vertonghen,NA,NA,S,FALSE,FALSE,B,FALSE
154097,3852,147232,77.68,2,6614496,SH,OTB,67,Jan Vertonghen,5,0,LCB,48.55,5.92,25,NA,NA,NA,-25.766,-46.109,NA,NA,-35.262,-21.33,-35.799,-30.477,-35.103,-32.69,-31.664,-49.328,0.816,NA,NA,NA,5.314,-0.551,NA,NA,-0.319,-1.429,21.795,-0.334,-0.121,-4.395,4.666,4.555,1,-52.397,-44.135,-44.135,NA,-41.784,-42.207,-44.497,-46.466,-47.586,-44.205,-46.466,NA,-42.172,NA,2.999,3.543,3.543,NA,5.444,3.515,4.402,0.938,1.008,3.22,0.938,NA,3.124,NA,1,FALSE,no_data,2,77.67,OTB,FALSE,NA,NA,67,Jan Vertonghen,NA,NA,S,FALSE,FALSE,B,FALSE
154097,3852,147233,77.68,2,6614496,SH,OTB,67,Jan Vertonghen,5,0,LCB,48.55,5.92,25,NA,NA,NA,-25.766,-46.109,NA,NA,-35.262,-21.33,-35.799,-30.477,-35.103,-32.69,-31.664,-49.328,0.816,NA,NA,NA,5.314,-0.551,NA,NA,-0.319,-1.429,21.795,-0.334,-0.121,-4.395,4.666,4.555,1,-52.397,-44.135,-44.135,NA,-41.784,-42.207,-44.497,-46.466,-47.586,-44.205,-46.466,NA,-42.172,NA,2.999,3.543,3.543,NA,5.444,3.515,4.402,0.938,1.008,3.22,0.938,NA,3.124,NA,1,FALSE,no_data,2,77.67,OTB,FALSE,NA,NA,67,Jan Vertonghen,NA,NA,S,FALSE,FALSE,B,FALSE
169336,3852,162558,86.15,2,6616363,SH,OTB,5139,Romelu Lukaku,9,0,CF,47.6,-3.02,25,NA,NA,NA,-43.416,-49.455,NA,NA,-24.593,-22.783,-48.696,-19.566,-44.895,-29.624,-22.871,-48.221,0.703,NA,NA,NA,12.036,-3.365,NA,NA,9.558,-11.441,6.567,-1.413,-5.779,3.248,9.059,2.331,1,-51.533,-40.272,-40.272,NA,-37.897,-26.461,-45.741,-45.637,-46.493,-46.263,-45.637,NA,-40.272,NA,2.166,1.754,1.754,NA,1.622,6.41,5.995,1.131,-2.505,7.03,1.131,NA,1.754,NA,1,FALSE,no_data,2,86.15,OTB,FALSE,NA,NA,5139,Romelu Lukaku,NA,NA,F,FALSE,FALSE,O,FALSE
