frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_10,away_x_13,away_x_19,away_x_20,away_x_22,away_x_23,away_x_24,away_x_25,away_x_26,away_x_3,away_x_5,away_x_6,away_x_7,away_x_8,away_x_9,away_y_10,away_y_13,away_y_19,away_y_20,away_y_22,away_y_23,away_y_24,away_y_25,away_y_26,away_y_3,away_y_5,away_y_6,away_y_7,away_y_8,away_y_9,gk_away,home_x_10,home_x_11,home_x_15,home_x_17,home_x_19,home_x_2,home_x_20,home_x_21,home_x_22,home_x_23,home_x_4,home_x_5,home_x_7,home_x_8,home_x_9,home_y_10,home_y_11,home_y_15,home_y_17,home_y_19,home_y_2,home_y_20,home_y_21,home_y_22,home_y_23,home_y_4,home_y_5,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
10904,10511,8217,4.55,1,6665012,SH,OTB,6895,Rodrigo de Paul,7,0,CM,-37.71,11.82,-37.996,-3.204,-1.065,-42.383,NA,30.686,-24.867,-2.826,-49.159,NA,NA,NA,-35.076,-25.871,-44.03,1.424,7.326,9.316,-3.618,NA,0.944,5.841,-3.503,16.41,NA,NA,NA,12.702,-9.897,6.12,23,-6.26,NA,-40.843,-38.684,NA,-46.461,NA,-32.681,-40.709,-50.877,-45.763,-49.807,-7.049,-32.643,NA,8.948,NA,2.874,9.898,NA,1.332,NA,10.632,-3.931,1.771,4.624,11.737,-2.625,1.642,NA,23,FALSE,no_data,1,4.55,OTB,FALSE,NA,NA,6895,Rodrigo de Paul,NA,NA,V,FALSE,FALSE,B,FALSE
41576,10511,38967,21.61,1,6665412,SH,OTB,1531,Lionel Messi,10,0,CF,-33.02,8.77,-32.096,-10.798,-3.828,-27.544,NA,26.127,-17.616,-11.168,-34.19,NA,NA,NA,-28.079,-24.339,-36.048,10.684,22.888,12.831,1.978,NA,2.62,13.297,0.603,30.752,NA,NA,NA,24.488,-15.127,10.503,23,-13.703,NA,-26.259,-37.501,NA,-34.622,NA,-31.809,-34.214,-49.909,-36.424,-36.547,-17.276,-30.105,NA,18.155,NA,12.145,23.281,NA,2.134,NA,14.839,-7.174,0.628,8.35,12.32,6.326,13.125,NA,23,FALSE,no_data,1,21.55,OTB,FALSE,NA,NA,1531,Lionel Messi,NA,NA,S,FALSE,FALSE,O,FALSE
45351,10511,42742,23.71,1,6665675,SH,OTB,84,Steven Bergwijn,7,1,CF,37.42,2.93,13.357,34.375,35.315,24.561,NA,48.327,37.74,40.27,36.085,NA,NA,NA,29.424,39.101,13.548,1.353,3.799,1.59,-12.638,NA,0.867,1.815,1.857,8.964,NA,NA,NA,3.684,-4.779,-7.419,23,34.543,NA,18.371,26.292,NA,7.355,NA,15.053,34.358,-27.446,1.433,8.213,37.028,41.04,NA,4.781,NA,-3.281,15.813,NA,-18.464,NA,-16.025,-19.469,-0.513,-4.335,10.188,-4.435,-5.197,NA,23,TRUE,goal_detected,1,23.68,OTB,TRUE,NA,NA,84,Steven Bergwijn,NA,NA,S,FALSE,FALSE,O,FALSE
61441,10511,58865,32.66,1,6665219,SH,OTB,6895,Rodrigo de Paul,7,0,CM,-34.87,3.95,-30.768,-10.977,-2.129,-35.293,NA,32.543,-12.016,-1.962,-43.317,NA,NA,NA,-31.762,-39.109,-35.645,16.493,16.662,3.105,8.447,NA,0.781,-0.097,-6.54,27.936,NA,NA,NA,2.979,-1.489,-14.903,23,-22.467,NA,-34.135,-40.31,NA,-40.906,NA,-36.829,-38.121,-50.228,-36.772,-44.595,2.513,-24.386,NA,15.98,NA,2.102,11.324,NA,-0.696,NA,10.582,-7.448,0.084,4.977,14.707,-3.072,2.448,NA,23,TRUE,goal_detected,1,32.65,OTB,FALSE,NA,NA,6895,Rodrigo de Paul,11241,Andries Noppert,F,FALSE,FALSE,S,FALSE
63970,10511,61394,34.06,1,6665490,SH,OTB,13222,Nahuel Molina,26,0,RWB,-44.28,1.47,-32.497,-11.367,-1.866,-25.285,NA,30.645,-17.077,-1.842,-43.38,NA,NA,NA,-22.432,-32.352,-37.072,0.367,18.149,4.065,-8.327,NA,0.434,3.368,0.171,2.53,NA,NA,NA,17.626,-15.205,1.525,23,-17.33,NA,-30.161,-38.546,NA,-38.712,NA,-32.491,-34.919,-46.406,-42.1,-30.649,-2.441,-23.404,NA,16.258,NA,-1.18,5.969,NA,-0.139,NA,6.759,-12.381,0.68,2.649,2.454,9.179,3.488,NA,23,TRUE,goal_detected,1,34.03,OTB,FALSE,NA,NA,13222,Nahuel Molina,11241,Andries Noppert,S,FALSE,FALSE,G,TRUE
73134,10511,70603,39.16,1,6666052,SH,OTB,1531,Lionel Messi,10,0,CF,-39.73,-5.9,-38.008,-3.085,-1.094,-36.255,NA,31.075,-24.847,-21.823,-19.017,NA,NA,NA,-31.542,-12.117,-40.142,-7.497,6.961,-1.651,8.81,NA,-0.932,-1.993,-13.03,16.364,NA,NA,NA,1.739,-22.647,-15.88,23,-3.464,NA,-39.914,-32.891,NA,-39.95,NA,-36.223,-6.653,-50.412,-41.362,-38.578,-2.084,-36.505,NA,9.866,NA,4.191,12.226,NA,-9.194,NA,-8.391,-25.808,-2.261,-2.679,-7.411,-8.989,-2.409,NA,23,FALSE,no_data,1,39.1,OTB,FALSE,NA,NA,1531,Lionel Messi,11241,Andries Noppert,S,FALSE,FALSE,S,FALSE
100770,10511,96317,47.37,2,6664694,SH,OTB,453,Alexis Mac Allister,20,0,CM,48.27,8.02,-50.976,-47.879,-45.771,-49.201,NA,25,-28.031,-41.835,-16.929,NA,NA,NA,-31.883,-17.053,-49.16,-32.966,-9.838,-2.583,-8.68,NA,-1.005,-1.895,2.111,-2.73,NA,NA,NA,-26.073,-7.248,0.984,23,-38.193,-38.482,NA,-42.519,NA,-49.138,-48.406,-40.924,-45.948,-51.924,-49.348,-48.65,NA,-49.165,NA,-16.476,-3.767,NA,2.52,NA,-23.849,-9.142,-2.111,-0.502,-2.476,-10.261,0.628,NA,-5.413,NA,23,FALSE,no_data,2,47.37,OTB,FALSE,NA,NA,453,Alexis Mac Allister,NA,NA,S,FALSE,FALSE,O,FALSE
100770,10511,96318,47.37,2,6664694,SH,OTB,453,Alexis Mac Allister,20,0,CM,48.27,8.02,-50.976,-47.879,-45.771,-49.201,NA,25,-28.031,-41.835,-16.929,NA,NA,NA,-31.883,-17.053,-49.16,-32.966,-9.838,-2.583,-8.68,NA,-1.005,-1.895,2.111,-2.73,NA,NA,NA,-26.073,-7.248,0.984,23,-38.193,-38.482,NA,-42.519,NA,-49.138,-48.406,-40.924,-45.948,-51.924,-49.348,-48.65,NA,-49.165,NA,-16.476,-3.767,NA,2.52,NA,-23.849,-9.142,-2.111,-0.502,-2.476,-10.261,0.628,NA,-5.413,NA,23,FALSE,no_data,2,47.37,OTB,FALSE,NA,NA,453,Alexis Mac Allister,NA,NA,S,FALSE,FALSE,O,FALSE
100770,10511,96319,47.37,2,6664694,SH,OTB,453,Alexis Mac Allister,20,0,CM,48.27,8.02,-50.976,-47.879,-45.771,-49.201,NA,25,-28.031,-41.835,-16.929,NA,NA,NA,-31.883,-17.053,-49.16,-32.966,-9.838,-2.583,-8.68,NA,-1.005,-1.895,2.111,-2.73,NA,NA,NA,-26.073,-7.248,0.984,23,-38.193,-38.482,NA,-42.519,NA,-49.138,-48.406,-40.924,-45.948,-51.924,-49.348,-48.65,NA,-49.165,NA,-16.476,-3.767,NA,2.52,NA,-23.849,-9.142,-2.111,-0.502,-2.476,-10.261,0.628,NA,-5.413,NA,23,FALSE,no_data,2,47.37,OTB,FALSE,NA,NA,453,Alexis Mac Allister,NA,NA,S,FALSE,FALSE,O,FALSE
100770,10511,96320,47.37,2,6664694,SH,OTB,453,Alexis Mac Allister,20,0,CM,48.27,8.02,-50.976,-47.879,-45.771,-49.201,NA,25,-28.031,-41.835,-16.929,NA,NA,NA,-31.883,-17.053,-49.16,-32.966,-9.838,-2.583,-8.68,NA,-1.005,-1.895,2.111,-2.73,NA,NA,NA,-26.073,-7.248,0.984,23,-38.193,-38.482,NA,-42.519,NA,-49.138,-48.406,-40.924,-45.948,-51.924,-49.348,-48.65,NA,-49.165,NA,-16.476,-3.767,NA,2.52,NA,-23.849,-9.142,-2.111,-0.502,-2.476,-10.261,0.628,NA,-5.413,NA,23,FALSE,no_data,2,47.37,OTB,FALSE,NA,NA,453,Alexis Mac Allister,NA,NA,S,FALSE,FALSE,O,FALSE
