frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_10,away_x_11,away_x_12,away_x_14,away_x_16,away_x_18,away_x_19,away_x_21,away_x_22,away_x_23,away_x_24,away_x_25,away_x_26,away_x_5,away_x_6,away_x_7,away_x_9,away_y_10,away_y_11,away_y_12,away_y_14,away_y_16,away_y_18,away_y_19,away_y_21,away_y_22,away_y_23,away_y_24,away_y_25,away_y_26,away_y_5,away_y_6,away_y_7,away_y_9,gk_away,home_x_1,home_x_11,home_x_15,home_x_16,home_x_17,home_x_18,home_x_19,home_x_2,home_x_21,home_x_24,home_x_25,home_x_3,home_x_4,home_x_5,home_x_6,home_x_7,home_x_8,home_y_1,home_y_11,home_y_15,home_y_16,home_y_17,home_y_18,home_y_19,home_y_2,home_y_21,home_y_24,home_y_25,home_y_3,home_y_4,home_y_5,home_y_6,home_y_7,home_y_8,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
162907,10508,160627,88.02,2,6649756,SH,OTB,13178,Nico Williams,12,0,RW,-42.53,7.14,NA,NA,40.594,NA,0.718,9.825,31.647,36.251,NA,-33.826,-0.248,NA,20.826,19.429,10.8,45.573,NA,NA,NA,-9.369,NA,-12.195,15.386,-6.279,12.66,NA,-1.151,0.178,NA,10.218,-11.887,-23.247,-14.204,NA,23,48.541,32.383,NA,28.323,NA,44.278,NA,40.331,7.988,NA,41.213,NA,43.099,NA,42.924,18.993,25.049,-2.583,-17.401,NA,-23.151,NA,-7.974,NA,4.969,-9.508,NA,-9.053,NA,-5.555,NA,-9.526,4.34,0.263,1,FALSE,no_data,2,88,OTB,FALSE,NA,NA,13178,Nico Williams,NA,NA,S,FALSE,FALSE,B,FALSE
167069,10508,164819,90.33,2,6649929,SH,OTB,1394,Alvaro Morata,7,0,CF,-52.1,4.28,NA,NA,42.669,NA,47.87,28.457,42.272,35.269,NA,-25,46.072,NA,32.019,45.818,16.532,48.931,NA,NA,NA,-8.128,NA,6.183,17.312,27.738,2.664,NA,1.243,-3.012,NA,16.017,2.797,-0.778,-9.722,NA,23,51.605,48.229,NA,39.713,NA,47.481,NA,42.368,47.681,NA,44.942,NA,47.281,NA,46.874,39.449,38.724,-3.037,-1.012,NA,-3.561,NA,-6.715,NA,9.65,4.418,NA,-5.955,NA,-1.385,NA,-5.22,20.113,18.834,1,TRUE,goal_detected,2,90.32,OTB,FALSE,NA,NA,1394,Álvaro Morata,NA,NA,S,FALSE,FALSE,O,FALSE
175448,10508,173229,94.99,2,6650301,SH,OTB,9,Aymeric Laporte,24,0,LCB,-45.06,-0.22,NA,NA,46.696,NA,41.325,27.906,48.806,42.676,NA,-25.764,41.605,NA,36.012,46.665,19.353,47.071,NA,NA,NA,-3.187,NA,2.691,11.426,-32.96,-6.27,NA,-0.675,0.686,NA,-22.511,-8.23,-6.021,5.211,NA,23,51.665,44.522,NA,37.432,NA,45.407,NA,44.404,46.815,NA,45.278,NA,46.337,NA,42.004,43.606,49.5,0.148,-3.749,NA,0.443,NA,-4.562,NA,5.89,-6.024,NA,-7.484,NA,-2.127,NA,2.866,-2.286,-25.639,1,FALSE,no_data,2,94.98,OTB,FALSE,NA,NA,9,Aymeric Laporte,NA,NA,S,FALSE,FALSE,B,FALSE
195406,10508,191511,99.93,3,6650390,SH,OTB,8344,Alex Balde,14,0,LB,-46.91,-9.73,NA,NA,-46.512,-45.707,-15.78,NA,-28.673,NA,NA,26.015,-10.676,-44.371,-31.607,-29.039,-17.393,-44.014,NA,NA,NA,3.575,-10.007,9.79,NA,14.451,NA,NA,0.044,-0.454,-0.726,-13.823,3.39,19.127,-4.298,NA,23,-51.178,-41.437,NA,-37.558,NA,-48.221,NA,-43.503,-25.996,NA,-35.804,NA,-40.78,NA,-49.119,-43.828,-34.504,-3.246,6.153,NA,17.9,NA,-4.908,NA,-10.792,7.05,NA,16.615,NA,-4.91,NA,1.215,-8.609,-7.466,1,FALSE,no_data,3,99.92,OTB,FALSE,NA,NA,8344,Alex Balde,NA,NA,S,FALSE,FALSE,B,FALSE
200642,10508,196762,102.85,3,6650623,SH,OTB,18,Rodri,16,0,RCB,-19.34,6.04,NA,NA,-27.793,-23.344,-17.804,NA,-27.045,NA,NA,29.713,-3.572,-28.878,-12.094,-20.772,-13.394,-28.779,NA,NA,NA,27.342,-27.734,6.667,NA,11.689,NA,NA,-0.812,-8.852,-6.374,-19.223,0.269,24.513,-15.755,NA,23,-49.297,-21.625,NA,-23.467,NA,-31.432,NA,-31.447,-18.063,NA,-30.967,NA,-24.164,NA,-30.927,-28.161,-19.999,0.271,8.18,NA,16.38,NA,-3.375,NA,-10.612,-1.301,NA,14.669,NA,-0.008,NA,4.455,-24.522,-9.815,1,FALSE,no_data,3,102.78,OTB,FALSE,NA,NA,18,Rodri,NA,NA,S,FALSE,FALSE,O,FALSE
201966,10508,198101,103.58,3,6650657,SH,OTB,13869,Walid Cheddira,21,1,CF,44.09,-6.21,NA,NA,36.161,43.977,40.008,NA,24.044,NA,NA,48.938,35.247,27.57,38.911,38.466,44.485,5.554,NA,NA,NA,5.08,-6.9,-12.056,NA,-8.759,NA,NA,-3.277,-13.473,-18.663,-14.212,-4.413,-4.279,-16.221,NA,23,-31.038,37.762,NA,41.453,NA,2.152,NA,8.929,42.951,NA,14.078,NA,15.053,NA,-0.005,37.314,34.038,-2.303,2.144,NA,-0.402,NA,-15.893,NA,-24.124,-6.965,NA,6.264,NA,-12.601,NA,-3.221,-23.652,-17.116,1,FALSE,no_data,3,103.57,OTB,TRUE,NA,NA,13869,Walid Cheddira,1341,Unai Simon,S,FALSE,FALSE,S,FALSE
206585,10508,202723,106.15,3,6650781,SH,OTB,1381,Marcos Llorente,6,0,RB,-36.64,11.05,NA,NA,-46.884,-25.227,-38.918,NA,-48.412,NA,NA,27.56,-46.661,-42.983,-31.052,-38.995,-34.239,-46.002,NA,NA,NA,-4.203,-3.092,-7.146,NA,-23.309,NA,NA,-0.833,0.573,0.76,-19.376,2.087,12.338,2.837,NA,23,-51.255,-43.281,NA,-40.572,NA,-51.432,NA,-44.594,-44.601,NA,-46.071,NA,-48.914,NA,-49.422,-33.464,-45.386,4.965,4.716,NA,1.765,NA,1.401,NA,8.44,-4.275,NA,6.305,NA,-1.164,NA,0.148,-18.149,2.59,1,FALSE,no_data,3,106.15,OTB,FALSE,NA,NA,1381,Marcos Llorente,NA,NA,V,FALSE,FALSE,B,FALSE
211398,10508,203053,105.01,4,6649000,SH,OTB,12777,Abdelhamid Sabiri,11,1,AM,0.2,-12.27,NA,NA,-0.171,-0.458,-16.091,NA,-2.138,NA,NA,-45.906,-15.031,-12.443,-3.703,-7.736,-12.858,0.048,NA,NA,NA,-18.967,16.026,-7.904,NA,-8.338,NA,NA,-2.619,7.026,21.683,8.636,-1.223,-22.369,-9.559,NA,23,40.738,1.29,NA,-2.598,NA,19.701,NA,17.802,-0.023,NA,11.616,NA,11.151,NA,11.76,0.011,7.198,-0.005,-9.451,NA,-26.89,NA,8.919,NA,25.528,0.442,NA,-22.347,NA,0.195,NA,-0.66,31.116,7.511,1,FALSE,no_data,4,105,OTB,TRUE,NA,NA,12777,Abdelhamid Sabiri,NA,NA,L,FALSE,FALSE,O,FALSE
239734,10508,231512,120.76,4,6650710,SH,OTB,1519,Sergio Busquets,5,0,CM,36.58,-7.5,NA,NA,NA,22.432,19.139,NA,21.68,NA,39.723,-25,5.698,40.84,32.504,36.798,39.695,42.036,NA,NA,NA,NA,11.752,-6.517,NA,-20.471,NA,-14.561,-2.767,-3.461,4.304,2.275,-6.439,-20.089,6.039,NA,23,47.953,36.841,NA,28.734,NA,40.04,NA,38.952,28.904,37.058,41.276,NA,39.255,NA,38.956,29.663,NA,-2.307,-7.28,NA,-20.21,NA,-1.745,NA,5.794,-8.139,-15.501,-11.461,NA,0.543,NA,-5.642,5.863,NA,1,FALSE,no_data,4,120.73,OTB,FALSE,NA,NA,1519,Sergio Busquets,NA,NA,S,FALSE,FALSE,B,FALSE
242617,10508,234395,122.37,4,6650791,SH,OTB,3867,Pablo Sarabia,22,0,RW,48.25,-1.59,NA,NA,NA,37.083,29.954,NA,49.203,NA,50.936,-25.046,47.846,46.736,25.633,31.971,11.126,44.988,NA,NA,NA,NA,18.735,10.678,NA,-2.505,NA,-7.445,-0.563,2.901,1.565,1.333,-1.74,-4.513,-2.75,NA,23,51.526,39.21,NA,39.799,NA,47.313,NA,40.522,27.221,47.761,48.788,NA,37.643,NA,47.749,33.409,NA,-3.143,1.578,NA,-8.751,NA,2.604,NA,14.22,-2.621,-1.067,-3.457,NA,9.236,NA,-1.997,-31.456,NA,1,FALSE,no_data,4,122.35,OTB,FALSE,NA,NA,3867,Pablo Sarabia,NA,NA,V,FALSE,FALSE,O,FALSE
NA,10508,NA,NA,NA,6650809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,124.95,OTB,TRUE,NA,NA,12777,Abdelhamid Sabiri,1341,Unai Simon,S,TRUE,FALSE,G,TRUE
NA,10508,NA,NA,NA,6650811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,125.83,OTB,FALSE,NA,NA,3867,Pablo Sarabia,NA,NA,S,TRUE,FALSE,O,FALSE
NA,10508,NA,NA,NA,6650816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,126.68,OTB,TRUE,NA,NA,1938,Hakim Ziyech,1341,Unai Simon,S,TRUE,FALSE,G,TRUE
NA,10508,NA,NA,NA,6650822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,127.57,OTB,FALSE,NA,NA,1829,Carlos Soler,1785,Bono,S,TRUE,FALSE,S,FALSE
NA,10508,NA,NA,NA,6650825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,128.45,OTB,TRUE,NA,NA,13865,Badr Benoun,1341,Unai Simon,S,TRUE,FALSE,S,FALSE
NA,10508,NA,NA,NA,6650829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,129.35,OTB,FALSE,NA,NA,1519,Sergio Busquets,1785,Bono,S,TRUE,FALSE,S,FALSE
NA,10508,NA,NA,NA,6650834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,130.45,OTB,TRUE,NA,NA,1681,Achraf Hakimi,1341,Unai Simon,S,TRUE,FALSE,G,TRUE
