frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_10,away_x_11,away_x_13,away_x_15,away_x_17,away_x_18,away_x_19,away_x_2,away_x_20,away_x_21,away_x_22,away_x_23,away_x_3,away_x_4,away_x_5,away_x_7,away_y_10,away_y_11,away_y_13,away_y_15,away_y_17,away_y_18,away_y_19,away_y_2,away_y_20,away_y_21,away_y_22,away_y_23,away_y_3,away_y_4,away_y_5,away_y_7,gk_away,home_x_1,home_x_10,home_x_11,home_x_15,home_x_17,home_x_18,home_x_19,home_x_2,home_x_21,home_x_23,home_x_24,home_x_5,home_x_6,home_x_7,home_x_8,home_y_1,home_y_10,home_y_11,home_y_15,home_y_17,home_y_18,home_y_19,home_y_2,home_y_21,home_y_23,home_y_24,home_y_5,home_y_6,home_y_7,home_y_8,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
5012,3823,1537,0.85,1,6522886,SH,OTB,112,Michy Batshuayi,23,1,CF,29.07,5.78,-2.688,-3.561,22.416,NA,NA,49.349,12.812,30.369,4.689,NA,0.384,NA,NA,28.581,29.457,31.401,-21.983,11.929,9.815,NA,NA,0.573,-13.06,14.293,15.533,NA,27.885,NA,NA,-0.766,7.139,5.105,18,-34.87,26.621,-1.662,NA,NA,NA,-1.004,-2.285,1.009,26.893,NA,-3.323,8.411,24.102,6.915,0.84,20.37,21.988,NA,NA,NA,-5.163,4.684,-19.411,8.258,NA,14.314,2.408,1.053,12.045,1,FALSE,no_data,1,0.77,OTB,TRUE,NA,NA,112,Michy Batshuayi,14031,Milan Borjan,S,FALSE,FALSE,S,FALSE
6521,3823,3046,1.69,1,6522979,SH,OTB,8551,Stephen Eustaquio,7,0,CM,-43.68,6.47,-39.882,-47.001,-31.878,NA,NA,25,-32.246,-42.175,-42.813,NA,-46.44,NA,NA,-13.703,-8.492,-42.997,-7.551,1.441,11.298,NA,NA,1.471,2.556,17.15,0.362,NA,11.942,NA,NA,-7.126,12.001,10.128,18,-50.588,-37.298,-41.086,NA,NA,NA,-47.336,-45.843,-45.473,-15.664,NA,-45.047,-42.518,-32.113,-47.004,2.62,18.965,14.448,NA,NA,NA,0.896,2.375,-4.294,-7.647,NA,7.697,5.3,10.814,12.458,1,FALSE,no_data,1,1.67,OTB,FALSE,NA,NA,8551,Stephen Eustaquio,NA,NA,S,FALSE,FALSE,B,FALSE
14818,3823,11376,6.3,1,6523318,SH,OTB,3965,Jonathan David,20,0,CF,-45.15,5.67,-42.634,-47.822,-19.187,NA,NA,27.404,-27.421,-8.657,-44.299,NA,-38.001,NA,NA,-4.03,-3.978,-46.023,-0.477,26.235,17.223,NA,NA,3.719,3.122,20.932,3.57,NA,16.297,NA,NA,4.778,15.918,13.645,18,-50.871,-21.398,-29.494,NA,NA,NA,-45.126,-46.799,-43.604,-1.859,NA,-46.977,-42.752,-12.19,-37.98,1.596,28.153,25.331,NA,NA,NA,3.588,10.35,-0.824,11.931,NA,21.235,12.671,16.625,6.05,1,FALSE,no_data,1,6.28,OTB,FALSE,NA,NA,3965,Jonathan David,NA,NA,F,FALSE,FALSE,B,FALSE
16363,3823,12921,7.16,1,6523350,SH,OTB,963,Tajon Buchanan,11,0,RW,-41.83,0.14,-27.909,-40.825,-43.373,NA,NA,25,-29.184,-33.874,-47.976,NA,-42.261,NA,NA,-43.378,-47.196,-31.102,19.397,-3.652,6.074,NA,NA,0.543,17.013,-12.781,-2.253,NA,27.492,NA,NA,-0.993,-0.101,-0.783,18,-51.604,-31.905,-43.22,NA,NA,NA,-42.258,-50.267,-43.88,-37.412,NA,-41.459,-43.908,-41.799,-45.178,-0.761,10.161,-3.673,NA,NA,NA,-1.323,2.172,3.978,-8.361,NA,-2.149,-1.725,6.512,1.182,1,FALSE,no_data,1,7.13,OTB,FALSE,NA,NA,963,Tajon Buchanan,1672,Thibaut Courtois,V,FALSE,FALSE,S,FALSE
21467,3823,18025,10,1,6523406,SH,OTB,4611,Alphonso Davies,19,0,LWB,-43.05,-1.24,-35.243,-35.795,-35.757,NA,NA,28.214,-41.705,-14.283,-32.748,NA,-24.986,NA,NA,-13.415,-6.612,-29.221,-14.652,12.792,9.614,NA,NA,-0.701,0.75,9.236,-11.331,NA,13.395,NA,NA,-6.582,1.231,0.281,18,-50.678,-29.735,-31.683,NA,NA,NA,-35.993,-42.913,-35.112,-10.755,NA,-36.131,-36.197,-22.345,-30.987,-0.227,12.619,2.14,NA,NA,NA,-8.552,0.106,-11.887,-3.866,NA,8.199,-6.887,4.663,-1.052,1,FALSE,no_data,1,9.98,OTB,FALSE,NA,NA,4611,Alphonso Davies,1672,Thibaut Courtois,F,TRUE,FALSE,S,FALSE
21525,3823,18083,10.03,1,6523419,SH,OTB,3965,Jonathan David,20,0,CF,-45.65,-3.38,-40.708,-38.967,-33.448,NA,NA,26.539,-43.699,-16.57,-44.167,NA,-27.755,NA,NA,-15.785,-8.202,-36.247,-11.057,10.789,6.768,NA,NA,-0.894,-2.989,8.439,-5.026,NA,12.626,NA,NA,-6.547,0.568,-1.941,18,-50.918,-32.657,-35.346,NA,NA,NA,-41.215,-46.25,-44.322,-12.497,NA,-42.417,-43.239,-24.716,-43.284,-1.901,11.251,0.534,NA,NA,NA,-4.292,-0.149,-7.438,-3.02,NA,5.938,-4.939,4.355,-1.312,1,FALSE,no_data,1,10.02,OTB,FALSE,NA,NA,3965,Jonathan David,NA,NA,F,FALSE,FALSE,O,FALSE
25503,3823,22091,12.24,1,6523572,SH,OTB,1225,Richie Laryea,22,0,RWB,-40.74,15.38,-35.344,-45.152,-23.909,NA,NA,25,-28.491,-34.512,-40.321,NA,-39.096,NA,NA,-10.398,-8.806,-35.918,0.486,18.294,17.83,NA,NA,3.453,6.508,32.144,-1.734,NA,15.385,NA,NA,4.204,16.958,13.112,18,-50.453,-37.66,-43.228,NA,NA,NA,-41.896,-41.149,-41.035,-10.188,NA,-42.157,-38.058,-25.051,-32.107,2.163,18.147,17.201,NA,NA,NA,0.265,5.3,-1.749,14.903,NA,11.45,15.489,20.867,5.95,1,FALSE,no_data,1,12.2,OTB,FALSE,NA,NA,1225,Richie Laryea,NA,NA,S,FALSE,FALSE,O,FALSE
26612,3823,23200,12.86,1,6523648,SH,OTB,3965,Jonathan David,20,0,CF,-40.26,5.03,-40.083,-48.844,-33.879,NA,NA,25,-33.005,-21.115,-41.47,NA,-49.861,NA,NA,-14.418,-11.415,-45.947,-20.141,6.77,-0.399,NA,NA,-0.184,-12.872,7.672,7.068,NA,16.541,NA,NA,-7.433,0.316,3.155,18,-51.352,-33.278,-43.795,NA,NA,NA,-45.612,-48.785,-43.122,-12.474,NA,-47.215,-42.302,-26.034,-33.632,1.683,5.177,7.818,NA,NA,NA,0.512,-1.969,-7.629,-1.477,NA,3.066,6.564,-6.135,-14.027,1,FALSE,no_data,1,12.83,OTB,FALSE,NA,NA,3965,Jonathan David,NA,NA,S,FALSE,FALSE,B,FALSE
26764,3823,23352,12.94,1,6523668,SH,OTB,3965,Jonathan David,20,0,CF,-44.44,7.81,-42.94,-45.998,-37.546,NA,NA,25.316,-32.599,-19.388,-42.728,NA,-32.478,NA,NA,-12.635,-10.997,-41.652,-6.705,7.754,3.938,NA,NA,1.292,-3.285,11.706,8.235,NA,13.448,NA,NA,0.341,6.279,2.596,18,-48.288,-44.54,-27.429,NA,NA,NA,-42.342,-47.518,-45.096,-12.073,NA,-47.491,-35.396,-23.585,-30.014,4.291,7.096,18.239,NA,NA,NA,0.309,-0.157,-6.885,5.229,NA,8.717,11.789,1.015,-5.229,1,FALSE,no_data,1,12.93,OTB,FALSE,NA,NA,3965,Jonathan David,1672,Thibaut Courtois,S,FALSE,FALSE,S,FALSE
31353,3823,27941,15.49,1,6522838,SH,OTB,6916,Junior Hoilett,10,0,LW,-39.63,12.09,-39.486,-40.926,-12.98,NA,NA,32.841,-36.307,-7.973,-43.293,NA,-23.021,NA,NA,-1.597,-0.649,-29.734,13.512,19.318,10.681,NA,NA,2.47,0.161,18.535,-2.441,NA,17.543,NA,NA,-1.157,12.017,4.339,18,-50.774,-13.504,-39.266,NA,NA,NA,-40.92,-44.36,-37.876,3.057,NA,-41.733,-36.42,-7.898,-28.031,1.832,20.704,17.927,NA,NA,NA,13.181,2.232,-0.946,4.334,NA,9.048,6.875,8.623,4.727,1,FALSE,no_data,1,15.4,OTB,FALSE,NA,NA,6916,Junior Hoilett,NA,NA,S,FALSE,FALSE,O,FALSE
