frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_11,away_x_13,away_x_14,away_x_15,away_x_16,away_x_19,away_x_2,away_x_21,away_x_22,away_x_23,away_x_25,away_x_26,away_x_3,away_x_4,away_x_7,away_y_1,away_y_11,away_y_13,away_y_14,away_y_15,away_y_16,away_y_19,away_y_2,away_y_21,away_y_22,away_y_23,away_y_25,away_y_26,away_y_3,away_y_4,away_y_7,gk_away,home_x_1,home_x_10,home_x_11,home_x_13,home_x_14,home_x_18,home_x_2,home_x_20,home_x_21,home_x_22,home_x_24,home_x_26,home_x_5,home_x_7,home_x_8,home_x_9,home_y_1,home_y_10,home_y_11,home_y_13,home_y_14,home_y_18,home_y_2,home_y_20,home_y_21,home_y_22,home_y_24,home_y_26,home_y_5,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
5745,3819,2766,1.54,1,6506723,SH,OTB,1532,Ousmane Dembele,11,1,RW,33,-4.03,50.631,NA,43.645,41.337,44.075,44.336,43.456,NA,NA,46.578,32.964,NA,NA,39.971,45.86,41.716,-1.144,NA,-1.207,8.949,1.124,-5.988,4.484,NA,NA,3.553,-5.605,NA,NA,2.201,-0.698,7.264,1,-25.029,43.712,29.981,NA,43.04,22.529,44.089,NA,28.699,NA,43.002,NA,NA,44.451,39.894,48.617,0.106,28.803,-6.895,NA,15.937,-0.943,-2.68,NA,8.853,NA,-0.679,NA,NA,-9.209,0.735,3.811,1,FALSE,no_data,1,1.53,OTB,TRUE,NA,NA,1532,Ousmane Dembele,NA,NA,V,FALSE,FALSE,B,FALSE
7324,3819,4345,2.42,1,6507100,SH,OTB,6967,Riley McGree,14,0,CM,-30.93,-1.31,31.324,NA,-9.485,-25.585,-29.304,-11.159,0.631,NA,NA,-23.649,-30.878,NA,NA,-22.659,1.707,-19.965,1.626,NA,14.567,0.655,11.556,-9.152,14.941,NA,NA,14.473,-19.877,NA,NA,25.738,4.591,24.518,1,-50.491,-13.442,-25.526,NA,-15.788,-31.679,-32.582,NA,-26.848,NA,-29.898,NA,NA,-22.717,-22.528,-3.795,0.032,23.253,-1.117,NA,18.926,11.699,-9.27,NA,21.036,NA,2.504,NA,NA,2.854,11.112,17.034,1,FALSE,no_data,1,2.38,OTB,FALSE,NA,NA,6967,Riley McGree,NA,NA,S,FALSE,FALSE,O,FALSE
18098,3819,15149,8.41,1,6507795,SH,OTB,13823,Craig Goodwin,23,0,LM,-48.02,-7.05,30.791,NA,-18.959,-36.834,-45.253,-8.27,-0.712,NA,NA,-42.295,-47.428,NA,NA,-39.472,-0.232,-42.238,0.386,NA,7.584,-5.15,-2.117,-16.237,6.151,NA,NA,6.369,-8.022,NA,NA,16.94,-3.523,19.462,1,-51.192,-17.816,-16.497,NA,-47.438,-44.368,-40.186,NA,-48.382,NA,-47.864,NA,NA,-15.394,-37.294,-3.713,-1.684,14.754,-14.707,NA,17.492,9.98,-3.498,NA,23.546,NA,0.117,NA,NA,-0.486,0.132,7.404,1,TRUE,goal_detected,1,8.4,OTB,FALSE,NA,NA,13823,Craig Goodwin,61,Hugo Lloris,F,FALSE,FALSE,G,TRUE
25346,3819,22412,12.44,1,6507872,SH,OTB,8583,Theo Hernandez,22,1,LB,29.96,0.65,51.204,NA,42.403,44.741,44.478,44.249,45.002,NA,NA,43.409,32.222,NA,NA,40.373,43.963,45.873,1.101,NA,-1.07,-3.811,7.324,11.783,5.094,NA,NA,4.192,4.624,NA,NA,-0.725,0.546,8.213,1,-25.493,44.867,34.081,NA,48.29,21.349,42.916,NA,NA,27.87,43.186,NA,NA,50.523,40.669,44.877,0.421,31.403,-11.762,NA,-2.674,-1.336,6.305,NA,NA,5.864,0.704,NA,NA,11.182,-1.515,2.466,1,FALSE,no_data,1,12.43,OTB,TRUE,NA,NA,8583,Theo Hernandez,NA,NA,V,FALSE,FALSE,C,FALSE
40878,3819,37947,21.08,1,6507092,SH,OTB,13819,Mitchell Duke,15,0,CF,-27.98,5.72,34.82,NA,-10.626,-16.513,-25.75,2.443,3.538,NA,NA,-10.943,-15.342,NA,NA,1.662,3.691,-15.736,0.615,NA,5.278,-5.934,5.477,-16.666,8.134,NA,NA,14.251,-20.724,NA,NA,19.362,0.729,7.757,1,-49.706,0.399,-1.289,NA,-9.997,-29.696,-26.865,NA,NA,-19.78,-27.973,NA,NA,-16.443,-26.309,4.437,2.269,23.677,-15.666,NA,22.574,11.609,-13.232,NA,NA,2.781,4.557,NA,NA,-4.633,8.405,1.466,1,TRUE,goal_detected,1,21.05,OTB,FALSE,NA,NA,13819,Mitchell Duke,NA,NA,S,FALSE,FALSE,O,FALSE
48916,3819,46015,25.55,1,6507527,SH,OTB,1534,Antoine Griezmann,7,1,AM,46.31,-10.91,50.216,NA,44.139,36.658,17.464,42.997,43.866,NA,NA,39.037,39.133,NA,NA,42.822,45.563,40.821,-3.759,NA,-9.706,-17.283,-8.597,-20.374,-0.628,NA,NA,-0.19,-22.114,NA,NA,5.047,-11.314,11.09,1,-25,36.201,33.301,NA,30.794,21.147,40.953,NA,NA,37.369,11.098,NA,NA,44.98,25.142,42.227,-1.759,3.498,-24.231,NA,4.33,4.56,-29.516,NA,NA,16.175,-5.869,NA,NA,-12.206,-0.291,-2.455,1,FALSE,no_data,1,25.52,OTB,TRUE,NA,NA,1534,Antoine Griezmann,NA,NA,V,FALSE,FALSE,B,FALSE
49784,3819,46883,26.03,1,6507568,SH,OTB,8054,Adrien Rabiot,14,1,CM,46.48,-2.08,49.953,NA,36.637,44.25,42.717,38.362,44.227,NA,NA,42.093,29.463,NA,NA,38.704,43.938,38.551,-1.106,NA,8.104,-9.214,-6.399,21.564,0.882,NA,NA,3.917,13.485,NA,NA,11.079,-1.182,-0.557,1,-25,35.625,25.712,NA,44.795,17.448,44.539,NA,NA,27.565,30.518,NA,NA,35.369,35.068,44.841,0.346,24.17,-17.983,NA,-2.663,11.422,-7.038,NA,NA,20.991,-2.272,NA,NA,-26.807,1.427,-0.016,1,TRUE,goal_detected,1,26.02,OTB,TRUE,NA,NA,8054,Adrien Rabiot,435,Mathew Ryan,S,FALSE,FALSE,G,TRUE
55085,3819,52192,28.98,1,6507693,SH,OTB,113,Olivier Giroud,9,1,CF,47.86,0.31,50.737,NA,40.629,39.027,42.201,39.101,42.825,NA,NA,44.922,34.038,NA,NA,44.092,45.219,32.676,-0.152,NA,0.022,7.989,5.327,22.922,3.835,NA,NA,0.09,-8.405,NA,NA,-6.254,-1.709,19.116,1,-25,42.331,41.326,NA,42.53,24.177,21.362,NA,NA,36.894,19.85,NA,NA,29.265,34.728,44.615,0.957,10.982,-14.648,NA,3.328,-5.216,-3.616,NA,NA,26.458,-5.332,NA,NA,21.217,1.928,1.899,1,FALSE,no_data,1,28.97,OTB,TRUE,NA,NA,113,Olivier Giroud,NA,NA,S,FALSE,FALSE,O,FALSE
55085,3819,52193,28.98,1,6507693,SH,OTB,113,Olivier Giroud,9,1,CF,47.86,0.31,50.737,NA,40.629,39.027,42.201,39.101,42.825,NA,NA,44.922,34.038,NA,NA,44.092,45.219,32.676,-0.152,NA,0.022,7.989,5.327,22.922,3.835,NA,NA,0.09,-8.405,NA,NA,-6.254,-1.709,19.116,1,-25,42.331,41.326,NA,42.53,24.177,21.362,NA,NA,36.894,19.85,NA,NA,29.265,34.728,44.615,0.957,10.982,-14.648,NA,3.328,-5.216,-3.616,NA,NA,26.458,-5.332,NA,NA,21.217,1.928,1.899,1,FALSE,no_data,1,28.97,OTB,TRUE,NA,NA,113,Olivier Giroud,NA,NA,S,FALSE,FALSE,O,FALSE
55085,3819,52194,28.98,1,6507693,SH,OTB,113,Olivier Giroud,9,1,CF,47.86,0.31,50.737,NA,40.629,39.027,42.201,39.101,42.825,NA,NA,44.922,34.038,NA,NA,44.092,45.219,32.676,-0.152,NA,0.022,7.989,5.327,22.922,3.835,NA,NA,0.09,-8.405,NA,NA,-6.254,-1.709,19.116,1,-25,42.331,41.326,NA,42.53,24.177,21.362,NA,NA,36.894,19.85,NA,NA,29.265,34.728,44.615,0.957,10.982,-14.648,NA,3.328,-5.216,-3.616,NA,NA,26.458,-5.332,NA,NA,21.217,1.928,1.899,1,FALSE,no_data,1,28.97,OTB,TRUE,NA,NA,113,Olivier Giroud,NA,NA,S,FALSE,FALSE,O,FALSE
