frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_11,away_x_13,away_x_14,away_x_15,away_x_16,away_x_17,away_x_18,away_x_19,away_x_21,away_x_22,away_x_23,away_x_24,away_x_25,away_x_26,away_x_4,away_x_8,away_y_11,away_y_13,away_y_14,away_y_15,away_y_16,away_y_17,away_y_18,away_y_19,away_y_21,away_y_22,away_y_23,away_y_24,away_y_25,away_y_26,away_y_4,away_y_8,gk_away,home_x_10,home_x_12,home_x_13,home_x_15,home_x_16,home_x_19,home_x_2,home_x_20,home_x_22,home_x_24,home_x_25,home_x_4,home_x_6,home_x_8,home_y_10,home_y_12,home_y_13,home_y_15,home_y_16,home_y_19,home_y_2,home_y_20,home_y_22,home_y_24,home_y_25,home_y_4,home_y_6,home_y_8,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
5884,3859,2847,1.58,1,6627572,SH,OTB,132,Fred,8,0,CM,-42.85,-1.06,NA,-45.691,-9.046,-18.129,-15.617,NA,-48.367,-43.018,-40.419,NA,27.014,-1.454,NA,-45.34,NA,-41.149,NA,16.946,17.611,5.498,-8.09,NA,-3.221,5.6,14.629,NA,1.853,3.145,NA,-7.882,NA,-0.601,23,-4.519,NA,-11.659,-51.272,-51.325,-45.562,NA,-36.805,NA,-46.213,-42.895,-45.975,-40.033,-39.064,6.747,NA,19.555,13.416,1.068,-0.861,NA,-4.647,NA,9.875,19.642,3.54,12.833,2.445,16,FALSE,no_data,1,1.57,OTB,FALSE,NA,NA,132,Fred,NA,NA,I,FALSE,FALSE,O,FALSE
6184,3859,3147,1.75,1,6627384,SH,OTB,8039,Antony,19,0,RW,-39.1,-12.1,NA,-31.388,-17.298,-32.601,-27.405,NA,-44.584,-37.342,-44.526,NA,25,-15.82,NA,-37.701,NA,-41.032,NA,12.693,4.802,-7.781,-24.694,NA,-14.254,-13.013,0.374,NA,-2.787,-9.721,NA,-17.126,NA,-5.366,23,-26.944,NA,-29.996,-38.814,-50.95,-44.924,NA,-41.038,NA,-44.85,-44.263,-42.301,-37.959,-37.883,-11.267,NA,6.102,-8.757,-2.239,-14.615,NA,-18.029,NA,-1.371,2.123,-9.498,4.889,-16.79,16,FALSE,no_data,1,1.73,OTB,FALSE,NA,NA,8039,Antony,NA,NA,S,FALSE,FALSE,C,FALSE
27446,3859,24574,13.57,1,6628988,SH,OTB,162,Gabriel Martinelli,26,0,LW,-48.36,-3.64,NA,-27.927,-7.047,-20.22,-18.153,NA,-32.94,-35.703,-35.352,NA,25,-4.212,NA,-45.722,NA,-23.076,NA,24.678,15.893,9.087,-7.574,NA,12.172,26.75,-1.654,NA,1.603,6.963,NA,-6.399,NA,16.152,23,-14.709,NA,-20.498,-32.497,-49.427,-43.344,NA,-31.121,NA,-35.653,-36.207,-40.163,-28.601,-28.456,14.547,NA,7.191,1.56,-2.899,-5.924,NA,-7.283,NA,10.019,18.458,1.478,24.443,14.684,16,FALSE,no_data,1,13.57,OTB,FALSE,NA,NA,162,Gabriel Martinelli,13871,Devis Epassy,S,FALSE,FALSE,S,FALSE
28528,3859,25656,14.18,1,6629005,SH,OTB,30,Gabriel Jesus,18,0,CF,-52.59,14.69,NA,-24.197,-37.52,-43.102,-29.236,NA,-46.619,-34.818,-47.415,NA,25,-36.569,NA,-41.518,NA,-48.016,NA,3.122,2.603,2.578,-19.179,NA,-3.848,5.892,-1.513,NA,0.109,1.879,NA,-4.667,NA,9.757,23,-45.898,NA,-35.265,-41.697,-52.116,-52.116,NA,-28.329,NA,-48.547,-47.454,-47.198,-45.232,-47.879,1.86,NA,3.246,0.624,1.425,-3.516,NA,-16.679,NA,-0.274,6.73,-2.967,-1.924,7.717,16,FALSE,no_data,1,14.17,OTB,FALSE,NA,NA,30,Gabriel Jesus,NA,NA,S,FALSE,FALSE,O,FALSE
41063,3859,38284,21.15,1,6628407,SH,OTB,132,Fred,8,0,CM,-44.5,0.68,NA,-23.49,-8.955,-23.827,-27.745,NA,-42.153,-32.131,-40.262,NA,25,-13.95,NA,-36.738,NA,-41.359,NA,5.946,-0.473,-7.255,-20.926,NA,3.909,-2.404,-7.358,NA,-2.352,-7.346,NA,-27.283,NA,-1.456,23,-21.391,NA,-22.342,-38.222,-51.844,-38.933,NA,-29.252,NA,-43.578,-41.621,-41.653,-36.956,-36.397,-13.405,NA,1.563,-2.225,-0.7,-18.762,NA,-19.462,NA,-0.723,0.365,-5.634,9.162,-11.054,16,FALSE,no_data,1,21.13,OTB,FALSE,NA,NA,132,Fred,NA,NA,V,FALSE,FALSE,C,FALSE
56413,3859,53679,29.68,1,6629051,SH,OTB,1697,Rodrygo,21,0,AM,-31.71,4.17,NA,-38.796,-35.039,-37.412,-28.095,NA,-39.023,-21.469,-28.952,NA,25,-25.815,NA,-38.623,NA,-34.411,NA,10.277,3.284,0.456,6.902,NA,-5.112,4.525,2.597,NA,0.313,-6.175,NA,-8.673,NA,2.962,23,-38.002,NA,-36.517,-38.538,-51.785,-39.115,NA,-37.291,NA,-39.584,-39.101,-40.276,-38.74,-39.615,1.836,NA,2.628,-1.461,-0.845,-3.846,NA,-7.896,NA,3.39,1.876,0.665,4.202,9.236,16,FALSE,no_data,1,29.67,OTB,FALSE,NA,NA,1697,Rodrygo,NA,NA,S,FALSE,TRUE,B,FALSE
63213,3859,60509,33.46,1,6627233,SH,OTB,9330,Dani Alves,13,0,RB,-33.03,-8.71,NA,-31.685,-29.946,-29.889,-18.594,NA,-39.389,-39.18,-40.268,NA,25,-28.147,NA,-38.005,NA,-39.304,NA,-10.373,1.801,-4.437,0.487,NA,2.49,6.409,-1.578,NA,-1.473,1.724,NA,-1.657,NA,3.127,23,-36.837,NA,-38.778,-40.117,-51.892,-40.445,NA,-38.619,NA,-42.089,-42.628,-40.912,-40.573,-40.059,2.385,NA,6.082,-4.248,1.14,-1.469,NA,4.038,NA,5.969,-1.161,-6.776,5.118,2.649,16,FALSE,no_data,1,33.45,OTB,FALSE,NA,NA,9330,Dani Alves,NA,NA,S,FALSE,TRUE,O,FALSE
69756,3859,67052,37.1,1,6627964,SH,OTB,8039,Antony,19,0,RW,-40.57,10.28,NA,-39.7,-12.695,-21.192,-5.327,NA,-39.496,-24.759,-36.315,NA,27.461,-0.976,NA,-12.627,NA,-38.619,NA,12.201,11.331,0.543,-15.448,NA,-8.282,16.178,0.342,NA,0.251,0.618,NA,-13.659,NA,2.579,23,-0.407,NA,-9.828,-31.957,-49.318,-24.797,NA,-2.282,NA,-40.106,-40.496,-40.035,-18.586,-34.416,6.431,NA,2.503,5.336,2.299,-18.968,NA,-22.955,NA,4.882,10.849,0.008,19.543,-0.951,16,TRUE,goal_detected,1,37.07,OTB,FALSE,NA,NA,8039,Antony,13871,Devis Epassy,S,FALSE,FALSE,S,FALSE
85616,3859,82912,45.92,1,6628967,SH,OTB,162,Gabriel Martinelli,26,0,LW,-37.48,0.87,NA,-37.871,-4.574,-21.519,-28.416,NA,-41.059,-33.591,-40.952,NA,26.157,-1.253,NA,-35.026,NA,-39.896,NA,18.345,10.551,-2.907,-13.501,NA,-4.88,8.607,-0.881,NA,-0.454,0.385,NA,7.531,NA,12.97,23,-11.756,NA,-11.883,-33.953,-50.616,-41.253,NA,-35.776,NA,-40.063,-39.511,-43.57,-24.005,-35.303,-0.47,NA,7.53,2.391,1.278,-3.884,NA,-6.515,NA,5.078,10.525,3.948,14.601,-5.853,16,FALSE,no_data,1,45.83,OTB,FALSE,NA,NA,162,Gabriel Martinelli,13871,Devis Epassy,S,FALSE,FALSE,F,FALSE
86859,3859,84155,46.61,1,6628996,SH,OTB,1697,Rodrygo,21,0,AM,-43.8,7.79,NA,-20.423,-43.308,-47.514,-23.198,NA,-46.8,-42.39,-41.336,NA,25,-46.067,NA,-46.642,NA,-46.471,NA,7.086,-2.791,10.571,6.679,NA,-6.081,13.94,9.132,NA,1.115,-1.845,NA,-3.82,NA,0.834,23,-45.645,NA,-46.747,-42.26,-52.119,-43.842,NA,-37.266,NA,-47.287,-46.88,-44.801,-44.388,-51.442,6.119,NA,10.033,7.453,1.019,2.797,NA,9.785,NA,2.283,1.581,-1.82,3.425,3.178,16,TRUE,goal_detected,1,46.6,OTB,FALSE,NA,NA,1697,Rodrygo,NA,NA,S,FALSE,FALSE,O,FALSE
