shooter_id,rgax
1,0.0013035634791195632
9,5.968855243421489e-4
10,0.0018616144158001052
11,0.0022689585365714936
18,5.629253898167114e-4
20,5.243458608885303e-4
21,9.867703717466945e-4
22,0.0014266315362961941
25,-0.0013737169621443775
26,-1.6294791861054056e-4
27,6.206669825511758e-4
30,0.0016896852996724247
37,9.180071288839472e-4
40,6.229193865572478e-4
47,7.224840789512226e-4
55,0.0012934070693748317
57,-0.003825644143120289
67,5.25249774630395e-4
71,-4.167874129194391e-5
83,9.604472188584267e-4
84,1.0945026026206436e-4
90,3.3656874504991297e-4
92,-0.004775259472587206
100,-4.766290586978207e-5
105,2.8652451979038956e-5
107,-5.051121667093779e-4
112,9.99789626532581e-4
113,-4.7527805245642574e-4
118,2.0458425492905186e-4
123,4.2906284579508384e-4
127,-2.9162511909874416e-4
132,2.451798175946971e-5
133,4.865558909317151e-4
136,-0.0010868393085817832
157,-3.242576508866569e-5
162,9.292551642899981e-6
163,-3.516555649485176e-5
195,4.4114313362047847e-4
214,-2.3890829179470921e-4
233,5.263962085738468e-4
240,0.001252824807538604
241,-1.8888353603045485e-5
308,5.985042983479085e-4
320,-1.5420503977665414e-4
371,-0.008055010855106272
395,2.614745938129051e-4
401,8.109877452299851e-5
428,0.00029863906685518367
444,-2.5151553599617226e-4
449,-9.566705260073657e-5
453,0.001021267771609813
457,-2.870370366964009e-5
589,6.016108029504214e-5
649,-5.9292728953756536e-5
668,1.3342162198369187e-4
754,-4.434661352098239e-4
916,9.983739004553204e-4
926,1.2231271169338596e-4
963,-1.6741820712567126e-4
1067,2.1667287740024496e-4
1225,-1.3936195646480464e-4
1228,-3.369599501114372e-4
1257,-2.0564936343683014e-5
1287,-3.2088106939250516e-4
1289,-1.969447309750472e-4
1334,-4.360061466562457e-4
1336,-0.0031669195437141954
1339,-2.4578308492326256e-4
1363,-4.290692932909595e-4
1368,-9.063544582029862e-5
1377,0.0010390273434499994
1380,-4.930522084798685e-4
1381,0.0020137762291616954
1387,4.552471514554372e-5
1393,-0.0016351340734011648
1394,5.130432997027592e-4
1406,1.7091550244863034e-4
1513,-1.7585543845496463e-4
1519,3.5822205564617907e-4
1522,-0.0077866859427759205
1531,-0.0015893443744687248
1532,-8.024576532667659e-5
1534,-0.0023781453190055498
1535,2.3411133761689723e-5
1536,-6.361213745890937e-4
1545,-4.3420339911221076e-4
1665,-5.483115222409324e-4
1675,5.022858651242078e-4
1676,-6.147892977825306e-4
1681,3.274281125583676e-6
1683,3.448566513035011e-4
1684,1.9433201771922569e-4
1687,-5.148500023419616e-4
1694,9.456894113654552e-5
1695,-0.0014975363117723463
1696,2.5585270515562767e-4
1697,-2.27207328685637e-4
1698,-3.3617530438659294e-4
1702,-6.381371015827057e-4
1789,-3.369915174786149e-4
1810,2.9421649245048575e-4
1829,6.635148454608184e-4
1830,4.675531417930792e-5
1836,-2.9448856155293217e-4
1876,-1.6160908658469872e-4
1907,-4.71609365533676e-4
1910,-4.1645361331868626e-4
1926,-4.4557122545219843e-4
1931,-3.0829923683405806e-4
1937,-0.0015992804272023375
1938,-9.640300617554119e-4
1950,-0.003260071838014403
1957,-3.9363432007619907e-4
1971,4.220143792325697e-4
1977,-2.764261784249112e-4
1991,2.0262244881752626e-4
2066,-3.914188994714346e-4
2073,-2.0510332220210583e-4
2074,-3.414562511877967e-4
2075,2.8519287210618555e-6
2077,4.987082256473394e-5
2090,-5.108253566700667e-4
2094,-1.3543348313927028e-4
2095,-2.533825358984045e-4
2099,-9.001873754679404e-4
2106,-1.786235503991498e-4
2108,6.377218699211633e-5
2111,4.745736081050132e-4
2134,-3.5088431684424467e-4
2144,-4.2045000576173695e-4
3299,-8.031527800422753e-5
3301,-4.4420913244761975e-4
3303,1.0055665402772932e-4
3314,-4.8150053150239585e-4
3315,-3.101041678846483e-4
3316,-5.359942315900572e-4
3352,1.9152305536465462e-4
3367,-0.002628069897068259
3387,-1.2285949414627523e-4
3414,-1.7639074766566127e-4
3455,-4.248637783874063e-4
3460,-3.23409779899362e-4
3519,-3.829063443425105e-5
3734,2.830627744213363e-4
3848,-4.270271119976143e-4
3856,-4.220786757311997e-4
3858,-5.985066418399248e-4
3865,2.5652343180181217e-5
3867,0.002734137565285254
3868,-0.0010442266942430787
3870,-0.0010884643391989178
3878,2.4573757953644726e-4
3880,0.003072846143695753
3888,3.2614079849182186e-4
3890,-1.0226799402582315e-4
3895,-3.4475912039417297e-4
3903,-6.528791166778938e-4
3924,-2.5577768254933747e-4
3930,5.326815876269522e-4
3934,-5.902501931019751e-4
3965,-7.013443553555126e-4
3978,-3.41625918436957e-4
3989,3.8079802883992205e-4
3994,3.888478699787787e-4
3996,9.190589615542878e-4
4002,-4.885799218382397e-4
4020,-1.337305708110549e-4
4053,-6.289346341663557e-4
4105,0.0012813729182105174
4142,-4.553445242144602e-4
4152,-8.922424234731398e-5
4174,0.0018450968873765187
4194,-5.98103673781902e-5
4207,6.331358110998927e-4
4280,-5.447737338649828e-5
4324,-4.335985143137804e-4
4404,-4.674065701699035e-4
4408,-2.023883545308929e-5
4498,-2.8865435576340756e-4
4566,-4.83165791037277e-4
4590,-1.1138531590887121e-4
4606,-2.456328758061793e-4
4608,3.19853595482163e-6
4611,3.185271788835216e-4
4615,-3.8649033359515955e-4
4616,-4.243843332401667e-4
4618,-5.161662283124428e-4
4621,-3.544987413880143e-4
4622,-6.549265833232176e-5
4623,-1.510697741608797e-4
4624,-4.447180806816575e-4
4625,3.9343113619624603e-4
4626,5.00451694231567e-4
4661,2.618349342774114e-4
4666,0.0010728760220194158
4669,-3.2332978421332196e-4
4674,-3.0724111918544145e-4
4677,6.799781464918001e-4
4681,-4.4320013490456884e-4
4695,-5.946796299904452e-4
4703,-6.361911244326368e-4
4712,-3.289674236936483e-4
4713,-5.675635076446265e-4
4717,5.852365525891967e-4
4732,8.939600846691538e-5
4734,-8.471950111552962e-5
4737,-4.5976553965091326e-4
4739,-4.6837108846093723e-4
4758,-4.656083397050691e-4
4795,-2.7341963969088377e-4
4851,-6.47532861432525e-4
4883,-0.006273164821650125
4892,4.4944833112664837e-4
4908,5.547041439858059e-5
4915,2.212219631135399e-4
4926,-2.4393932007709713e-4
4928,-4.057931267091989e-4
5009,-9.732374345970025e-4
5029,0.0017144106060656404
5035,-2.922181545252984e-4
5038,-3.452263728266964e-4
5063,-2.9020406271145106e-4
5070,-5.407243316323566e-4
5074,6.932728606267661e-4
5097,-5.34519909514902e-4
5098,-6.465612057688496e-4
5135,7.75607958364515e-6
5139,-1.3540951048616453e-4
5178,5.55198064052072e-4
5968,-6.948466242625919e-4
6019,-3.4747142844810444e-4
6020,0.0012832153152677241
6596,-3.17700798220507e-4
6655,-3.235029232599079e-4
6895,-5.008097215815897e-4
6916,-3.6521666996223675e-4
6935,-4.861417709633972e-4
6967,-3.7334048039151258e-6
7008,-9.871029761578488e-5
7192,-5.987362461809192e-4
7419,-1.6856851538334106e-4
7441,-6.729669600303334e-4
7443,-4.171417003598104e-4
7584,-5.518550809092022e-4
7605,-5.463490187435968e-5
7649,-4.888691439313083e-4
7955,-3.0402906233381014e-4
7966,-4.7979918901973356e-4
7988,6.442272823989287e-4
8008,0.0010219152566460642
8009,-2.0786839661415032e-4
8011,-9.79230245675954e-4
8023,-5.918619157994005e-4
8025,-3.619191864588658e-4
8026,8.57776280678081e-4
8027,-0.00027488467382182677
8031,4.93059917392664e-4
8033,8.68096405500653e-4
8034,-0.0010601204595602372
8037,-3.9610189372295214e-4
8039,-1.6621543859439257e-4
8050,-3.614265239513753e-4
8054,1.6339491682473584e-4
8059,0.0012785679605068448
8062,-2.710720970610883e-4
8071,-5.7369637658730674e-5
8077,-5.103175457859027e-4
8079,-3.447397625933208e-4
8113,-3.211809242454445e-4
